,學年度,設立別 ,學校類別,學校代碼,學校名稱,醫學系,牙醫學系,醫學院,工學院,理農學院,商學院,文法學院,其他,工業類,商管類,醫護類,其他
,103,私立,技專校院,1281,康寧醫護暨管理專科學校,,,,,,,,,,33020,37118,33048~34635
,103,私立,技專校院,1282,馬偕醫護管理專科學校,,,,,,,,,,35240,38620,37325~38275
,103,私立,技專校院,1283,仁德醫護管理專科學校,,,,,,,,,,32183,36023,34746
,103,私立,技專校院,1284,樹人醫護管理專科學校,,,,,,,,,40184,34741,38965,
,103,私立,技專校院,1285,慈惠醫護管理專科學校,,,,,,,,,39798,34370,38599,36112
,103,私立,技專校院,1286,耕莘健康管理專科學校,,,,,,,,,, 37311~38290 ,37824, 37311~38815 
,103,私立,技專校院,1287,敏惠醫護管理專科學校,,,,,,,,,,,38482~38746,34742~38082
,103,私立,技專校院,1288,高美醫護管理專科學校,,,,,,,,,,39560,38545,37560
,103,私立,技專校院,1289,育英醫護管理專科學校,,,,,,,,,,,38558,37000
,103,私立,技專校院,1290,崇仁醫護管理專科學校,,,,,,,,,,35000,36023,35000~37800
,103,私立,技專校院,1291,聖母醫護管理專科學校,,,,,,,,,,37196,37196,37196
,103,私立,技專校院,1292,新生醫護管理專科學校,,,,,,,,,,35520,36540,34520~36540
,104,公立,一般大學,1,國立政治大學,,,,,28430,24890,24510,,,,,
,104,公立,一般大學,2,國立清華大學,,,,28630,28630,24370,24370,,,,,
,104,公立,一般大學,3,國立臺灣大學,39560,36170,31050,29470,30260,25610,25230,,,,,
,104,公立,一般大學,4,國立臺灣師範大學,,,,27600,27380,,23590,,,,,
,104,公立,一般大學,5,國立成功大學,39550,,31040,29490,29250,25600,25210,,,,,
,104,公立,一般大學,6,國立中興大學,,,27880,27330,27110,23740,23390,,,,,
,104,公立,一般大學,7,國立交通大學,,,,28990,28740,28740,24770,,,,,
,104,公立,一般大學,8,國立中央大學,,,,28660,28440,24870,24510,,,,,
,104,公立,一般大學,9,國立中山大學,,,,28940,28710,25130,24730,,,,,
,104,公立,一般大學,12,國立臺灣海洋大學,,,,27810,27590,24140,24140,,,,,
,104,公立,一般大學,13,國立中正大學,,,,28100,27880,24400,24020,,,,,
,104,公立,一般大學,14,國立高雄師範大學,,,,27590,27365,,23605,,,,,
,104,公立,一般大學,15,國立彰化師範大學,,,,27570,27340,23950,23590,,,,,
,104,公立,一般大學,16,國立陽明大學,38380,35080,30110,,,,,,,,,
,104,公立,一般大學,17,國立臺北大學,,,,26540,,22510,22170,,,,,
,104,公立,一般大學,18,國立嘉義大學,,,,24650,24440,21390,21070,,,,,
,104,公立,一般大學,19,國立高雄大學,,,,26720,26510,23320,23320,,,,,
,104,公立,一般大學,20,國立東華大學,,,,27790,27570,24100,23740,,,,,
,104,公立,一般大學,21,國立暨南國際大學,,,,25547,,22187,21851,,,,,
,104,公立,一般大學,28,國立臺北藝術大學,,,,26620,,,,,,,,
,104,公立,一般大學,29,國立臺灣藝術大學,,,,26230,,,,,,,,
,104,公立,一般大學,30,國立臺東大學,,,,,25490,,21980,,,,,
,104,公立,一般大學,31,國立宜蘭大學,,,,26302,26086,22827,,,,,,
,104,公立,一般大學,32,國立聯合大學,,,,26000,,22600,22285,,,,,
,104,公立,一般大學,35,國立臺南藝術大學,,,,,26990,,,,,,,
,104,公立,一般大學,36,國立臺南大學,,,,,25330,,21840,,,,,
,104,公立,一般大學,37,國立臺北教育大學,,,,,26250,,22600,,,,,
,104,公立,一般大學,38,國立新竹教育大學,,,,,25280,,21780,,,,,
,104,公立,一般大學,39,國立臺中教育大學,,,,,24840,23950,21410,,,,,
,104,公立,一般大學,44,國立體育大學,,,,,23870,,,,,,,
,104,公立,一般大學,48,國立金門大學,,,26761,25390,,22042,22042,,,,,
,104,公立,一般大學,49,國立臺灣體育運動大學,,,,,22980,,,,,,,
,104,公立,一般大學,52,國立屏東大學,,,,25394,25320,22794,21820,,,,,
,104,公立,一般大學,3002,臺北市立大學,,,,,23500,24000,20200,,,,,
,104,公立,技專校院,22,國立臺灣科技大學,,,,28390,,24700,24340,28390,,,,
,104,公立,技專校院,23,國立雲林科技大學,,,,27845,,24182,24182,,,,,
,104,公立,技專校院,24,國立屏東科技大學,,,,27580,27340,24000,24000,,,,,
,104,公立,技專校院,25,國立臺北科技大學,,,,26896,,23339,23339,,,,,
,104,公立,技專校院,26,國立高雄第一科技大學,,,,26261,,22799,,22453,,,,
,104,公立,技專校院,27,國立高雄應用科技大學,,,,26279,,22814,22814,,,,,
,104,公立,技專校院,33,國立虎尾科技大學,,,,25748,,21997,21997,,,,,
,104,公立,技專校院,34,國立高雄海洋科技大學,,,,26277,26063,22812,,26277,,,,19847
,104,公立,技專校院,42,國立澎湖科技大學,,,,23491,,20394,,,,,,
,104,公立,技專校院,43,國立勤益科技大學,,,,27029,,23466,23100,,20415,17611,,
,104,公立,技專校院,46,國立臺北護理健康大學,,,,,25600,,,,,,,
,104,公立,技專校院,47,國立高雄餐旅大學,,,,,,,,24139,,,,20968~22999
,104,公立,技專校院,50,國立臺中科技大學,,,,,,21113,,25660,,,17806,16160~17806
,104,公立,技專校院,51,國立臺北商業大學,,,,,,21520,,25780,,16300,,
,104,公立,技專校院,144,國立臺灣戲曲學院,,,,,,,,23150,,,,
,104,公立,技專校院,221,國立臺南護理專科學校,,,,,,,,23150,,,18524,18524
,104,公立,技專校院,222,國立臺東專科學校,,,,,,,,23150,20415~22380,19580~26468,,20415~22999
,104,私立,一般大學,1001,東海大學,,,,56289,55820,48951,50510,,,,,
,104,私立,一般大學,1002,輔仁大學,72500,,58200,55350,54890,48140,47430,,,,,
,104,私立,一般大學,1003,東吳大學,,,,56460,55990,49110,48370,,,,,
,104,私立,一般大學,1004,中原大學,,,,54870,54360,46060,46060,,,,,
,104,私立,一般大學,1005,淡江大學,,,,54720,54260,47590,46880,,,,,
,104,私立,一般大學,1006,中國文化大學,,,,53390,52950,46425,45735,,,,,
,104,私立,一般大學,1007,逢甲大學,,,,54970,54970,47820,47080,,,,,
,104,私立,一般大學,1008,靜宜大學,,,,,51874,45496,44811,,,,,
,104,私立,一般大學,1009,長庚大學,59317,,46577,44307,,38528,,,,,,
,104,私立,一般大學,1010,元智大學,,,,56040,,48910,48190,,,,,
,104,私立,一般大學,1011,中華大學,,,,51880,51880,45121,44442,,,,,
,104,私立,一般大學,1012,大葉大學,,,55900,52748,,45870,45218,,,,,
,104,私立,一般大學,1013,華梵大學,,,,52380,,,44870,,,,,
,104,私立,一般大學,1014,義守大學,72500,,55495,55373,54232,47994,45405,,,,,
,104,私立,一般大學,1015,世新大學,,,,56914,,49252,48283,,,,,
,104,私立,一般大學,1016,銘傳大學,,,,53383,,46201,45288,,,,,
,104,私立,一般大學,1017,實踐大學,,,,49795,49380,43315,42675,,,,,
,104,私立,一般大學,1019,高雄醫學大學,71159,65115,55848,,52688,,45514,,,,,
,104,私立,一般大學,1020,南華大學,,,,51597,,46597,44865,,,,,
,104,私立,一般大學,1021,真理大學,,,,,51940,45560,44870,,,,,
,104,私立,一般大學,1022,大同大學,,,,54170,51670,47120,,,,,,
,104,私立,一般大學,1027,慈濟大學,61975,,48849,54230,,,46831,,,,,
,104,私立,一般大學,1028,臺北醫學大學,71480,65410,56110,,,,,,,,,
,104,私立,一般大學,1029,中山醫學大學,71495,65414,56110,,,,,,,,,
,104,私立,一般大學,1033,長榮大學,,,56000,52740,54740,46210,46210,,,,,
,104,私立,一般大學,1035,中國醫藥大學,71489,65425,56126,,,,,,,,,
,104,私立,一般大學,1039,玄奘大學,,,,50978,,50978,45568,,,,,
,104,私立,一般大學,1048,亞洲大學,,,57160,54980,54870,47800,48250,,,,,
,104,私立,一般大學,1049,開南大學,,,,,54324,46243,45685,,,,,
,104,私立,一般大學,1050,佛光大學,,,,48720,,42700,42700,,,,,
,104,私立,一般大學,1058,明道大學,,,,52780,52780,45740,45740,,,,,
,104,私立,一般大學,1059,康寧大學,,,,53234,,45991,45473,,,,,
,104,私立,一般大學,1067,台灣首府大學,,,,47038,,44010,42099,,,,,
,104,私立,一般大學,1125,中信金融管理學院,,,,,,42896,,,,,,
,104,私立,一般大學,1176,稻江科技暨管理學院,,,,53979,53580,46880,45896,,,,,
,104,私立,一般大學,1195,馬偕醫學院,59317,,46577,,,,,,,,,
,104,私立,一般大學,1196,法鼓文理學院,,,,,,,42394,,,,,
,104,私立,一般大學,1R03,臺北基督學院,,,,,,,85000,,,,,
,104,私立,技專校院,1018,朝陽科技大學,,,,55684,,48409,48409,55684,,,,
,104,私立,技專校院,1023,南臺科技大學,,,,55270,,48135,47425,55270,,,,
,104,私立,技專校院,1024,崑山科技大學,,,,52206,,45437,,52206,,,,
,104,私立,技專校院,1025,嘉南藥理大學,56825,,,,,,48481,52928,,,,
,104,私立,技專校院,1026,樹德科技大學,,,,53390,,46433,,,,,,
,104,私立,技專校院,1030,龍華科技大學,,,,51308,,44630,44630,,41174,,,
,104,私立,技專校院,1031,輔英科技大學,56610,,,53870,,53870,,,,,39535~39910,35195
,104,私立,技專校院,1032,明新科技大學,,,,51210,,44617,,,,,,
,104,私立,技專校院,1034,弘光科技大學,55057,,,52369,,52369,45547,51936,,,,
,104,私立,技專校院,1036,健行科技大學,,,,54124,,47165,,,41010,35555,,
,104,私立,技專校院,1037,正修科技大學,,,,54735,,47597,,47597,41282,35684,,37405
,104,私立,技專校院,1038,萬能科技大學,,,,53390,,46432,,48932,,,,
,104,私立,技專校院,1040,建國科技大學,,,,54220,,47256,,,,,,
,104,私立,技專校院,1041,明志科技大學,,,,50760,,,,,38603,,,
,104,私立,技專校院,1042,高苑科技大學,,,,50853,,44221,,50853,38358,33158,,
,104,私立,技專校院,1043,大仁科技大學,53453,,,53453,50423,48028,48618,48028,,,,
,104,私立,技專校院,1044,聖約翰科技大學,,,,53938,,46915,,46915,,,,
,104,私立,技專校院,1045,嶺東科技大學,,,,52542,,45782,,,,,,
,104,私立,技專校院,1046,中國科技大學,,,,51658,,45025,,51658,39162,33963,,36082
,104,私立,技專校院,1047,中臺科技大學,54250,,,51640,51220,45020,43555,,,,,
,104,私立,技專校院,1051,台南應用科技大學,,,,53390,52950,46430,,,,,,42584
,104,私立,技專校院,1052,遠東科技大學,,,,51450,,44820,,51450,,,,
,104,私立,技專校院,1053,元培醫事科技大學,54050,,,51440,51020,44820,,,,,,
,104,私立,技專校院,1054,景文科技大學,,,,49628,,43160,43160,49628,,,,
,104,私立,技專校院,1055,中華醫事科技大學,54793,,,,,45434,,,,37596,,38305
,104,私立,技專校院,1056,東南科技大學,,,,51343,,44710,,51343,,,,
,104,私立,技專校院,1057,德明財經科技大學,,,,,,45320,,,,,,
,104,私立,技專校院,1060,南開科技大學,,,,53202,,46370,,50500,40332,34976,,
,104,私立,技專校院,1061,中華科技大學,,,,51743,,45055,,51743,,,,
,104,私立,技專校院,1062,僑光科技大學,,,,51653,,45020,,48337,,33958,,
,104,私立,技專校院,1063,育達科技大學,,,,51643,,45020,45020,,,,,
,104,私立,技專校院,1064,美和科技大學,54619,,,51582,,45478,45478,49722,,,38311,38311
,104,私立,技專校院,1065,吳鳳科技大學,,,,54130,,47220,,,,,,
,104,私立,技專校院,1066,環球科技大學,,,,50849,,44222,,,,,,
,104,私立,技專校院,1068,中州科技大學,,,,50853,,44220,,50853,,,,
,104,私立,技專校院,1069,修平科技大學,,,,54220,,47266,,,41104,,,
,104,私立,技專校院,1070,長庚科技大學,,,,,,,,45054,,,34045,
,104,私立,技專校院,1071,臺北城市科技大學,,,,50843,,44210,44210,44210,38347,33158,,33158
,104,私立,技專校院,1072,大華科技大學,,,,51217,,44625,,51217,38958,33763,,
,104,私立,技專校院,1073,醒吾科技大學,,,,,,47317,,47317,,35486,,35486
,104,私立,技專校院,1074,南榮科技大學,,,,54050,,47086,,,40915,35463,,
,104,私立,技專校院,1075,文藻外語大學,,,,,,51514,51514,,,,,39677
,104,私立,技專校院,1076,華夏科技大學,,,,53390,,46425,,,39513,35056,,
,104,私立,技專校院,1077,慈濟科技大學,,,,,,,,44760,,,32810,
,104,私立,技專校院,1078,致理科技大學,,,,,,45910,,45910,,34759,,
,104,私立,技專校院,1148,大漢技術學院,,,,50849,,44222,,,38346,33119,,
,104,私立,技專校院,1159,和春技術學院,,,,50850,,44220,,,38357,33158,,
,104,私立,技專校院,1166,亞東技術學院,52710,,,50105,,43512,,,,,,
,104,私立,技專校院,1168,桃園創新技術學院,,,,51556,,44839,,47086,38969,34630,,34630
,104,私立,技專校院,1179,德霖技術學院,,,,54290,,47325,,,41174,35720,,
,104,私立,技專校院,1182,蘭陽技術學院,,,,50900,,45170,,,38385,33190,,
,104,私立,技專校院,1183,黎明技術學院,,,,50843,50443,46426,,,38347,,,
,104,私立,技專校院,1184,東方設計學院,,,,53900,53900,46930,,53900,40775,35324,,36993~37563
,104,私立,技專校院,1185,經國管理暨健康學院,,,,,50423,,,,,33705,37716,35294
,104,私立,技專校院,1187,崇右技術學院,,,,,,47534,,,,35920,,
,104,私立,技專校院,1188,大同技術學院,,,,49510,47116,47116,,,,,,35583
,104,私立,技專校院,1189,亞太創意技術學院,,,,50143,50161,46690,,46690,36359,31441,,33101
,104,私立,技專校院,1192,臺灣觀光學院,,,,,,,,46396,,,,33163
,104,私立,技專校院,1197,台北海洋技術學院,,,,55000,,47720,,52730,40575,35118,,38988~40575
,104,私立,技專校院,1282,馬偕醫護管理專科學校,,,,,,,,,,35240,38620,37325~38275
,104,私立,技專校院,1283,仁德醫護管理專科學校,,,,,,,,,,32183,36023,34746
,104,私立,技專校院,1284,樹人醫護管理專科學校,,,,,,,,,40184,34741,38965,
,104,私立,技專校院,1285,慈惠醫護管理專科學校,,,,,,,,,39798,34370,38599,36112
,104,私立,技專校院,1286,耕莘健康管理專科學校,,,,,,,,,,,37824,37311~38815
,104,私立,技專校院,1287,敏惠醫護管理專科學校,,,,,,,,,,,38482~38746,34742~38082
,104,私立,技專校院,1288,高美醫護管理專科學校,,,,,,,,,,,37817,36850~39560
,104,私立,技專校院,1289,育英醫護管理專科學校,,,,,,,,,,,38558,37000
,104,私立,技專校院,1290,崇仁醫護管理專科學校,,,,,,,,,,,36023,35000~37800
,104,私立,技專校院,1291,聖母醫護管理專科學校,,,,,,,,,,37196,37196,37196
,104,私立,技專校院,1292,新生醫護管理專科學校,,,,,,,,,,35520,36540,35020~38746
,105,公立,一般大學,1,國立政治大學,,,,,28430,24890,24510,,,,,
,105,公立,一般大學,2,國立清華大學,,,,28630,28630,24370,24370,,,,,
,105,公立,一般大學,3,國立臺灣大學,39560,36170,31050,29470,30260,25610,25230,,,,,
,105,公立,一般大學,4,國立臺灣師範大學,,,,27600,27380,,23590,,,,,
,105,公立,一般大學,5,國立成功大學,39550,,31040,29490,29250,25600,25210,,,,,
,105,公立,一般大學,6,國立中興大學,,,27880,27330,27110,23740,23390,,,,,
,105,公立,一般大學,7,國立交通大學,,,,28990,28740,28740,24770,,,,,
,105,公立,一般大學,8,國立中央大學,,,,28660,28440,24870,24510,,,,,
,105,公立,一般大學,9,國立中山大學,,,,28940,28710,25130,24730,,,,,
,105,公立,一般大學,12,國立臺灣海洋大學,,,,27810,27590,24140,24140,,,,,
,105,公立,一般大學,13,國立中正大學,,,,28100,27880,24400,24020,,,,,
,105,公立,一般大學,14,國立高雄師範大學,,,,27590,27365,,23605,,,,,
,105,公立,一般大學,15,國立彰化師範大學,,,,27570,27340,23950,23590,,,,,
,105,公立,一般大學,16,國立陽明大學,38380,35080,30110,,,,,,,,,
,105,公立,一般大學,17,國立臺北大學,,,,26540,,22510,22170,,,,,
,105,公立,一般大學,18,國立嘉義大學,,,,24650,24440,21390,21070,,,,,
,105,公立,一般大學,19,國立高雄大學,,,,26720,26510,23320,23320,,,,,
,105,公立,一般大學,20,國立東華大學,,,,27790,27570,24100,23740,,,,,
,105,公立,一般大學,21,國立暨南國際大學,,,,26185,,22741,22397,,,,,
,105,公立,一般大學,28,國立臺北藝術大學,,,,26620,,,,,,,,
,105,公立,一般大學,29,國立臺灣藝術大學,,,,26230,,,,,,,,
,105,公立,一般大學,30,國立臺東大學,,,,,25490,,21980,,,,,
,105,公立,一般大學,31,國立宜蘭大學,,,,26302,26086,22827,,,,,,
,105,公立,一般大學,32,國立聯合大學,,,,26000,,22600,22285,,,,,
,105,公立,一般大學,35,國立臺南藝術大學,,,,,26990,,,,,,,
,105,公立,一般大學,36,國立臺南大學,,,,,25330,22790,21840,,,,,
,105,公立,一般大學,37,國立臺北教育大學,,,,,26250,,22600,,,,,
,105,公立,一般大學,38,國立新竹教育大學,,,,,25280,,21780,,,,,
,105,公立,一般大學,39,國立臺中教育大學,,,,,24840,23950,21410,,,,,
,105,公立,一般大學,44,國立體育大學,,,,,23870,,,,,,,
,105,公立,一般大學,48,國立金門大學,,,26761,25390,,22042,22042,,,,,
,105,公立,一般大學,49,國立臺灣體育運動大學,,,,,22980,,,,,,,
,105,公立,一般大學,52,國立屏東大學,,,,25394,25320,22794,21820,,,,,
,105,公立,一般大學,3002,臺北市立大學,,,,,23500,24000,20200,,,,,
,105,公立,技專校院,22,國立臺灣科技大學,,,,28390,,24700,24340,28390,,,,
,105,公立,技專校院,23,國立雲林科技大學,,,,27845,,24182,24182,,,,,
,105,公立,技專校院,24,國立屏東科技大學,,,,27580,27340,24000,24000,,,,,
,105,公立,技專校院,25,國立臺北科技大學,,,,26896,,23339,23339,,,,,
,105,公立,技專校院,26,國立高雄第一科技大學,,,,26261,,22799,,22453,,,,
,105,公立,技專校院,27,國立高雄應用科技大學,,,,26279,,22814,22814,,,,,
,105,公立,技專校院,33,國立虎尾科技大學,,,,25748,,21997,21997,,,,,
,105,公立,技專校院,34,國立高雄海洋科技大學,,,,26277,26063,22812,,26277,,,,19847
,105,公立,技專校院,42,國立澎湖科技大學,,,,23491,,20394,,,,,,
,105,公立,技專校院,43,國立勤益科技大學,,,,27029,,23466,23100,,20415,17611,,
,105,公立,技專校院,46,國立臺北護理健康大學,,,,,26240,,,,,,,
,105,公立,技專校院,47,國立高雄餐旅大學,,,,,,,,24139,,,,20968~22999
,105,公立,技專校院,50,國立臺中科技大學,,,,,,21520,,25660,,,17806,16160~17806
,105,公立,技專校院,51,國立臺北商業大學,,,,,,21520,,25780,,16300,,
,105,公立,技專校院,144,國立臺灣戲曲學院,,,,,,,,23150,,,,
,105,公立,技專校院,221,國立臺南護理專科學校,,,,,,,,,,,18524,18524
,105,公立,技專校院,222,國立臺東專科學校,,,,,,,,,20415~22380,19580~26468,,20415~22999
,105,私立,一般大學,1001,東海大學,,,,56289,55820,48951,50510,,,,,
,105,私立,一般大學,1002,輔仁大學,72500,,58200,55350,54890,48140,47430,,,,,
,105,私立,一般大學,1003,東吳大學,,,,56460,55990,49110,48370,,,,,
,105,私立,一般大學,1004,中原大學,,,,54870,54360,46060,46060,,,,,
,105,私立,一般大學,1005,淡江大學,,,,54720,54260,47590,46880,,,,,
,105,私立,一般大學,1006,中國文化大學,,,,53390,52950,46425,45735,,,,,
,105,私立,一般大學,1007,逢甲大學,,,,54970,54970,47820,47080,,,,,
,105,私立,一般大學,1008,靜宜大學,,,,,51874,45496,44811,,,,,
,105,私立,一般大學,1009,長庚大學,59317,,46577,44307,,38528,,,,,,
,105,私立,一般大學,1010,元智大學,,,,56040,,48910,48190,,,,,
,105,私立,一般大學,1011,中華大學,,,,51880,51880,45121,44442,,,,,
,105,私立,一般大學,1012,大葉大學,,,55900,52748,,45870,45218,,,,,
,105,私立,一般大學,1013,華梵大學,,,,52380,,,44870,,,,,
,105,私立,一般大學,1014,義守大學,72500,,55495,55373,54232,47994,45405,,,,,
,105,私立,一般大學,1015,世新大學,,,,56914,,49252,48283,,,,,
,105,私立,一般大學,1016,銘傳大學,,,,53383,,46201,45288,,,,,
,105,私立,一般大學,1017,實踐大學,,,,49795,49380,43315,42675,,,,,
,105,私立,一般大學,1019,高雄醫學大學,71159,65115,55848,,52688,,45514,,,,,
,105,私立,一般大學,1020,南華大學,,,,51597,,46597,44865,,,,,
,105,私立,一般大學,1021,真理大學,,,,,51940,45560,44870,,,,,
,105,私立,一般大學,1022,大同大學,,,,54170,51670,47120,,,,,,
,105,私立,一般大學,1027,慈濟大學,61975,,48849,54230,,,46831,,,,,
,105,私立,一般大學,1028,臺北醫學大學,71480,65410,56110,,,,,,,,,
,105,私立,一般大學,1029,中山醫學大學,71495,65414,56110,,,,,,,,,
