99學年度畢業生102年薪資年學校代碼,99學年度畢業生102年薪資年學校名稱,99學年度畢業生102年薪資年體系別,99學年度畢業生102年薪資年公私立,99學年度畢業生102年薪資年畢業年,99學年度畢業生102年薪資年薪資年,99學年度畢業生102年薪資年等級別,99學年度畢業生102年薪資年學制別,99學年度畢業生103年薪資年學校代碼,99學年度畢業生103年薪資年學校名稱,99學年度畢業生103年薪資年體系別,99學年度畢業生103年薪資年公私立,99學年度畢業生103年薪資年畢業年,99學年度畢業生103年薪資年薪資年,99學年度畢業生103年薪資年等級別,99學年度畢業生103年薪資年學制別,100學年度畢業生103年薪資年學校代碼,100學年度畢業生103年薪資年學校名稱,100學年度畢業生103年薪資年體系別,100學年度畢業生103年薪資年公私立,100學年度畢業生103年薪資年畢業年,100學年度畢業生103年薪資年薪資年,100學年度畢業生103年薪資年等級別,100學年度畢業生103年薪資年學制別
0001,國立政治大學,一般,公立,99,102,博士,未滿35歲,0001,國立政治大學,一般,公立,99,103,博士,未滿35歲,0001,國立政治大學,一般,公立,100,103,博士,未滿35歲
0012,國立臺灣海洋大學,一般,公立,99,102,博士,未滿35歲,0012,國立臺灣海洋大學,一般,公立,99,103,博士,未滿35歲,0003,國立臺灣大學,一般,公立,100,103,學士,進修學制
0012,國立臺灣海洋大學,一般,公立,99,102,博士,35歲以上,0012,國立臺灣海洋大學,一般,公立,99,103,博士,35歲以上,0012,國立臺灣海洋大學,一般,公立,100,103,博士,未滿35歲
0014,國立高雄師範大學,一般,公立,99,102,博士,未滿35歲,0014,國立高雄師範大學,一般,公立,99,103,博士,未滿35歲,0012,國立臺灣海洋大學,一般,公立,100,103,博士,35歲以上
0016,國立陽明大學,一般,公立,99,102,碩士,在職專班,0016,國立陽明大學,一般,公立,99,103,碩士,在職專班,0014,國立高雄師範大學,一般,公立,100,103,博士,未滿35歲
0017,國立臺北大學,一般,公立,99,102,博士,35歲以上,0017,國立臺北大學,一般,公立,99,103,博士,35歲以上,0015,國立彰化師範大學,一般,公立,100,103,博士,未滿35歲
0018,國立嘉義大學,一般,公立,99,102,博士,未滿35歲,0018,國立嘉義大學,一般,公立,99,103,博士,未滿35歲,0016,國立陽明大學,一般,公立,100,103,碩士,在職專班
0018,國立嘉義大學,一般,公立,99,102,博士,35歲以上,0018,國立嘉義大學,一般,公立,99,103,博士,35歲以上,0017,國立臺北大學,一般,公立,100,103,博士,未滿35歲
0020,國立東華大學,一般,公立,99,102,博士,未滿35歲,0020,國立東華大學,一般,公立,99,103,博士,未滿35歲,0017,國立臺北大學,一般,公立,100,103,博士,35歲以上
0020,國立東華大學,一般,公立,99,102,博士,35歲以上,0020,國立東華大學,一般,公立,99,103,博士,35歲以上,0018,國立嘉義大學,一般,公立,100,103,博士,35歲以上
0020,國立東華大學,一般,公立,99,102,學士,進修學制,0020,國立東華大學,一般,公立,99,103,學士,進修學制,0020,國立東華大學,一般,公立,100,103,博士,未滿35歲
0021,國立暨南國際大學,一般,公立,99,102,博士,未滿35歲,0021,國立暨南國際大學,一般,公立,99,103,博士,未滿35歲,0020,國立東華大學,一般,公立,100,103,博士,35歲以上
0021,國立暨南國際大學,一般,公立,99,102,博士,35歲以上,0021,國立暨南國際大學,一般,公立,99,103,博士,35歲以上,0021,國立暨南國際大學,一般,公立,100,103,博士,未滿35歲
0021,國立暨南國際大學,一般,公立,99,102,學士,進修學制,0021,國立暨南國際大學,一般,公立,99,103,學士,進修學制,0021,國立暨南國際大學,一般,公立,100,103,博士,35歲以上
0023,國立雲林科技大學,技職,公立,99,102,博士,未滿35歲,0023,國立雲林科技大學,技職,公立,99,103,博士,未滿35歲,0023,國立雲林科技大學,技職,公立,100,103,博士,未滿35歲
0024,國立屏東科技大學,技職,公立,99,102,博士,未滿35歲,0024,國立屏東科技大學,技職,公立,99,103,博士,未滿35歲,0024,國立屏東科技大學,技職,公立,100,103,博士,未滿35歲
0024,國立屏東科技大學,技職,公立,99,102,博士,35歲以上,0024,國立屏東科技大學,技職,公立,99,103,博士,35歲以上,0024,國立屏東科技大學,技職,公立,100,103,博士,35歲以上
0025,國立臺北科技大學,技職,公立,99,102,博士,未滿35歲,0025,國立臺北科技大學,技職,公立,99,103,博士,未滿35歲,0025,國立臺北科技大學,技職,公立,100,103,博士,未滿35歲
0025,國立臺北科技大學,技職,公立,99,102,博士,35歲以上,0025,國立臺北科技大學,技職,公立,99,103,博士,35歲以上,0025,國立臺北科技大學,技職,公立,100,103,博士,35歲以上
0026,國立高雄第一科技大學,技職,公立,99,102,博士,未滿35歲,0026,國立高雄第一科技大學,技職,公立,99,103,博士,未滿35歲,0026,國立高雄第一科技大學,技職,公立,100,103,博士,未滿35歲
0026,國立高雄第一科技大學,技職,公立,99,102,博士,35歲以上,0026,國立高雄第一科技大學,技職,公立,99,103,博士,35歲以上,0026,國立高雄第一科技大學,技職,公立,100,103,博士,35歲以上
0027,國立高雄應用科技大學,技職,公立,99,102,博士,35歲以上,0027,國立高雄應用科技大學,技職,公立,99,103,博士,35歲以上,0027,國立高雄應用科技大學,技職,公立,100,103,博士,未滿35歲
0028,國立臺北藝術大學,一般,公立,99,102,博士,35歲以上,0028,國立臺北藝術大學,一般,公立,99,103,博士,35歲以上,0027,國立高雄應用科技大學,技職,公立,100,103,博士,35歲以上
0028,國立臺北藝術大學,一般,公立,99,102,碩士,在職專班,0028,國立臺北藝術大學,一般,公立,99,103,碩士,在職專班,0028,國立臺北藝術大學,一般,公立,100,103,碩士,在職專班
0030,國立臺東大學,一般,公立,99,102,學士,進修學制,0030,國立臺東大學,一般,公立,99,103,碩士,日間學制,0030,國立臺東大學,一般,公立,100,103,學士,進修學制
0033,國立虎尾科技大學,技職,公立,99,102,博士,未滿35歲,0030,國立臺東大學,一般,公立,99,103,學士,進修學制,0031,國立宜蘭大學,一般,公立,100,103,碩士,在職專班
0034,國立高雄海洋科技大學,技職,公立,99,102,專科,日間學制,0033,國立虎尾科技大學,技職,公立,99,103,博士,未滿35歲,0033,國立虎尾科技大學,技職,公立,100,103,博士,未滿35歲
0035,國立臺南藝術大學,一般,公立,99,102,學士,進修學制,0034,國立高雄海洋科技大學,技職,公立,99,103,專科,日間學制,0034,國立高雄海洋科技大學,技職,公立,100,103,專科,日間學制
0036,國立臺南大學,一般,公立,99,102,博士,35歲以上,0035,國立臺南藝術大學,一般,公立,99,103,學士,進修學制,0035,國立臺南藝術大學,一般,公立,100,103,碩士,在職專班
0037,國立臺北教育大學,一般,公立,99,102,博士,35歲以上,0036,國立臺南大學,一般,公立,99,103,博士,35歲以上,0035,國立臺南藝術大學,一般,公立,100,103,學士,進修學制
0038,國立新竹教育大學,一般,公立,99,102,博士,35歲以上,0037,國立臺北教育大學,一般,公立,99,103,博士,35歲以上,0036,國立臺南大學,一般,公立,100,103,博士,35歲以上
0039,國立臺中教育大學,一般,公立,99,102,博士,未滿35歲,0038,國立新竹教育大學,一般,公立,99,103,博士,35歲以上,0037,國立臺北教育大學,一般,公立,100,103,博士,35歲以上
0039,國立臺中教育大學,一般,公立,99,102,博士,35歲以上,0039,國立臺中教育大學,一般,公立,99,103,博士,未滿35歲,0038,國立新竹教育大學,一般,公立,100,103,博士,35歲以上
0040,國立屏東教育大學,一般,公立,99,102,博士,35歲以上,0039,國立臺中教育大學,一般,公立,99,103,博士,35歲以上,0039,國立臺中教育大學,一般,公立,100,103,博士,35歲以上
0042,國立澎湖科技大學,技職,公立,99,102,碩士,日間學制,0040,國立屏東教育大學,一般,公立,99,103,博士,35歲以上,0040,國立屏東教育大學,一般,公立,100,103,博士,35歲以上
0042,國立澎湖科技大學,技職,公立,99,102,碩士,在職專班,0042,國立澎湖科技大學,技職,公立,99,103,碩士,日間學制,0042,國立澎湖科技大學,技職,公立,100,103,碩士,日間學制
0042,國立澎湖科技大學,技職,公立,99,102,專科,進修學制,0042,國立澎湖科技大學,技職,公立,99,103,碩士,在職專班,0042,國立澎湖科技大學,技職,公立,100,103,碩士,在職專班
0043,國立勤益科技大學,技職,公立,99,102,專科,日間學制,0042,國立澎湖科技大學,技職,公立,99,103,專科,進修學制,0043,國立勤益科技大學,技職,公立,100,103,專科,日間學制
0044,國立體育大學,一般,公立,99,102,博士,未滿35歲,0043,國立勤益科技大學,技職,公立,99,103,專科,日間學制,0043,國立勤益科技大學,技職,公立,100,103,專科,進修學制
0044,國立體育大學,一般,公立,99,102,博士,35歲以上,0044,國立體育大學,一般,公立,99,103,博士,35歲以上,0044,國立體育大學,一般,公立,100,103,博士,未滿35歲
0044,國立體育大學,一般,公立,99,102,學士,進修學制,0044,國立體育大學,一般,公立,99,103,學士,進修學制,0044,國立體育大學,一般,公立,100,103,博士,35歲以上
0046,國立臺北護理健康大學,技職,公立,99,102,博士,35歲以上,0046,國立臺北護理健康大學,技職,公立,99,103,博士,35歲以上,0044,國立體育大學,一般,公立,100,103,學士,進修學制
0046,國立臺北護理健康大學,技職,公立,99,102,碩士,在職專班,0046,國立臺北護理健康大學,技職,公立,99,103,碩士,在職專班,0046,國立臺北護理健康大學,技職,公立,100,103,博士,35歲以上
0047,國立高雄餐旅大學,技職,公立,99,102,碩士,在職專班,0047,國立高雄餐旅大學,技職,公立,99,103,碩士,在職專班,0046,國立臺北護理健康大學,技職,公立,100,103,碩士,在職專班
0047,國立高雄餐旅大學,技職,公立,99,102,專科,日間學制,0047,國立高雄餐旅大學,技職,公立,99,103,專科,日間學制,0047,國立高雄餐旅大學,技職,公立,100,103,碩士,在職專班
0048,國立金門大學,一般,公立,99,102,碩士,日間學制,0048,國立金門大學,一般,公立,99,103,碩士,日間學制,0047,國立高雄餐旅大學,技職,公立,100,103,專科,日間學制
0136,國立屏東商業技術學院,技職,公立,99,102,碩士,在職專班,0050,國立臺中科技大學,技職,公立,99,103,碩士,在職專班,0048,國立金門大學,一般,公立,100,103,碩士,日間學制
0142,國立臺北商業技術學院,技職,公立,99,102,碩士,在職專班,0136,國立屏東商業技術學院,技職,公立,99,103,碩士,在職專班,0049,國立臺灣體育運動大學,一般,公立,100,103,碩士,在職專班
0221,國立臺南護理專科學校,技職,公立,99,102,專科,日間學制,0142,國立臺北商業技術學院,技職,公立,99,103,碩士,在職專班,0136,國立屏東商業技術學院,技職,公立,100,103,碩士,在職專班
0221,國立臺南護理專科學校,技職,公立,99,102,專科,進修學制,0221,國立臺南護理專科學校,技職,公立,99,103,專科,日間學制,0142,國立臺北商業技術學院,技職,公立,100,103,碩士,在職專班
1001,東海大學,一般,私立,99,102,博士,未滿35歲,0221,國立臺南護理專科學校,技職,公立,99,103,專科,進修學制,0144,國立臺灣戲曲學院,技職,公立,100,103,專科,日間學制
1001,東海大學,一般,私立,99,102,博士,35歲以上,1001,東海大學,一般,私立,99,103,博士,未滿35歲,0221,國立臺南護理專科學校,技職,公立,100,103,專科,進修學制
1002,輔仁大學,一般,私立,99,102,博士,未滿35歲,1001,東海大學,一般,私立,99,103,博士,35歲以上,1001,東海大學,一般,私立,100,103,博士,未滿35歲
1002,輔仁大學,一般,私立,99,102,博士,35歲以上,1002,輔仁大學,一般,私立,99,103,博士,未滿35歲,1001,東海大學,一般,私立,100,103,博士,35歲以上
1003,東吳大學,一般,私立,99,102,博士,35歲以上,1002,輔仁大學,一般,私立,99,103,博士,35歲以上,1002,輔仁大學,一般,私立,100,103,博士,未滿35歲
1004,中原大學,一般,私立,99,102,博士,未滿35歲,1003,東吳大學,一般,私立,99,103,博士,35歲以上,1002,輔仁大學,一般,私立,100,103,博士,35歲以上
1004,中原大學,一般,私立,99,102,博士,35歲以上,1004,中原大學,一般,私立,99,103,博士,未滿35歲,1003,東吳大學,一般,私立,100,103,博士,35歲以上
1004,中原大學,一般,私立,99,102,學士,進修學制,1004,中原大學,一般,私立,99,103,博士,35歲以上,1004,中原大學,一般,私立,100,103,博士,未滿35歲
1005,淡江大學,一般,私立,99,102,博士,未滿35歲,1004,中原大學,一般,私立,99,103,學士,進修學制,1004,中原大學,一般,私立,100,103,博士,35歲以上
1005,淡江大學,一般,私立,99,102,博士,35歲以上,1005,淡江大學,一般,私立,99,103,博士,未滿35歲,1004,中原大學,一般,私立,100,103,學士,進修學制
1006,中國文化大學,一般,私立,99,102,博士,未滿35歲,1005,淡江大學,一般,私立,99,103,博士,35歲以上,1005,淡江大學,一般,私立,100,103,博士,未滿35歲
1006,中國文化大學,一般,私立,99,102,博士,35歲以上,1006,中國文化大學,一般,私立,99,103,博士,未滿35歲,1005,淡江大學,一般,私立,100,103,博士,35歲以上
1007,逢甲大學,一般,私立,99,102,博士,未滿35歲,1006,中國文化大學,一般,私立,99,103,博士,35歲以上,1006,中國文化大學,一般,私立,100,103,博士,未滿35歲
1007,逢甲大學,一般,私立,99,102,博士,35歲以上,1007,逢甲大學,一般,私立,99,103,博士,未滿35歲,1006,中國文化大學,一般,私立,100,103,博士,35歲以上
1008,靜宜大學,一般,私立,99,102,博士,35歲以上,1007,逢甲大學,一般,私立,99,103,博士,35歲以上,1007,逢甲大學,一般,私立,100,103,博士,未滿35歲
1008,靜宜大學,一般,私立,99,102,學士,進修學制,1008,靜宜大學,一般,私立,99,103,博士,35歲以上,1007,逢甲大學,一般,私立,100,103,博士,35歲以上
1009,長庚大學,一般,私立,99,102,博士,未滿35歲,1008,靜宜大學,一般,私立,99,103,學士,進修學制,1008,靜宜大學,一般,私立,100,103,博士,未滿35歲
1009,長庚大學,一般,私立,99,102,博士,35歲以上,1009,長庚大學,一般,私立,99,103,博士,未滿35歲,1009,長庚大學,一般,私立,100,103,博士,未滿35歲
1010,元智大學,一般,私立,99,102,博士,未滿35歲,1009,長庚大學,一般,私立,99,103,博士,35歲以上,1009,長庚大學,一般,私立,100,103,博士,35歲以上
1010,元智大學,一般,私立,99,102,博士,35歲以上,1010,元智大學,一般,私立,99,103,博士,未滿35歲,1010,元智大學,一般,私立,100,103,博士,未滿35歲
1011,中華大學,一般,私立,99,102,博士,未滿35歲,1010,元智大學,一般,私立,99,103,博士,35歲以上,1010,元智大學,一般,私立,100,103,博士,35歲以上
1011,中華大學,一般,私立,99,102,博士,35歲以上,1011,中華大學,一般,私立,99,103,博士,未滿35歲,1011,中華大學,一般,私立,100,103,博士,未滿35歲
1012,大葉大學,一般,私立,99,102,博士,未滿35歲,1011,中華大學,一般,私立,99,103,博士,35歲以上,1011,中華大學,一般,私立,100,103,博士,35歲以上
1012,大葉大學,一般,私立,99,102,博士,35歲以上,1012,大葉大學,一般,私立,99,103,博士,未滿35歲,1012,大葉大學,一般,私立,100,103,博士,未滿35歲
1014,義守大學,一般,私立,99,102,博士,未滿35歲,1012,大葉大學,一般,私立,99,103,博士,35歲以上,1012,大葉大學,一般,私立,100,103,博士,35歲以上
1014,義守大學,一般,私立,99,102,博士,35歲以上,1012,大葉大學,一般,私立,99,103,學士,進修學制,1013,華梵大學,一般,私立,100,103,博士,35歲以上
1015,世新大學,一般,私立,99,102,博士,35歲以上,1014,義守大學,一般,私立,99,103,博士,未滿35歲,1014,義守大學,一般,私立,100,103,博士,未滿35歲
1017,實踐大學,一般,私立,99,102,碩士,在職專班,1014,義守大學,一般,私立,99,103,博士,35歲以上,1014,義守大學,一般,私立,100,103,博士,35歲以上
1019,高雄醫學大學,一般,私立,99,102,博士,未滿35歲,1015,世新大學,一般,私立,99,103,博士,35歲以上,1015,世新大學,一般,私立,100,103,博士,35歲以上
1019,高雄醫學大學,一般,私立,99,102,博士,35歲以上,1017,實踐大學,一般,私立,99,103,碩士,在職專班,1019,高雄醫學大學,一般,私立,100,103,博士,未滿35歲
1020,南華大學,一般,私立,99,102,博士,35歲以上,1019,高雄醫學大學,一般,私立,99,103,博士,未滿35歲,1019,高雄醫學大學,一般,私立,100,103,博士,35歲以上
1020,南華大學,一般,私立,99,102,學士,進修學制,1019,高雄醫學大學,一般,私立,99,103,博士,35歲以上,1020,南華大學,一般,私立,100,103,博士,35歲以上
1021,真理大學,一般,私立,99,102,碩士,在職專班,1020,南華大學,一般,私立,99,103,博士,35歲以上,1020,南華大學,一般,私立,100,103,學士,進修學制
1022,大同大學,一般,私立,99,102,博士,未滿35歲,1021,真理大學,一般,私立,99,103,碩士,在職專班,1021,真理大學,一般,私立,100,103,碩士,在職專班
1022,大同大學,一般,私立,99,102,博士,35歲以上,1022,大同大學,一般,私立,99,103,博士,未滿35歲,1022,大同大學,一般,私立,100,103,博士,未滿35歲
1023,南臺科技大學,技職,私立,99,102,博士,未滿35歲,1022,大同大學,一般,私立,99,103,博士,35歲以上,1022,大同大學,一般,私立,100,103,博士,35歲以上
1024,崑山科技大學,技職,私立,99,102,專科,日間學制,1023,南臺科技大學,技職,私立,99,103,博士,未滿35歲,1027,慈濟大學,一般,私立,100,103,博士,未滿35歲
1027,慈濟大學,一般,私立,99,102,博士,未滿35歲,1024,崑山科技大學,技職,私立,99,103,專科,日間學制,1027,慈濟大學,一般,私立,100,103,博士,35歲以上
