學年度,設立別,學校類別,學校統計處代碼,學校名稱,編制內外,學位別,總計,專任教師數-一般教師-教授,專任教師數-一般教師-副教授,專任教師數-一般教師-助理教授,專任教師數-一般教師-講師,專任教師數-專案教學人員-教授,專任教師數-專案教學人員-副教授,專任教師數-專案教學人員-助理教授,專任教師數-專案教學人員-講師,專任教師數-專業技術人員及教師-教授,專任教師數-專業技術人員及教師-副教授,專任教師數-專業技術人員及教師-助理教授,專任教師數-專業技術人員及教師-講師,專任教師數-其他教師
110,公立,一般大學,0001,國立政治大學,編制內,學士,19,0,0,1,1,0,0,0,0,0,0,0,0,17
110,公立,一般大學,0001,國立政治大學,編制內,博士,638,302,214,121,0,0,0,0,0,0,0,1,0,0
110,公立,一般大學,0001,國立政治大學,編制內,碩士,28,5,4,0,5,0,0,0,0,0,2,4,4,4
110,公立,一般大學,0001,國立政治大學,編制外,博士,21,0,0,0,0,3,0,18,0,0,0,0,0,0
110,公立,一般大學,0001,國立政治大學,編制外,碩士,20,0,0,0,0,1,0,0,19,0,0,0,0,0
110,公立,一般大學,0002,國立清華大學,編制內,學士,5,2,0,0,0,0,0,0,0,0,1,0,0,2
110,公立,一般大學,0002,國立清華大學,編制內,博士,797,440,234,122,0,0,0,0,0,0,0,1,0,0
110,公立,一般大學,0002,國立清華大學,編制內,碩士,21,5,7,3,3,0,0,0,0,1,0,0,0,2
110,公立,一般大學,0002,國立清華大學,編制外,博士,27,0,0,0,0,14,2,10,1,0,0,0,0,0
110,公立,一般大學,0002,國立清華大學,編制外,碩士,9,0,0,0,0,1,0,0,7,1,0,0,0,0
110,公立,一般大學,0003,國立臺灣大學,編制內,學士,46,21,14,6,0,0,0,0,0,0,0,0,0,5
110,公立,一般大學,0003,國立臺灣大學,編制內,博士,1918,1117,504,292,3,0,0,0,0,1,0,1,0,0
110,公立,一般大學,0003,國立臺灣大學,編制內,碩士,48,9,12,8,10,0,0,0,0,0,0,1,1,7
110,公立,一般大學,0003,國立臺灣大學,編制外,學士,2,0,0,0,0,0,0,1,1,0,0,0,0,0
110,公立,一般大學,0003,國立臺灣大學,編制外,博士,44,0,0,0,0,1,5,37,1,0,0,0,0,0
110,公立,一般大學,0003,國立臺灣大學,編制外,碩士,6,0,0,0,0,0,0,0,6,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制內,學士,9,0,0,0,0,0,0,0,0,2,0,0,0,7
110,公立,一般大學,0004,國立臺灣師範大學,編制內,博士,734,436,207,88,3,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制內,碩士,37,11,4,1,10,0,0,0,0,2,1,2,0,6
110,公立,一般大學,0004,國立臺灣師範大學,編制內,其他,4,3,1,0,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制外,博士,22,0,0,0,0,0,0,19,3,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制外,碩士,18,0,0,0,0,0,0,0,18,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制外,其他,1,0,0,0,0,0,0,0,1,0,0,0,0,0
110,公立,一般大學,0005,國立成功大學,編制內,學士,55,25,24,3,0,0,0,0,0,0,0,0,0,3
110,公立,一般大學,0005,國立成功大學,編制內,博士,1186,617,375,187,5,0,0,0,0,0,0,0,0,2
110,公立,一般大學,0005,國立成功大學,編制內,碩士,45,8,15,6,3,0,0,0,0,0,0,0,0,13
110,公立,一般大學,0005,國立成功大學,編制外,博士,25,0,0,0,0,4,2,19,0,0,0,0,0,0
110,公立,一般大學,0005,國立成功大學,編制外,碩士,17,0,0,0,0,0,0,4,13,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制內,學士,13,4,2,2,2,0,0,0,0,0,0,0,0,3
110,公立,一般大學,0006,國立中興大學,編制內,博士,737,405,196,134,2,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制內,碩士,32,1,7,4,9,0,0,0,0,0,0,0,0,11
110,公立,一般大學,0006,國立中興大學,編制外,學士,4,0,0,0,0,0,2,2,0,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制外,博士,46,0,0,0,0,5,10,31,0,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制外,碩士,8,0,0,0,0,1,1,6,0,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制內,學士,28,14,6,2,1,0,0,0,0,0,0,0,0,5
110,公立,一般大學,0007,國立陽明交通大學,編制內,博士,1020,568,276,175,1,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制內,碩士,42,7,9,7,9,0,0,0,0,0,0,1,0,9
110,公立,一般大學,0007,國立陽明交通大學,編制內,其他,2,0,0,0,1,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0007,國立陽明交通大學,編制外,學士,5,0,0,0,0,0,2,3,0,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制外,博士,49,0,0,0,0,17,3,29,0,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制外,碩士,10,0,0,0,0,0,0,1,9,0,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制內,學士,5,0,2,0,0,0,0,0,0,0,0,0,0,3
110,公立,一般大學,0008,國立中央大學,編制內,博士,600,340,165,94,1,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制內,碩士,17,0,3,4,8,0,0,0,0,0,0,0,0,2
110,公立,一般大學,0008,國立中央大學,編制外,博士,43,0,0,0,0,20,5,17,0,1,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制外,碩士,10,0,0,0,0,2,0,0,8,0,0,0,0,0
110,公立,一般大學,0009,國立中山大學,編制內,學士,3,0,0,0,0,0,0,0,0,0,0,0,0,3
110,公立,一般大學,0009,國立中山大學,編制內,博士,524,245,135,144,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0009,國立中山大學,編制內,碩士,8,2,1,3,1,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0009,國立中山大學,編制外,博士,39,0,0,0,0,4,3,32,0,0,0,0,0,0
110,公立,一般大學,0012,國立臺灣海洋大學,編制內,學士,7,0,0,0,0,0,0,0,0,0,0,1,0,6
110,公立,一般大學,0012,國立臺灣海洋大學,編制內,博士,409,191,115,103,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0012,國立臺灣海洋大學,編制內,碩士,13,1,0,3,2,0,0,0,0,0,0,0,0,7
110,公立,一般大學,0012,國立臺灣海洋大學,編制內,其他,1,1,0,0,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0012,國立臺灣海洋大學,編制外,博士,8,0,0,0,0,0,0,8,0,0,0,0,0,0
110,公立,一般大學,0012,國立臺灣海洋大學,編制外,碩士,5,0,0,0,0,0,0,0,2,0,0,3,0,0
110,公立,一般大學,0013,國立中正大學,編制內,博士,503,284,155,64,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0013,國立中正大學,編制內,碩士,8,0,0,1,1,0,0,0,0,1,1,0,0,4
110,公立,一般大學,0013,國立中正大學,編制外,博士,16,0,0,0,0,4,1,11,0,0,0,0,0,0
110,公立,一般大學,0013,國立中正大學,編制外,碩士,5,0,0,0,0,0,0,0,5,0,0,0,0,0
110,公立,一般大學,0014,國立高雄師範大學,編制內,學士,2,0,0,0,0,0,0,0,0,0,0,0,0,2
110,公立,一般大學,0014,國立高雄師範大學,編制內,博士,265,149,78,37,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0014,國立高雄師範大學,編制內,碩士,9,3,1,0,1,0,0,0,0,0,0,0,0,4
110,公立,一般大學,0014,國立高雄師範大學,編制外,博士,8,0,0,0,0,0,0,8,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制內,學士,1,0,1,0,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制內,博士,334,187,98,48,1,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制內,碩士,16,4,3,2,6,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0015,國立彰化師範大學,編制外,博士,29,0,0,0,0,11,1,17,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制外,碩士,2,0,0,0,0,2,0,0,0,0,0,0,0,0
110,公立,一般大學,0017,國立臺北大學,編制內,學士,5,0,0,0,0,0,0,0,0,0,0,0,0,5
110,公立,一般大學,0017,國立臺北大學,編制內,博士,344,142,113,88,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0017,國立臺北大學,編制內,碩士,18,2,0,0,9,0,0,0,0,0,0,0,0,7
110,公立,一般大學,0017,國立臺北大學,編制外,博士,14,0,0,0,0,5,2,7,0,0,0,0,0,0
110,公立,一般大學,0017,國立臺北大學,編制外,碩士,1,0,0,0,0,0,0,0,1,0,0,0,0,0
110,公立,一般大學,0018,國立嘉義大學,編制內,學士,3,0,0,0,0,0,0,0,0,0,0,0,0,3
110,公立,一般大學,0018,國立嘉義大學,編制內,博士,433,203,141,86,3,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0018,國立嘉義大學,編制內,碩士,32,4,8,4,10,0,0,0,0,0,0,0,1,5
110,公立,一般大學,0018,國立嘉義大學,編制外,博士,29,0,0,0,0,0,0,29,0,0,0,0,0,0
110,公立,一般大學,0018,國立嘉義大學,編制外,碩士,3,0,0,0,0,0,0,0,3,0,0,0,0,0
110,公立,一般大學,0019,國立高雄大學,編制內,學士,1,0,0,0,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0019,國立高雄大學,編制內,副學士,1,0,0,0,0,0,0,0,0,0,0,0,1,0
110,公立,一般大學,0019,國立高雄大學,編制內,博士,215,114,70,31,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0019,國立高雄大學,編制內,碩士,8,3,2,2,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0019,國立高雄大學,編制外,博士,9,0,0,0,0,0,0,9,0,0,0,0,0,0
110,公立,一般大學,0019,國立高雄大學,編制外,碩士,4,0,0,0,0,0,0,2,2,0,0,0,0,0
110,公立,一般大學,0020,國立東華大學,編制內,博士,415,197,164,53,1,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0020,國立東華大學,編制內,碩士,8,2,4,2,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0020,國立東華大學,編制外,博士,13,0,0,0,0,0,0,10,3,0,0,0,0,0
110,公立,一般大學,0020,國立東華大學,編制外,碩士,20,0,0,0,0,0,0,0,20,0,0,0,0,0
110,公立,一般大學,0021,國立暨南國際大學,編制內,博士,251,130,102,19,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0021,國立暨南國際大學,編制內,碩士,1,0,0,1,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0021,國立暨南國際大學,編制外,學士,1,0,0,0,0,0,0,0,0,0,0,0,1,0
110,公立,一般大學,0021,國立暨南國際大學,編制外,博士,11,0,0,0,0,0,0,9,2,0,0,0,0,0
110,公立,一般大學,0021,國立暨南國際大學,編制外,碩士,6,0,0,0,0,0,0,0,6,0,0,0,0,0
110,公立,技專校院,0022,國立臺灣科技大學,編制內,博士,399,256,94,47,0,0,0,0,0,1,0,0,0,1
110,公立,技專校院,0022,國立臺灣科技大學,編制內,碩士,7,0,4,0,1,0,0,0,0,0,1,0,0,1
110,公立,技專校院,0022,國立臺灣科技大學,編制外,博士,86,4,0,0,0,12,5,61,0,2,2,0,0,0
110,公立,技專校院,0022,國立臺灣科技大學,編制外,碩士,30,1,0,0,0,1,0,2,22,0,0,4,0,0
110,公立,技專校院,0023,國立雲林科技大學,編制內,學士,2,0,0,0,0,0,0,0,0,0,0,1,0,1
110,公立,技專校院,0023,國立雲林科技大學,編制內,博士,313,152,104,55,0,0,0,0,0,0,0,1,0,1
110,公立,技專校院,0023,國立雲林科技大學,編制內,碩士,37,6,7,8,3,0,0,0,0,0,2,3,1,7
110,公立,技專校院,0023,國立雲林科技大學,編制外,博士,56,0,0,0,0,3,6,45,2,0,0,0,0,0
110,公立,技專校院,0023,國立雲林科技大學,編制外,碩士,10,0,0,0,0,0,0,1,8,0,0,1,0,0
110,公立,技專校院,0024,國立屏東科技大學,編制內,學士,5,1,0,0,0,0,0,0,0,1,0,0,0,3
110,公立,技專校院,0024,國立屏東科技大學,編制內,博士,340,162,122,55,0,0,0,0,0,0,1,0,0,0
110,公立,技專校院,0024,國立屏東科技大學,編制內,碩士,24,4,0,1,12,0,0,0,0,1,1,1,2,2
110,公立,技專校院,0024,國立屏東科技大學,編制外,博士,23,0,0,0,0,1,6,15,1,0,0,0,0,0
110,公立,技專校院,0024,國立屏東科技大學,編制外,碩士,11,0,0,0,0,0,0,1,10,0,0,0,0,0
110,公立,技專校院,0025,國立臺北科技大學,編制內,學士,7,0,0,0,0,0,0,0,0,0,0,0,0,7
110,公立,技專校院,0025,國立臺北科技大學,編制內,博士,421,206,141,72,1,0,0,0,0,0,0,0,0,1
110,公立,技專校院,0025,國立臺北科技大學,編制內,碩士,18,2,6,1,3,0,0,0,0,0,1,0,0,5
110,公立,技專校院,0025,國立臺北科技大學,編制外,博士,7,0,0,0,0,0,0,7,0,0,0,0,0,0
110,公立,技專校院,0025,國立臺北科技大學,編制外,碩士,10,0,0,0,0,0,0,0,10,0,0,0,0,0
110,公立,一般大學,0028,國立臺北藝術大學,編制內,學士,10,0,0,0,0,0,0,0,0,1,1,1,0,7
110,公立,一般大學,0028,國立臺北藝術大學,編制內,副學士,3,0,0,0,0,0,0,0,0,0,1,1,0,1
110,公立,一般大學,0028,國立臺北藝術大學,編制內,博士,76,22,33,20,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0028,國立臺北藝術大學,編制內,碩士,71,17,17,15,12,0,0,0,0,0,3,4,0,3
110,公立,一般大學,0028,國立臺北藝術大學,編制內,其他,2,0,0,0,0,0,0,0,0,1,1,0,0,0
110,公立,一般大學,0028,國立臺北藝術大學,編制外,學士,1,0,0,0,0,0,0,1,0,0,0,0,0,0
110,公立,一般大學,0028,國立臺北藝術大學,編制外,副學士,2,0,0,0,0,0,2,0,0,0,0,0,0,0
110,公立,一般大學,0028,國立臺北藝術大學,編制外,碩士,3,0,0,0,0,2,0,0,1,0,0,0,0,0
110,公立,一般大學,0029,國立臺灣藝術大學,編制內,學士,1,0,1,0,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0029,國立臺灣藝術大學,編制內,博士,83,42,30,11,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0029,國立臺灣藝術大學,編制內,碩士,45,19,11,8,4,0,0,0,0,0,0,2,0,1
110,公立,一般大學,0029,國立臺灣藝術大學,編制內,其他,3,0,0,0,0,0,0,0,0,1,1,1,0,0
110,公立,一般大學,0029,國立臺灣藝術大學,編制外,學士,1,0,0,0,0,1,0,0,0,0,0,0,0,0
110,公立,一般大學,0029,國立臺灣藝術大學,編制外,副學士,1,0,0,0,0,0,0,1,0,0,0,0,0,0
110,公立,一般大學,0029,國立臺灣藝術大學,編制外,博士,19,0,0,0,0,1,4,14,0,0,0,0,0,0
110,公立,一般大學,0029,國立臺灣藝術大學,編制外,碩士,11,0,0,0,0,3,0,8,0,0,0,0,0,0
110,公立,一般大學,0029,國立臺灣藝術大學,編制外,其他,1,0,0,0,0,0,1,0,0,0,0,0,0,0
110,公立,一般大學,0030,國立臺東大學,編制內,學士,2,0,0,0,0,0,0,0,0,0,0,1,0,1
110,公立,一般大學,0030,國立臺東大學,編制內,博士,182,58,78,46,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0030,國立臺東大學,編制內,碩士,18,3,3,1,8,0,0,0,0,0,0,0,0,3
110,公立,一般大學,0030,國立臺東大學,編制外,博士,2,0,0,0,0,0,0,2,0,0,0,0,0,0
110,公立,一般大學,0030,國立臺東大學,編制外,碩士,2,0,0,0,0,0,0,0,2,0,0,0,0,0
110,公立,一般大學,0031,國立宜蘭大學,編制內,學士,2,0,1,0,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0031,國立宜蘭大學,編制內,博士,195,91,63,41,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0031,國立宜蘭大學,編制內,碩士,35,1,12,4,17,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0031,國立宜蘭大學,編制外,博士,1,0,0,0,0,0,0,1,0,0,0,0,0,0
110,公立,一般大學,0032,國立聯合大學,編制內,學士,4,0,1,2,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0032,國立聯合大學,編制內,博士,228,81,102,44,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0032,國立聯合大學,編制內,碩士,38,1,14,9,13,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0032,國立聯合大學,編制外,博士,9,0,0,0,0,0,1,8,0,0,0,0,0,0
110,公立,一般大學,0032,國立聯合大學,編制外,碩士,4,0,0,0,0,0,0,0,4,0,0,0,0,0
110,公立,技專校院,0033,國立虎尾科技大學,編制內,學士,5,0,0,1,1,0,0,0,0,0,0,0,0,3
110,公立,技專校院,0033,國立虎尾科技大學,編制內,博士,302,142,103,56,0,0,0,0,0,0,0,1,0,0
110,公立,技專校院,0033,國立虎尾科技大學,編制內,碩士,26,3,6,10,6,0,0,0,0,0,0,1,0,0
110,公立,技專校院,0033,國立虎尾科技大學,編制外,博士,9,0,0,0,0,0,1,8,0,0,0,0,0,0
110,公立,技專校院,0033,國立虎尾科技大學,編制外,碩士,7,0,0,0,0,0,0,0,6,0,0,1,0,0
110,公立,一般大學,0035,國立臺南藝術大學,編制內,學士,3,0,0,0,0,0,0,0,0,2,0,1,0,0
110,公立,一般大學,0035,國立臺南藝術大學,編制內,博士,57,18,20,19,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0035,國立臺南藝術大學,編制內,碩士,24,4,5,11,2,0,0,0,0,1,1,0,0,0
110,公立,一般大學,0035,國立臺南藝術大學,編制內,其他,13,4,2,5,0,0,0,0,0,0,2,0,0,0
110,公立,一般大學,0035,國立臺南藝術大學,編制外,副學士,1,0,0,0,0,0,0,0,0,0,1,0,0,0
110,公立,一般大學,0035,國立臺南藝術大學,編制外,博士,4,0,0,0,0,1,0,3,0,0,0,0,0,0
110,公立,一般大學,0035,國立臺南藝術大學,編制外,碩士,3,0,0,0,0,0,0,1,1,1,0,0,0,0
110,公立,一般大學,0035,國立臺南藝術大學,編制外,其他,2,0,0,0,0,0,0,0,0,1,0,1,0,0
110,公立,一般大學,0036,國立臺南大學,編制內,學士,2,0,0,0,0,0,0,0,0,0,0,0,0,2
110,公立,一般大學,0036,國立臺南大學,編制內,博士,213,111,73,29,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0036,國立臺南大學,編制內,碩士,11,2,7,1,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0036,國立臺南大學,編制內,其他,1,0,0,1,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0037,國立臺北教育大學,編制內,博士,223,99,64,59,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0037,國立臺北教育大學,編制內,碩士,13,4,2,2,3,0,0,0,0,0,0,0,0,2
110,公立,一般大學,0037,國立臺北教育大學,編制內,其他,3,1,0,2,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0037,國立臺北教育大學,編制外,博士,5,0,0,0,0,0,1,2,2,0,0,0,0,0
110,公立,一般大學,0037,國立臺北教育大學,編制外,碩士,1,0,0,0,0,0,0,0,1,0,0,0,0,0
110,公立,一般大學,0039,國立臺中教育大學,編制內,博士,179,82,61,36,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0039,國立臺中教育大學,編制內,碩士,14,3,4,0,3,0,0,0,0,0,0,0,0,4
110,公立,一般大學,0039,國立臺中教育大學,編制外,博士,10,0,0,0,0,0,0,10,0,0,0,0,0,0
110,公立,一般大學,0039,國立臺中教育大學,編制外,碩士,1,0,0,0,0,0,0,0,1,0,0,0,0,0
110,公立,技專校院,0042,國立澎湖科技大學,編制內,學士,2,0,0,0,1,0,0,0,0,0,0,0,0,1
110,公立,技專校院,0042,國立澎湖科技大學,編制內,博士,81,35,31,15,0,0,0,0,0,0,0,0,0,0
110,公立,技專校院,0042,國立澎湖科技大學,編制內,碩士,11,1,1,5,3,0,0,0,0,1,0,0,0,0
110,公立,技專校院,0042,國立澎湖科技大學,編制外,學士,1,0,0,0,0,0,0,0,0,0,1,0,0,0
110,公立,技專校院,0042,國立澎湖科技大學,編制外,博士,28,0,0,0,0,0,2,25,1,0,0,0,0,0
110,公立,技專校院,0042,國立澎湖科技大學,編制外,碩士,5,0,0,0,0,0,0,1,4,0,0,0,0,0
110,公立,技專校院,0043,國立勤益科技大學,編制內,學士,6,0,2,0,1,0,0,0,0,0,0,0,0,3
110,公立,技專校院,0043,國立勤益科技大學,編制內,副學士,1,0,0,0,0,0,0,0,0,0,0,0,0,1
110,公立,技專校院,0043,國立勤益科技大學,編制內,博士,218,109,79,30,0,0,0,0,0,0,0,0,0,0
110,公立,技專校院,0043,國立勤益科技大學,編制內,碩士,44,6,13,9,12,0,0,0,0,0,0,0,1,3
110,公立,技專校院,0043,國立勤益科技大學,編制外,博士,45,0,0,0,0,0,1,44,0,0,0,0,0,0
110,公立,一般大學,0044,國立體育大學,編制內,學士,1,0,0,0,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0044,國立體育大學,編制內,博士,67,33,21,11,0,0,0,0,0,0,1,0,0,1
110,公立,一般大學,0044,國立體育大學,編制內,碩士,34,5,9,1,5,0,0,0,0,1,4,2,0,7
