學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,兼任教師數-教師總數,兼任教師數-教師總數男,兼任教師數-教師總數女,兼任教師數-教授男,兼任教師數-教授女,兼任教師數-副教授男,兼任教師數-副教授女,兼任教師數-助理教授男,兼任教師數-助理教授女,兼任教師數-講師男,兼任教師數-講師女,兼任教師數-其他教師男,兼任教師數-其他教師女,兼任助理教授以上總人數,兼任助理教授以上總人數男,兼任助理教授以上總人數女,兼任講師以上總人數,兼任講師以上總人數男,兼任講師以上總人數女
106,公立,一般大學,0006,國立中興大學,05411041,應用數學系,11,7,4,3,0,3,2,1,2,0,0,0,0,11,7,4,11,7,4
106,公立,一般大學,0006,國立中興大學,06131048,資訊科學與工程學系,3,3,0,2,0,1,0,0,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0006,國立中興大學,07111055,化學工程學系,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0006,國立中興大學,07112057,材料科學與工程學系,3,3,0,1,0,1,0,1,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0006,國立中興大學,07121059,環境工程學系,3,3,0,0,0,0,0,3,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0006,國立中興大學,07141045,電機工程學系,6,5,1,5,0,0,0,0,1,0,0,0,0,6,5,1,6,5,1
106,公立,一般大學,0006,國立中興大學,07141046,光電工程研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0006,國立中興大學,07151050,機械工程學系,4,4,0,3,0,0,0,1,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0006,國立中興大學,07151051,精密工程研究所,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1
106,公立,一般大學,0006,國立中興大學,07193060,生醫工程研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0006,國立中興大學,07211081,食品暨應用生物科技學系,3,3,0,1,0,0,0,2,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0006,國立中興大學,07312061,景觀與遊憩學士學位學程,4,2,2,0,0,0,0,0,2,2,0,0,0,2,0,2,4,2,2
106,公立,一般大學,0006,國立中興大學,08111063,農藝學系,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0006,國立中興大學,08111064,國際農學碩士學位學程,4,2,2,1,1,0,0,1,1,0,0,0,0,4,2,2,4,2,2
106,公立,一般大學,0006,國立中興大學,08112066,動物科學系,9,9,0,7,0,1,0,0,0,1,0,0,0,8,8,0,9,9,0
106,公立,一般大學,0006,國立中興大學,08121067,園藝學系,7,7,0,4,0,1,0,0,0,2,0,0,0,5,5,0,7,7,0
106,公立,一般大學,0006,國立中興大學,08191083,土壤環境科學系,4,4,0,3,0,1,0,0,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0006,國立中興大學,08193076,生物產業管理進修學士學位學程,18,17,1,0,0,3,0,7,1,7,0,0,0,11,10,1,18,17,1
106,公立,一般大學,0006,國立中興大學,08193078,國際農企業學士學位學程,2,2,0,1,0,0,0,0,0,1,0,0,0,1,1,0,2,2,0
106,公立,一般大學,0006,國立中興大學,08194068,植物病理學系,8,7,1,6,0,0,0,1,1,0,0,0,0,8,7,1,8,7,1
106,公立,一般大學,0006,國立中興大學,08194069,植物醫學暨安全農業碩士學位學程,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1
106,公立,一般大學,0006,國立中興大學,08211086,森林學系,5,4,1,2,0,1,0,0,0,1,1,0,0,3,3,0,5,4,1
106,公立,一般大學,0006,國立中興大學,08411087,獸醫學系,3,3,0,1,0,1,0,0,0,1,0,0,0,2,2,0,3,3,0
106,公立,一般大學,0006,國立中興大學,08411089,獸醫病理生物學研究所,5,5,0,1,0,1,0,3,0,0,0,0,0,5,5,0,5,5,0
106,公立,一般大學,0006,國立中興大學,08411092,微生物暨公共衛生學研究所,2,2,0,1,0,0,0,1,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0006,國立中興大學,09121093,轉譯醫學博士學位學程,2,1,1,0,0,0,0,1,1,0,0,0,0,2,1,1,2,1,1
106,公立,一般大學,0006,國立中興大學,99999Z01,通識教育中心,21,7,14,1,0,2,2,4,7,0,5,0,0,16,7,9,21,7,14
106,公立,一般大學,0006,國立中興大學,99999Z05,師資培育中心,5,4,1,0,0,1,0,3,1,0,0,0,0,5,4,1,5,4,1
106,公立,一般大學,0006,國立中興大學,99999Z07,體育室,3,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,3,2,1
106,公立,一般大學,0007,國立陽明交通大學,01111001,教育研究所,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1
106,公立,一般大學,0007,國立陽明交通大學,02122004,應用藝術研究所,7,6,1,2,0,0,0,2,0,2,1,0,0,4,4,0,7,6,1
106,公立,一般大學,0007,國立陽明交通大學,02151003,音樂研究所,22,8,14,2,0,2,1,4,10,0,3,0,0,19,8,11,22,8,14
106,公立,一般大學,0007,國立陽明交通大學,02299008,人文社會學系,2,1,1,0,0,0,0,1,1,0,0,0,0,2,1,1,2,1,1
106,公立,一般大學,0007,國立陽明交通大學,02299010,社會與文化研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0007,國立陽明交通大學,02299Y11,人文社會學院,4,3,1,0,0,0,0,1,0,2,1,0,0,1,1,0,4,3,1
106,公立,一般大學,0007,國立陽明交通大學,02311005,外國語文學系,11,3,8,1,0,0,1,1,1,1,6,0,0,4,2,2,11,3,8
106,公立,一般大學,0007,國立陽明交通大學,03211015,傳播與科技學系,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
106,公立,一般大學,0007,國立陽明交通大學,04121020,資訊管理與財務金融學系,6,5,1,4,0,0,1,1,0,0,0,0,0,6,5,1,6,5,1
106,公立,一般大學,0007,國立陽明交通大學,04131017,經營管理研究所,9,8,1,3,1,2,0,3,0,0,0,0,0,9,8,1,9,8,1
106,公立,一般大學,0007,國立陽明交通大學,04131018,管理科學系,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0007,國立陽明交通大學,04131026,管理學院碩士在職專班,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0007,國立陽明交通大學,04199023,科技管理研究所,7,7,0,3,0,2,0,2,0,0,0,0,0,7,7,0,7,7,0
106,公立,一般大學,0007,國立陽明交通大學,04199024,高階主管管理碩士學程,10,10,0,7,0,1,0,2,0,0,0,0,0,10,10,0,10,10,0
106,公立,一般大學,0007,國立陽明交通大學,04212027,科技法律研究所,14,8,6,1,3,3,0,4,2,0,1,0,0,13,8,5,14,8,6
106,公立,一般大學,0007,國立陽明交通大學,05121028,生物科技學系,2,2,0,0,0,0,0,1,0,1,0,0,0,1,1,0,2,2,0
106,公立,一般大學,0007,國立陽明交通大學,05124034,生物資訊及系統生物研究所,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1
106,公立,一般大學,0007,國立陽明交通大學,05311036,應用化學系,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0007,國立陽明交通大學,05331040,物理研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0007,國立陽明交通大學,05331041,電子物理學系,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0007,國立陽明交通大學,05411045,應用數學系,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0007,國立陽明交通大學,05421047,統計學研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0007,國立陽明交通大學,06131058,資訊工程學系,3,2,1,0,0,0,0,0,1,2,0,0,0,1,0,1,3,2,1
106,公立,一般大學,0007,國立陽明交通大學,06131061,資訊科學與工程研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0007,國立陽明交通大學,06132049,多媒體工程研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0007,國立陽明交通大學,07121076,環境工程研究所,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0007,國立陽明交通大學,07141050,電機工程學系,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
106,公立,一般大學,0007,國立陽明交通大學,07141051,電子工程學系,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0007,國立陽明交通大學,07141053,電子研究所,15,14,1,3,1,0,0,3,0,8,0,0,0,7,6,1,15,14,1
106,公立,一般大學,0007,國立陽明交通大學,07141055,光電工程學系,3,2,1,2,1,0,0,0,0,0,0,0,0,3,2,1,3,2,1
106,公立,一般大學,0007,國立陽明交通大學,07141062,電信工程研究所,3,3,0,2,0,0,0,1,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0007,國立陽明交通大學,07141064,電控工程研究所,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0007,國立陽明交通大學,07141065,光電系統研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0007,國立陽明交通大學,07141066,國際半導體產業學院,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0007,國立陽明交通大學,07151070,機械工程學系,4,4,0,2,0,1,0,1,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0007,國立陽明交通大學,07191075,工業工程與管理學系,3,2,1,1,1,0,0,1,0,0,0,0,0,3,2,1,3,2,1
106,公立,一般大學,0007,國立陽明交通大學,07193077,生醫工程研究所,2,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0007,國立陽明交通大學,07193079,影像與生醫光電研究所,2,2,0,1,0,1,0,0,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0007,國立陽明交通大學,07199083,工學院碩士在職專班,8,8,0,2,0,3,0,3,0,0,0,0,0,8,8,0,8,8,0
106,公立,一般大學,0007,國立陽明交通大學,07311085,建築研究所,16,12,4,0,0,1,0,8,3,3,1,0,0,12,9,3,16,12,4
106,公立,一般大學,0007,國立陽明交通大學,07321071,土木工程學系,5,5,0,1,0,1,0,2,0,1,0,0,0,4,4,0,5,5,0
106,公立,一般大學,0007,國立陽明交通大學,10411086,運輸與物流管理學系,5,3,2,1,0,2,1,0,1,0,0,0,0,5,3,2,5,3,2
106,公立,一般大學,0007,國立陽明交通大學,99999Z01,通識教育中心,9,7,2,1,0,3,0,2,2,1,0,0,0,8,6,2,9,7,2
106,公立,一般大學,0007,國立陽明交通大學,99999Z05,師資培育中心,4,2,2,0,1,0,0,1,0,1,1,0,0,2,1,1,4,2,2
106,公立,一般大學,0007,國立陽明交通大學,99999Z07,體育室,12,8,4,0,0,0,0,0,1,8,3,0,0,1,0,1,12,8,4
106,公立,一般大學,0007,國立陽明交通大學,99999Z08,語言教學與研究中心,35,2,33,0,0,0,0,0,4,2,29,0,0,4,0,4,35,2,33
106,公立,一般大學,0008,國立中央大學,01115001,學習與教學研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0008,國立中央大學,02191004,藝術學研究所,2,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,2,1,1
106,公立,一般大學,0008,國立中央大學,02221010,歷史研究所,7,5,2,1,1,1,1,3,0,0,0,0,0,7,5,2,7,5,2
106,公立,一般大學,0008,國立中央大學,02231011,哲學研究所,5,5,0,5,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0
106,公立,一般大學,0008,國立中央大學,02311008,法國語文學系,8,5,3,0,0,2,0,0,0,3,3,0,0,2,2,0,8,5,3
106,公立,一般大學,0008,國立中央大學,02322006,中國文學系,24,10,14,2,2,0,0,2,4,6,8,0,0,10,4,6,24,10,14
106,公立,一般大學,0008,國立中央大學,03111013,經濟學系,6,3,3,0,0,1,1,0,1,2,1,0,0,3,1,2,6,3,3
106,公立,一般大學,0008,國立中央大學,03111014,產業經濟研究所,3,3,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0008,國立中央大學,03131017,認知神經科學研究所,6,5,1,1,1,4,0,0,0,0,0,0,0,6,5,1,6,5,1
106,公立,一般大學,0008,國立中央大學,03199020,客家語文暨社會科學學系,7,2,5,2,0,0,1,0,2,0,2,0,0,5,2,3,7,2,5
106,公立,一般大學,0008,國立中央大學,04121024,財務金融學系,5,4,1,0,0,2,0,0,1,2,0,0,0,3,2,1,5,4,1
106,公立,一般大學,0008,國立中央大學,04131023,企業管理學系,10,6,4,1,1,1,1,2,2,2,0,0,0,8,4,4,10,6,4
106,公立,一般大學,0008,國立中央大學,04199027,人力資源管理研究所,5,4,1,3,1,1,0,0,0,0,0,0,0,5,4,1,5,4,1
106,公立,一般大學,0008,國立中央大學,04211030,法律與政府研究所,2,1,1,1,0,0,1,0,0,0,0,0,0,2,1,1,2,1,1
106,公立,一般大學,0008,國立中央大學,05111031,生命科學系,7,5,2,3,1,2,0,0,1,0,0,0,0,7,5,2,7,5,2
106,公立,一般大學,0008,國立中央大學,05311035,化學學系,4,4,0,4,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0008,國立中央大學,05321036,地球科學學系,25,23,2,5,0,11,2,7,0,0,0,0,0,25,23,2,25,23,2
106,公立,一般大學,0008,國立中央大學,05321037,應用地質研究所,6,6,0,5,0,1,0,0,0,0,0,0,0,6,6,0,6,6,0
106,公立,一般大學,0008,國立中央大學,05321039,水文與海洋科學研究所,5,4,1,3,0,0,0,1,1,0,0,0,0,5,4,1,5,4,1
106,公立,一般大學,0008,國立中央大學,05322044,大氣科學學系,29,25,4,19,2,4,1,2,1,0,0,0,0,29,25,4,29,25,4
106,公立,一般大學,0008,國立中央大學,05322047,太空科學研究所,6,6,0,5,0,1,0,0,0,0,0,0,0,6,6,0,6,6,0
106,公立,一般大學,0008,國立中央大學,05331042,物理學系,11,10,1,6,0,1,1,1,0,2,0,0,0,9,8,1,11,10,1
106,公立,一般大學,0008,國立中央大學,05332045,天文研究所,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0008,國立中央大學,05411051,數學系,23,19,4,12,0,2,1,2,2,3,1,0,0,19,16,3,23,19,4
106,公立,一般大學,0008,國立中央大學,05421052,統計研究所,4,4,0,2,0,2,0,0,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0008,國立中央大學,06131053,資訊管理學系,6,5,1,1,1,2,0,2,0,0,0,0,0,6,5,1,6,5,1
106,公立,一般大學,0008,國立中央大學,06131059,資訊工程學系,8,8,0,5,0,0,0,2,0,1,0,0,0,7,7,0,8,8,0
106,公立,一般大學,0008,國立中央大學,06132002,網路學習科技研究所,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1
106,公立,一般大學,0008,國立中央大學,07111069,化學工程與材料工程學系,4,4,0,3,0,1,0,0,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0008,國立中央大學,07112070,材料科學與工程研究所,4,4,0,1,0,2,0,1,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0008,國立中央大學,07121072,環境工程研究所,15,14,1,7,0,4,0,3,1,0,0,0,0,15,14,1,15,14,1
106,公立,一般大學,0008,國立中央大學,07141055,電機工程學系,3,2,1,1,1,0,0,1,0,0,0,0,0,3,2,1,3,2,1
106,公立,一般大學,0008,國立中央大學,07141057,光電科學與工程學系,7,7,0,4,0,0,0,3,0,0,0,0,0,7,7,0,7,7,0
106,公立,一般大學,0008,國立中央大學,07141060,通訊工程學系,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0008,國立中央大學,07151064,機械工程學系,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0008,國立中央大學,07191026,工業管理研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0008,國立中央大學,07193074,生醫科學與工程學系,15,15,0,5,0,4,0,6,0,0,0,0,0,15,15,0,15,15,0
106,公立,一般大學,0008,國立中央大學,07321067,土木工程學系,15,15,0,5,0,2,0,8,0,0,0,0,0,15,15,0,15,15,0
106,公立,一般大學,0008,國立中央大學,07399028,營建管理研究所,2,2,0,1,0,1,0,0,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0008,國立中央大學,99999999,太空及遙測研究中心,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0008,國立中央大學,99999Z01,通識教育中心,17,12,5,2,1,2,0,6,3,2,1,0,0,14,10,4,17,12,5
106,公立,一般大學,0008,國立中央大學,99999Z05,師資培育中心,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
106,公立,一般大學,0008,國立中央大學,99999Z07,體育室,5,4,1,0,0,1,0,0,1,3,0,0,0,2,1,1,5,4,1
106,公立,一般大學,0008,國立中央大學,99999Z08,語言中心,20,4,16,0,0,0,1,1,1,3,14,0,0,3,1,2,20,4,16
106,公立,一般大學,0009,國立中山大學,01111001,教育研究所,3,3,0,2,0,1,0,0,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0009,國立中山大學,02151002,音樂學系,44,16,28,0,2,1,2,8,13,7,11,0,0,26,9,17,44,16,28
106,公立,一般大學,0009,國立中山大學,02152003,劇場藝術學系,7,3,4,1,0,0,1,0,2,2,1,0,0,4,1,3,7,3,4
106,公立,一般大學,0009,國立中山大學,02231008,哲學研究所,2,2,0,1,0,0,0,1,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0009,國立中山大學,02311006,外國語文學系,13,4,9,1,0,0,0,1,1,2,8,0,0,3,2,1,13,4,9
106,公立,一般大學,0009,國立中山大學,02322005,中國文學系,8,4,4,1,0,0,1,3,3,0,0,0,0,8,4,4,8,4,4
106,公立,一般大學,0009,國立中山大學,03111009,經濟學研究所,6,5,1,3,0,2,1,0,0,0,0,0,0,6,5,1,6,5,1
106,公立,一般大學,0009,國立中山大學,03121011,政治學研究所,3,3,0,1,0,2,0,0,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0009,國立中山大學,03121027,海洋事務研究所,2,1,1,0,1,0,0,1,0,0,0,0,0,2,1,1,2,1,1
106,公立,一般大學,0009,國立中山大學,03141013,社會學系,4,3,1,1,0,0,0,0,0,2,1,0,0,1,1,0,4,3,1
106,公立,一般大學,0009,國立中山大學,03143016,中國與亞太區域研究所,4,4,0,2,0,0,0,2,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0009,國立中山大學,04121024,財務管理學系,6,4,2,1,0,0,0,1,0,2,2,0,0,2,2,0,6,4,2
106,公立,一般大學,0009,國立中山大學,04131021,企業管理學系,13,10,3,5,0,3,1,1,1,1,1,0,0,11,9,2,13,10,3
106,公立,一般大學,0009,國立中山大學,04131022,管理學院國際經營管理碩士學程,2,1,1,0,0,0,0,1,1,0,0,0,0,2,1,1,2,1,1
106,公立,一般大學,0009,國立中山大學,04134010,政治經濟學系,5,5,0,2,0,0,0,3,0,0,0,0,0,5,5,0,5,5,0
106,公立,一般大學,0009,國立中山大學,04141025,行銷傳播管理研究所,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1
106,公立,一般大學,0009,國立中山大學,04191028,人力資源管理研究所,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1
106,公立,一般大學,0009,國立中山大學,05111033,生物科學系,3,2,1,1,1,1,0,0,0,0,0,0,0,3,2,1,3,2,1
106,公立,一般大學,0009,國立中山大學,05323044,海洋生物科技暨資源學系,3,3,0,1,0,2,0,0,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0009,國立中山大學,05323047,海洋科學系,4,2,2,2,1,0,0,0,0,0,1,0,0,3,2,1,4,2,2
106,公立,一般大學,0009,國立中山大學,05331038,物理學系,6,6,0,6,0,0,0,0,0,0,0,0,0,6,6,0,6,6,0
106,公立,一般大學,0009,國立中山大學,05399Y35,海洋科學學院,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0009,國立中山大學,05411051,應用數學系,4,2,2,1,0,0,1,0,0,1,1,0,0,2,1,1,4,2,2
106,公立,一般大學,0009,國立中山大學,06131052,資訊管理學系,9,3,6,2,1,1,1,0,2,0,2,0,0,7,3,4,9,3,6
106,公立,一般大學,0009,國立中山大學,07121064,環境工程研究所,4,4,0,1,0,1,0,2,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0009,國立中山大學,07122065,海洋環境及工程學系,4,4,0,1,0,1,0,2,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0009,國立中山大學,07141053,電機工程學系,4,4,0,2,0,0,0,2,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0009,國立中山大學,07141055,資訊工程學系,3,3,0,2,0,1,0,0,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0009,國立中山大學,07151061,機械與機電工程學系,5,5,0,4,0,1,0,0,0,0,0,0,0,5,5,0,5,5,0
106,公立,一般大學,0009,國立中山大學,99999Z01,通識教育中心人文與社會科學教育組,5,2,3,0,0,0,0,2,3,0,0,0,0,5,2,3,5,2,3
106,公立,一般大學,0009,國立中山大學,99999Z01,通識教育中心自然與應用科學教育組,2,1,1,0,0,0,0,1,1,0,0,0,0,2,1,1,2,1,1
106,公立,一般大學,0009,國立中山大學,99999Z01,通識教育中心服務學習教育組,2,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1
106,公立,一般大學,0009,國立中山大學,99999Z01,通識教育中心運動與健康教育組,8,6,2,0,0,0,1,1,0,5,1,0,0,2,1,1,8,6,2
106,公立,一般大學,0009,國立中山大學,99999Z05,師資培育中心,7,1,6,0,0,0,1,0,4,1,1,0,0,5,0,5,7,1,6
106,公立,一般大學,0012,國立臺灣海洋大學,02122005,海洋文創設計產業學士學位學程,3,2,1,0,0,0,0,2,1,0,0,0,0,3,2,1,3,2,1
106,公立,一般大學,0012,國立臺灣海洋大學,02299004,海洋文化研究所,4,2,2,2,1,0,1,0,0,0,0,0,0,4,2,2,4,2,2
106,公立,一般大學,0012,國立臺灣海洋大學,02311003,應用英語研究所,17,4,13,0,0,0,2,0,3,4,8,0,0,5,0,5,17,4,13
106,公立,一般大學,0012,國立臺灣海洋大學,03111006,應用經濟研究所,3,1,2,1,1,0,1,0,0,0,0,0,0,3,1,2,3,1,2
106,公立,一般大學,0012,國立臺灣海洋大學,04199055,海洋觀光管理學士學位學程,6,5,1,0,0,1,0,2,0,2,1,0,0,3,3,0,6,5,1
106,公立,一般大學,0012,國立臺灣海洋大學,04199056,海洋經營管理學士學位學程,3,2,1,0,0,2,1,0,0,0,0,0,0,3,2,1,3,2,1
106,公立,一般大學,0012,國立臺灣海洋大學,04212009,海洋法律研究所,4,4,0,3,0,0,0,1,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0012,國立臺灣海洋大學,04212010,海洋法政學士學位學程,10,8,2,1,0,1,1,6,1,0,0,0,0,10,8,2,10,8,2
106,公立,一般大學,0012,國立臺灣海洋大學,05121014,生命科學暨生物科技學系,21,16,5,7,1,5,2,4,2,0,0,0,0,21,16,5,21,16,5
106,公立,一般大學,0012,國立臺灣海洋大學,05211008,海洋事務與資源管理研究所,2,2,0,1,0,0,0,1,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0012,國立臺灣海洋大學,05321057,地球科學研究所,4,4,0,2,0,1,0,1,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0012,國立臺灣海洋大學,05323017,海洋生物研究所,6,4,2,3,1,1,0,0,1,0,0,0,0,6,4,2,6,4,2
106,公立,一般大學,0012,國立臺灣海洋大學,05323020,海洋環境資訊系,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0012,國立臺灣海洋大學,06131028,資訊工程學系,4,4,0,1,0,0,0,2,0,1,0,0,0,3,3,0,4,4,0
106,公立,一般大學,0012,國立臺灣海洋大學,07122040,河海工程學系,10,10,0,3,0,2,0,5,0,0,0,0,0,10,10,0,10,10,0
106,公立,一般大學,0012,國立臺灣海洋大學,07141025,電機工程學系,10,10,0,5,0,2,0,3,0,0,0,0,0,10,10,0,10,10,0
106,公立,一般大學,0012,國立臺灣海洋大學,07141026,光電科學研究所,6,6,0,4,0,1,0,1,0,0,0,0,0,6,6,0,6,6,0
106,公立,一般大學,0012,國立臺灣海洋大學,07151036,機械與機電工程學系,4,3,1,2,0,0,0,0,0,1,1,0,0,2,2,0,4,3,1
106,公立,一般大學,0012,國立臺灣海洋大學,07163033,系統工程暨造船學系,10,10,0,3,0,2,0,1,0,4,0,0,0,6,6,0,10,10,0
106,公立,一般大學,0012,國立臺灣海洋大學,07163035,輪機工程學系,13,12,1,2,0,1,0,2,0,7,1,0,0,5,5,0,13,12,1
106,公立,一般大學,0012,國立臺灣海洋大學,07211042,食品科學系,12,8,4,3,1,3,0,1,3,1,0,0,0,11,7,4,12,8,4
106,公立,一般大學,0012,國立臺灣海洋大學,08311045,環境生物與漁業科學學系,4,4,0,4,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0012,國立臺灣海洋大學,08312046,水產養殖學系,9,9,0,1,0,4,0,4,0,0,0,0,0,9,9,0,9,9,0
106,公立,一般大學,0012,國立臺灣海洋大學,10411050,運輸科學系,11,8,3,1,0,2,2,4,1,1,0,0,0,10,7,3,11,8,3
106,公立,一般大學,0012,國立臺灣海洋大學,10412048,航運管理學系,45,42,3,6,1,12,1,12,0,12,1,0,0,32,30,2,45,42,3
106,公立,一般大學,0012,國立臺灣海洋大學,10414052,商船學系,12,10,2,3,0,1,0,2,0,4,2,0,0,6,6,0,12,10,2
106,公立,一般大學,0012,國立臺灣海洋大學,99999Z01,共同教育中心,60,36,24,5,0,6,4,13,10,12,10,0,0,38,24,14,60,36,24
106,公立,一般大學,0012,國立臺灣海洋大學,99999Z05,師資培育中心,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0013,國立中正大學,01111001,教育學研究所,2,2,0,1,0,0,0,1,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0013,國立中正大學,01112005,成人及繼續教育學系,6,4,2,2,0,0,0,2,2,0,0,0,0,6,4,2,6,4,2
