學年度,設立別,學校類別,學校統計處代碼,學校名稱,兼任教師數-教師總數,兼任教師數-教師總數男,兼任教師數-教師總數女,兼任教師數-教授男,兼任教師數-教授女,兼任教師數-副教授男,兼任教師數-副教授女,兼任教師數-助理教授男,兼任教師數-助理教授女,兼任教師數-講師男,兼任教師數-講師女,兼任教師數-其他教師男,兼任教師數-其他教師女,兼任助理教授以上總人數,兼任助理教授以上總人數男,兼任助理教授以上總人數女,兼任講師以上總人數,兼任講師以上總人數男,兼任講師以上總人數女
106,公立,一般大學,0001,國立政治大學,430,302,128,137,21,53,17,47,38,65,52,0,0,313,237,76,430,302,128
106,公立,一般大學,0002,國立清華大學,571,306,265,65,15,30,27,80,85,131,138,0,0,302,175,127,571,306,265
106,公立,一般大學,0003,國立臺灣大學,1328,985,343,343,66,188,48,252,99,202,130,0,0,996,783,213,1328,985,343
106,公立,一般大學,0004,國立臺灣師範大學,532,334,198,104,41,66,33,79,63,85,61,0,0,386,249,137,532,334,198
106,公立,一般大學,0005,國立成功大學,684,523,161,214,23,105,23,131,43,73,72,0,0,539,450,89,684,523,161
106,公立,一般大學,0006,國立中興大學,310,219,91,81,12,41,12,56,26,41,41,0,0,228,178,50,310,219,91
106,公立,一般大學,0007,國立陽明交通大學,245,158,87,52,9,24,4,49,27,33,47,0,0,165,125,40,245,158,87
106,公立,一般大學,0008,國立中央大學,341,263,78,124,12,57,11,53,22,29,33,0,0,279,234,45,341,263,78
106,公立,一般大學,0009,國立中山大學,198,118,80,44,6,18,11,33,32,23,31,0,0,144,95,49,198,118,80
106,公立,一般大學,0012,國立臺灣海洋大學,295,228,67,64,6,47,15,68,22,49,24,0,0,222,179,43,295,228,67
106,公立,一般大學,0013,國立中正大學,203,152,51,30,6,20,3,61,23,41,19,0,0,143,111,32,203,152,51
106,公立,一般大學,0014,國立高雄師範大學,279,173,106,22,2,24,12,72,49,55,43,0,0,181,118,63,279,173,106
106,公立,一般大學,0015,國立彰化師範大學,191,125,66,33,9,22,5,40,20,30,32,0,0,129,95,34,191,125,66
106,公立,一般大學,0016,國立陽明大學,540,395,145,88,11,91,26,118,37,98,71,0,0,371,297,74,540,395,145
106,公立,一般大學,0017,國立臺北大學,284,195,89,57,8,46,20,55,31,37,30,0,0,217,158,59,284,195,89
106,公立,一般大學,0018,國立嘉義大學,196,105,91,16,1,9,4,44,46,36,40,0,0,120,69,51,196,105,91
106,公立,一般大學,0019,國立高雄大學,183,127,56,13,2,10,3,53,16,51,35,0,0,97,76,21,183,127,56
106,公立,一般大學,0020,國立東華大學,149,88,61,5,1,5,3,12,17,66,40,0,0,43,22,21,149,88,61
106,公立,一般大學,0021,國立暨南國際大學,247,158,89,17,2,18,6,45,20,78,61,0,0,108,80,28,247,158,89
106,公立,技專校院,0022,國立臺灣科技大學,428,304,124,69,8,66,10,93,40,76,66,0,0,286,228,58,428,304,124
106,公立,技專校院,0023,國立雲林科技大學,248,162,86,9,1,18,4,37,17,98,64,0,0,86,64,22,248,162,86
106,公立,技專校院,0024,國立屏東科技大學,195,150,45,17,1,10,2,28,9,95,33,0,0,67,55,12,195,150,45
106,公立,技專校院,0025,國立臺北科技大學,598,454,144,51,5,84,19,163,52,156,68,0,0,374,298,76,598,454,144
106,公立,技專校院,0026,國立高雄第一科技大學,238,146,92,14,0,16,0,36,21,80,71,0,0,87,66,21,238,146,92
106,公立,技專校院,0027,國立高雄應用科技大學,332,227,105,19,0,42,5,65,23,101,77,0,0,154,126,28,332,227,105
106,公立,一般大學,0028,國立臺北藝術大學,342,192,150,28,15,34,23,43,33,87,79,0,0,176,105,71,342,192,150
106,公立,一般大學,0029,國立臺灣藝術大學,637,338,299,28,9,26,30,90,93,194,167,0,0,276,144,132,637,338,299
106,公立,一般大學,0030,國立臺東大學,104,60,44,5,0,6,0,17,12,32,32,0,0,40,28,12,104,60,44
106,公立,一般大學,0031,國立宜蘭大學,134,87,47,14,0,16,6,37,16,20,25,0,0,89,67,22,134,87,47
106,公立,一般大學,0032,國立聯合大學,241,183,58,11,0,17,3,57,14,98,41,0,0,102,85,17,241,183,58
106,公立,技專校院,0033,國立虎尾科技大學,224,153,71,4,2,18,4,44,17,87,48,0,0,89,66,23,224,153,71
106,公立,技專校院,0034,國立高雄海洋科技大學,262,182,80,8,0,24,5,51,13,99,62,0,0,101,83,18,262,182,80
106,公立,一般大學,0035,國立臺南藝術大學,126,52,74,3,2,2,4,14,28,33,40,0,0,53,19,34,126,52,74
106,公立,一般大學,0036,國立臺南大學,222,117,105,8,3,18,8,59,51,32,43,0,0,147,85,62,222,117,105
106,公立,一般大學,0037,國立臺北教育大學,233,123,110,17,11,30,21,33,35,43,43,0,0,147,80,67,233,123,110
106,公立,一般大學,0039,國立臺中教育大學,284,143,141,15,6,19,13,54,44,55,78,0,0,151,88,63,284,143,141
106,公立,技專校院,0042,國立澎湖科技大學,36,24,12,1,0,2,0,2,3,19,9,0,0,8,5,3,36,24,12
106,公立,技專校院,0043,國立勤益科技大學,491,365,126,23,1,36,9,189,54,117,62,0,0,312,248,64,491,365,126
106,公立,一般大學,0044,國立體育大學,74,52,22,7,0,3,0,13,6,29,16,0,0,29,23,6,74,52,22
106,公立,技專校院,0046,國立臺北護理健康大學,275,117,158,10,5,16,9,42,49,49,95,0,0,131,68,63,275,117,158
106,公立,技專校院,0047,國立高雄餐旅大學,178,96,82,5,0,5,1,25,11,61,70,0,0,47,35,12,178,96,82
106,公立,一般大學,0048,國立金門大學,141,103,38,7,0,6,1,21,8,69,29,0,0,43,34,9,141,103,38
106,公立,一般大學,0049,國立臺灣體育運動大學,152,96,56,4,0,6,2,7,8,79,46,0,0,27,17,10,152,96,56
106,公立,技專校院,0050,國立臺中科技大學,632,356,276,12,6,42,19,90,48,212,203,0,0,217,144,73,632,356,276
106,公立,技專校院,0051,國立臺北商業大學,477,271,206,6,3,25,22,73,58,167,123,0,0,187,104,83,477,271,206
106,公立,一般大學,0052,國立屏東大學,234,117,117,8,2,9,7,39,40,61,68,0,0,105,56,49,234,117,117
106,公立,技專校院,0144,國立臺灣戲曲學院,147,75,72,3,1,4,2,8,6,60,63,0,0,24,15,9,147,75,72
106,公立,技專校院,0221,國立臺南護理專科學校,76,31,45,0,0,1,0,6,7,24,38,0,0,14,7,7,76,31,45
106,公立,技專校院,0222,國立臺東專科學校,110,75,35,2,0,1,0,11,6,61,29,0,0,20,14,6,110,75,35
106,私立,一般大學,1001,東海大學,681,421,260,66,12,75,22,127,68,153,158,0,0,370,268,102,681,421,260
106,私立,一般大學,1002,輔仁大學,1314,792,522,115,31,113,64,220,122,344,305,0,0,665,448,217,1314,792,522
106,私立,一般大學,1003,東吳大學,841,494,347,104,18,84,34,140,95,166,200,0,0,475,328,147,841,494,347
106,私立,一般大學,1004,中原大學,653,432,221,46,4,50,6,153,59,183,152,0,0,318,249,69,653,432,221
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,585,362,223,56,6,48,19,101,57,157,141,0,0,287,205,82,585,362,223
106,私立,一般大學,1006,中國文化大學,864,523,341,87,16,92,49,168,115,176,161,0,0,527,347,180,864,523,341
106,私立,一般大學,1007,逢甲大學,603,459,144,68,5,79,13,211,71,101,55,0,0,447,358,89,603,459,144
106,私立,一般大學,1008,靜宜大學,457,257,200,25,5,27,12,67,45,138,138,0,0,181,119,62,457,257,200
106,私立,一般大學,1009,長庚大學,584,455,129,77,8,136,14,170,43,72,64,0,0,448,383,65,584,455,129
106,私立,一般大學,1010,元智大學,287,189,98,23,2,23,4,83,35,60,57,0,0,170,129,41,287,189,98
106,私立,一般大學,1011,中華大學學校財團法人中華大學,191,147,44,11,1,11,0,30,8,95,35,0,0,61,52,9,191,147,44
106,私立,一般大學,1012,大葉大學,372,219,153,11,0,12,7,57,33,139,113,0,0,120,80,40,372,219,153
106,私立,一般大學,1013,華梵大學,78,53,25,4,1,6,1,6,9,37,14,0,0,27,16,11,78,53,25
106,私立,一般大學,1014,義守大學,370,250,120,12,0,9,0,55,19,174,101,0,0,95,76,19,370,250,120
106,私立,一般大學,1015,世新大學,433,285,148,29,5,42,12,70,41,144,90,0,0,199,141,58,433,285,148
106,私立,一般大學,1016,銘傳大學,595,385,210,30,4,46,10,110,47,199,149,0,0,247,186,61,595,385,210
106,私立,一般大學,1017,實踐大學,704,425,279,21,7,56,26,123,49,225,197,0,0,282,200,82,704,425,279
106,私立,技專校院,1018,朝陽科技大學,558,362,196,14,0,26,5,73,34,249,157,0,0,152,113,39,558,362,196
106,私立,一般大學,1019,高雄醫學大學,128,66,62,4,2,9,2,23,26,30,32,0,0,66,36,30,128,66,62
106,私立,一般大學,1020,南華大學,264,139,125,6,5,5,0,31,29,97,91,0,0,76,42,34,264,139,125
106,私立,一般大學,1021,真理大學,161,87,74,8,2,19,1,16,19,44,52,0,0,65,43,22,161,87,74
106,私立,一般大學,1022,大同大學,163,123,40,22,1,17,3,37,13,47,23,0,0,93,76,17,163,123,40
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,341,187,154,6,1,13,4,47,24,121,125,0,0,95,66,29,341,187,154
106,私立,技專校院,1024,崑山科技大學,265,203,62,16,1,11,1,52,6,124,54,0,0,87,79,8,265,203,62
106,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,322,184,138,6,1,8,2,42,14,128,121,0,0,73,56,17,322,184,138
106,私立,技專校院,1026,樹德科技大學,388,217,171,5,0,13,4,49,20,150,147,0,0,91,67,24,388,217,171
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,408,332,76,44,3,72,5,95,27,121,41,0,0,246,211,35,408,332,76
106,私立,一般大學,1028,臺北醫學大學,292,165,127,29,4,23,12,46,30,67,81,0,0,144,98,46,292,165,127
106,私立,一般大學,1029,中山醫學大學,229,138,91,28,8,16,5,39,7,55,71,0,0,103,83,20,229,138,91
106,私立,技專校院,1030,龍華科技大學,358,242,116,4,0,9,4,63,24,166,88,0,0,104,76,28,358,242,116
106,私立,技專校院,1031,輔英科技大學,164,73,91,2,0,11,2,24,15,36,74,0,0,54,37,17,164,73,91
106,私立,技專校院,1032,明新學校財團法人明新科技大學,325,199,126,4,0,8,4,46,16,141,106,0,0,78,58,20,325,199,126
106,私立,一般大學,1033,長榮大學,313,191,122,24,2,19,6,63,34,85,80,0,0,148,106,42,313,191,122
106,私立,技專校院,1034,弘光科技大學,472,269,203,15,1,12,7,97,43,145,152,0,0,175,124,51,472,269,203
106,私立,一般大學,1035,中國醫藥大學,304,222,82,46,4,38,12,77,32,61,34,0,0,209,161,48,304,222,82
106,私立,技專校院,1036,健行學校財團法人健行科技大學,235,143,92,5,0,8,1,42,17,88,74,0,0,73,55,18,235,143,92
106,私立,技專校院,1037,正修學校財團法人正修科技大學,545,343,202,9,1,27,2,90,30,217,169,0,0,159,126,33,545,343,202
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,342,212,130,1,0,10,0,41,10,160,120,0,0,62,52,10,342,212,130
106,私立,一般大學,1039,玄奘大學,172,115,57,5,1,5,1,36,18,69,37,0,0,66,46,20,172,115,57
106,私立,技專校院,1040,建國科技大學,222,152,70,3,0,3,1,30,11,116,58,0,0,48,36,12,222,152,70
106,私立,技專校院,1041,明志科技大學,161,98,63,4,0,9,2,25,17,60,44,0,0,57,38,19,161,98,63
106,私立,技專校院,1042,高苑科技大學,39,26,13,3,0,2,0,4,0,17,13,0,0,9,9,0,39,26,13
106,私立,技專校院,1043,大仁科技大學,145,92,53,4,0,6,2,17,3,65,48,0,0,32,27,5,145,92,53
106,私立,技專校院,1044,聖約翰科技大學,69,43,26,1,0,2,0,7,2,33,24,0,0,12,10,2,69,43,26
106,私立,技專校院,1045,嶺東科技大學,302,177,125,5,0,3,3,20,12,149,110,0,0,43,28,15,302,177,125
106,私立,技專校院,1046,中國科技大學,385,262,123,2,0,7,3,27,12,226,108,0,0,51,36,15,385,262,123
106,私立,技專校院,1047,中臺科技大學,237,162,75,11,0,10,3,43,10,98,62,0,0,77,64,13,237,162,75
106,私立,一般大學,1048,亞洲大學,477,316,161,91,8,37,15,58,42,130,96,0,0,251,186,65,477,316,161
106,私立,一般大學,1049,開南大學,123,75,48,12,2,17,3,32,8,14,35,0,0,74,61,13,123,75,48
106,私立,一般大學,1050,佛光大學,123,87,36,17,1,8,1,29,18,33,16,0,0,74,54,20,123,87,36
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,441,185,256,2,0,8,6,38,59,137,191,0,0,113,48,65,441,185,256
106,私立,技專校院,1052,遠東科技大學,154,90,64,3,0,4,0,20,5,63,59,0,0,32,27,5,154,90,64
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,199,111,88,3,0,10,0,41,16,57,72,0,0,70,54,16,199,111,88
106,私立,技專校院,1054,景文科技大學,71,46,25,1,0,0,0,9,5,36,20,0,0,15,10,5,71,46,25
106,私立,技專校院,1055,中華醫事科技大學,340,190,150,1,0,18,8,45,23,126,119,0,0,95,64,31,340,190,150
106,私立,技專校院,1056,東南科技大學,183,134,49,0,0,4,1,28,10,102,38,0,0,43,32,11,183,134,49
106,私立,技專校院,1057,德明財經科技大學,266,178,88,11,0,18,5,41,25,107,58,1,0,100,70,30,265,177,88
106,私立,一般大學,1058,明道學校財團法人明道大學,133,93,40,5,0,7,0,29,11,52,29,0,0,52,41,11,133,93,40
106,私立,技專校院,1060,南開科技大學,105,64,41,3,0,1,1,13,7,47,33,0,0,25,17,8,105,64,41
106,私立,技專校院,1061,中華學校財團法人中華科技大學,47,40,7,0,0,5,0,6,1,29,6,0,0,12,11,1,47,40,7
106,私立,技專校院,1062,僑光科技大學,230,148,82,3,0,2,6,29,10,114,66,0,0,50,34,16,230,148,82
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,74,54,20,4,0,2,1,11,4,37,15,0,0,22,17,5,74,54,20
106,私立,技專校院,1064,美和學校財團法人美和科技大學,265,116,149,3,1,4,1,16,14,93,133,0,0,39,23,16,265,116,149
106,私立,技專校院,1065,吳鳳科技大學,65,44,21,1,0,4,0,1,1,38,20,0,0,7,6,1,65,44,21
106,私立,技專校院,1066,環球學校財團法人環球科技大學,139,82,57,0,0,0,0,25,7,57,50,0,0,32,25,7,139,82,57
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,110,61,49,1,0,1,1,10,5,49,43,0,0,18,12,6,110,61,49
106,私立,技專校院,1068,中州學校財團法人中州科技大學,58,34,24,2,0,3,0,15,5,14,19,0,0,25,20,5,58,34,24
106,私立,技專校院,1069,修平學校財團法人修平科技大學,141,92,49,5,0,6,1,21,6,60,42,0,0,39,32,7,141,92,49
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,131,59,72,2,0,4,1,24,13,29,58,0,0,44,30,14,131,59,72
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,301,205,96,3,0,11,2,37,17,154,77,0,0,70,51,19,301,205,96
106,私立,技專校院,1072,大華學校財團法人敏實科技大學,69,53,16,0,0,2,0,7,0,44,16,0,0,9,9,0,69,53,16
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,212,127,85,5,0,10,1,33,11,79,73,0,0,60,48,12,212,127,85
106,私立,技專校院,1074,南榮學校財團法人南榮科技大學,15,9,6,0,0,1,0,2,2,6,4,0,0,5,3,2,15,9,6
106,私立,技專校院,1075,文藻學校財團法人文藻外語大學,247,110,137,1,1,4,2,24,26,81,108,0,0,58,29,29,247,110,137
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,130,84,46,2,0,1,0,20,2,61,44,0,0,25,23,2,130,84,46
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,116,49,67,0,0,4,0,19,7,26,60,0,0,30,23,7,116,49,67
106,私立,技專校院,1078,致理學校財團法人致理科技大學,345,220,125,13,1,18,3,50,25,139,96,0,0,110,81,29,345,220,125
106,私立,一般大學,1079,康寧學校財團法人康寧大學,222,121,101,1,0,3,3,22,6,95,92,0,0,35,26,9,222,121,101
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,198,131,67,4,0,9,1,24,16,94,50,0,0,54,37,17,198,131,67
106,私立,技專校院,1081,東方學校財團法人東方設計大學,98,55,43,3,0,2,0,11,4,39,39,0,0,20,16,4,98,55,43
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,57,31,26,1,0,1,0,13,4,16,22,0,0,19,15,4,57,31,26
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,185,132,53,3,0,14,0,41,21,74,32,0,0,79,58,21,185,132,53
106,私立,一般大學,1125,中信學校財團法人中信金融管理學院,26,17,9,3,1,0,0,2,0,12,8,0,0,6,5,1,26,17,9
106,私立,技專校院,1148,大漢技術學院,28,22,6,0,0,0,0,0,0,22,6,0,0,0,0,0,28,22,6
106,私立,技專校院,1159,和春技術學院,59,43,16,0,0,0,0,2,1,41,15,0,0,3,2,1,59,43,16
106,私立,技專校院,1166,亞東技術學院,136,86,50,4,0,13,3,43,16,26,31,0,0,79,60,19,136,86,50
106,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,97,56,41,1,0,9,2,12,7,34,32,0,0,31,22,9,97,56,41
106,私立,一般大學,1176,稻江科技暨管理學院,82,41,41,1,0,0,0,5,4,35,37,0,0,10,6,4,82,41,41
106,私立,技專校院,1182,蘭陽技術學院,24,15,9,0,0,0,0,2,1,13,8,0,0,3,2,1,24,15,9
106,私立,技專校院,1183,黎明技術學院,166,94,72,4,0,3,0,16,11,71,61,0,0,34,23,11,166,94,72
106,私立,技專校院,1185,經國管理暨健康學院,137,64,73,0,0,3,0,9,6,52,67,0,0,18,12,6,137,64,73
106,私立,技專校院,1188,大同技術學院,79,38,41,2,0,4,0,3,2,29,39,0,0,11,9,2,79,38,41
106,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,7,2,5,1,0,0,0,0,1,1,4,0,0,2,1,1,7,2,5
106,私立,技專校院,1192,臺灣觀光學院,10,5,5,0,0,0,0,0,0,5,5,0,0,0,0,0,10,5,5
106,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,185,124,61,17,1,14,1,40,21,53,38,0,0,94,71,23,185,124,61
106,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,30,16,14,2,1,5,2,6,10,3,1,0,0,26,13,13,30,16,14
106,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,169,81,88,0,0,6,1,11,13,64,74,0,0,31,17,14,169,81,88
106,私立,技專校院,1283,仁德醫護管理專科學校,238,141,97,1,1,3,1,25,10,112,85,0,0,41,29,12,238,141,97
106,私立,技專校院,1284,樹人醫護管理專科學校,353,194,159,2,0,9,1,31,8,152,150,0,0,51,42,9,353,194,159
106,私立,技專校院,1285,慈惠醫護管理專科學校,184,111,73,0,0,0,0,2,0,109,73,0,0,2,2,0,184,111,73
106,私立,技專校院,1286,耕莘健康管理專科學校,272,124,148,0,0,3,2,20,8,101,138,0,0,33,23,10,272,124,148
106,私立,技專校院,1287,敏惠醫護管理專科學校,151,83,68,0,0,1,0,14,7,68,61,0,0,22,15,7,151,83,68
106,私立,技專校院,1288,高美醫護管理專科學校,41,22,19,0,0,1,0,1,1,20,18,0,0,3,2,1,41,22,19
106,私立,技專校院,1289,育英醫護管理專科學校,60,22,38,0,0,3,0,7,7,12,31,0,0,17,10,7,60,22,38
106,私立,技專校院,1290,崇仁醫護管理專科學校,107,44,63,0,0,2,1,6,4,36,58,0,0,13,8,5,107,44,63
106,私立,技專校院,1291,聖母醫護管理專科學校,149,70,79,1,0,2,1,18,5,49,73,0,0,27,21,6,149,70,79
106,私立,技專校院,1292,新生醫護管理專科學校,213,92,121,0,0,2,0,24,14,66,107,0,0,40,26,14,213,92,121
106,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,私立,宗教研修學院,1R03,臺北基督學院,48,26,22,1,0,2,1,5,5,18,16,0,0,14,8,6,48,26,22
106,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,12,6,6,1,1,2,0,0,0,3,5,0,0,4,3,1,12,6,6
106,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,9,4,5,1,2,0,1,3,2,0,0,0,0,9,4,5,9,4,5
106,私立,宗教研修學院,1R06,一貫道崇德學院,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1
106,公立,一般大學,3002,臺北市立大學,508,275,233,31,11,31,26,85,72,128,124,0,0,256,147,109,508,275,233
107,公立,一般大學,0001,國立政治大學,446,315,131,146,22,57,25,47,33,65,51,0,0,330,250,80,446,315,131
107,公立,一般大學,0002,國立清華大學,556,311,245,55,9,30,25,81,86,145,125,0,0,286,166,120,556,311,245
107,公立,一般大學,0003,國立臺灣大學,1305,962,343,320,60,184,55,256,98,202,130,0,0,973,760,213,1305,962,343
107,公立,一般大學,0004,國立臺灣師範大學,560,354,206,112,41,78,36,80,65,84,64,0,0,412,270,142,560,354,206
107,公立,一般大學,0005,國立成功大學,728,545,183,215,26,110,24,147,58,73,75,0,0,580,472,108,728,545,183
107,公立,一般大學,0006,國立中興大學,293,202,91,72,10,44,11,47,27,39,43,0,0,211,163,48,293,202,91
107,公立,一般大學,0007,國立陽明交通大學,215,146,69,44,4,22,2,47,24,33,39,0,0,143,113,30,215,146,69
107,公立,一般大學,0008,國立中央大學,365,287,78,142,13,56,10,56,24,33,31,0,0,301,254,47,365,287,78
107,公立,一般大學,0009,國立中山大學,193,127,66,45,4,18,11,37,25,27,26,0,0,140,100,40,193,127,66
107,公立,一般大學,0012,國立臺灣海洋大學,244,183,61,48,2,38,13,61,22,36,24,0,0,184,147,37,244,183,61
107,公立,一般大學,0013,國立中正大學,162,123,39,18,2,13,3,51,19,41,15,0,0,106,82,24,162,123,39
107,公立,一般大學,0014,國立高雄師範大學,322,192,130,16,4,24,12,81,57,71,57,0,0,194,121,73,322,192,130
107,公立,一般大學,0015,國立彰化師範大學,201,138,63,33,8,22,4,47,19,36,32,0,0,133,102,31,201,138,63
107,公立,一般大學,0016,國立陽明大學,547,397,150,82,12,91,29,122,53,102,56,0,0,389,295,94,547,397,150
107,公立,一般大學,0017,國立臺北大學,281,186,95,61,10,46,19,49,35,30,31,0,0,220,156,64,281,186,95
107,公立,一般大學,0018,國立嘉義大學,196,108,88,20,1,8,4,45,44,35,39,0,0,122,73,49,196,108,88
107,公立,一般大學,0019,國立高雄大學,158,107,51,9,2,5,1,44,14,49,34,0,0,75,58,17,158,107,51
107,公立,一般大學,0020,國立東華大學,145,81,64,6,1,4,2,13,20,58,41,0,0,46,23,23,145,81,64
107,公立,一般大學,0021,國立暨南國際大學,241,156,85,16,3,15,3,48,24,77,55,0,0,109,79,30,241,156,85
107,公立,技專校院,0022,國立臺灣科技大學,405,291,114,73,8,65,9,86,36,67,61,0,0,277,224,53,405,291,114
107,公立,技專校院,0023,國立雲林科技大學,228,151,77,11,0,18,4,32,18,90,55,0,0,83,61,22,228,151,77
107,公立,技專校院,0024,國立屏東科技大學,173,132,41,12,0,10,1,34,8,76,32,0,0,65,56,9,173,132,41
107,公立,技專校院,0025,國立臺北科技大學,565,432,133,46,4,80,14,136,46,170,69,0,0,326,262,64,565,432,133
107,公立,一般大學,0028,國立臺北藝術大學,355,197,158,21,18,30,20,47,38,99,82,0,0,174,98,76,355,197,158
107,公立,一般大學,0029,國立臺灣藝術大學,623,334,289,30,7,28,31,90,90,186,161,0,0,276,148,128,623,334,289
107,公立,一般大學,0030,國立臺東大學,110,59,51,4,0,7,0,13,16,35,35,0,0,40,24,16,110,59,51
107,公立,一般大學,0031,國立宜蘭大學,135,90,45,10,0,17,6,44,16,19,23,0,0,93,71,22,135,90,45
107,公立,一般大學,0032,國立聯合大學,241,179,62,12,1,11,2,61,18,95,41,0,0,105,84,21,241,179,62
107,公立,技專校院,0033,國立虎尾科技大學,209,139,70,4,2,15,4,46,15,74,49,0,0,86,65,21,209,139,70
107,公立,一般大學,0035,國立臺南藝術大學,122,51,71,2,0,3,3,14,26,32,42,0,0,48,19,29,122,51,71
107,公立,一般大學,0036,國立臺南大學,225,127,98,8,2,20,9,58,48,41,39,0,0,145,86,59,225,127,98
107,公立,一般大學,0037,國立臺北教育大學,217,115,102,17,11,27,20,37,33,34,38,0,0,145,81,64,217,115,102
