學年度,設立別,學校類別,學校統計處代碼,學校名稱,兼任教師數-教師總數,兼任教師數-教師總數男,兼任教師數-教師總數女,兼任教師數-教授男,兼任教師數-教授女,兼任教師數-副教授男,兼任教師數-副教授女,兼任教師數-助理教授男,兼任教師數-助理教授女,兼任教師數-講師男,兼任教師數-講師女,兼任教師數-其他教師男,兼任教師數-其他教師女,兼任助理教授以上總人數,兼任助理教授以上總人數男,兼任助理教授以上總人數女,兼任講師以上總人數,兼任講師以上總人數男,兼任講師以上總人數女
107,公立,一般大學,0039,國立臺中教育大學,264,129,135,10,3,14,16,47,42,58,74,0,0,132,71,61,264,129,135
107,公立,技專校院,0042,國立澎湖科技大學,47,30,17,1,0,1,0,6,6,22,11,0,0,14,8,6,47,30,17
107,公立,技專校院,0043,國立勤益科技大學,473,349,124,27,0,37,8,172,56,113,60,0,0,300,236,64,473,349,124
107,公立,一般大學,0044,國立體育大學,83,55,28,6,0,4,1,16,7,29,20,0,0,34,26,8,83,55,28
107,公立,技專校院,0046,國立臺北護理健康大學,286,124,162,11,8,20,8,43,40,50,106,0,0,130,74,56,286,124,162
107,公立,技專校院,0047,國立高雄餐旅大學,152,80,72,2,0,5,1,20,10,53,61,0,0,38,27,11,152,80,72
107,公立,一般大學,0048,國立金門大學,136,103,33,4,0,3,0,20,5,76,28,0,0,32,27,5,136,103,33
107,公立,一般大學,0049,國立臺灣體育運動大學,154,87,67,2,0,2,1,9,11,74,55,0,0,25,13,12,154,87,67
107,公立,技專校院,0050,國立臺中科技大學,610,341,269,18,7,38,16,86,56,199,190,0,0,221,142,79,610,341,269
107,公立,技專校院,0051,國立臺北商業大學,371,225,146,6,3,21,14,60,45,138,84,0,0,149,87,62,371,225,146
107,公立,一般大學,0052,國立屏東大學,189,94,95,10,2,5,6,31,30,48,57,0,0,84,46,38,189,94,95
107,公立,技專校院,0053,國立高雄科技大學,778,505,273,33,0,55,8,153,57,264,208,0,0,306,241,65,778,505,273
107,公立,技專校院,0144,國立臺灣戲曲學院,174,95,79,3,1,4,2,9,5,79,71,0,0,24,16,8,174,95,79
107,公立,技專校院,0221,國立臺南護理專科學校,88,36,52,1,0,4,0,5,11,26,41,0,0,21,10,11,88,36,52
107,公立,技專校院,0222,國立臺東專科學校,82,54,28,1,0,0,0,8,6,45,22,0,0,15,9,6,82,54,28
107,私立,一般大學,1001,東海大學,682,427,255,69,10,70,23,148,70,140,152,0,0,390,287,103,682,427,255
107,私立,一般大學,1002,輔仁大學,1271,773,498,122,31,127,63,221,115,303,289,0,0,679,470,209,1271,773,498
107,私立,一般大學,1003,東吳大學,842,496,346,101,21,86,36,138,90,171,199,0,0,472,325,147,842,496,346
107,私立,一般大學,1004,中原大學,634,421,213,44,2,51,8,141,60,185,143,0,0,306,236,70,634,421,213
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,592,368,224,58,4,48,20,99,52,163,148,0,0,281,205,76,592,368,224
107,私立,一般大學,1006,中國文化大學,893,546,347,92,14,110,49,177,122,167,162,0,0,564,379,185,893,546,347
107,私立,一般大學,1007,逢甲大學,610,457,153,67,5,77,13,216,77,97,58,0,0,455,360,95,610,457,153
107,私立,一般大學,1008,靜宜大學,438,246,192,23,5,23,14,75,43,125,130,0,0,183,121,62,438,246,192
107,私立,一般大學,1009,長庚大學,584,461,123,90,6,135,14,176,47,60,56,0,0,468,401,67,584,461,123
107,私立,一般大學,1010,元智大學,272,177,95,21,1,21,5,80,31,55,58,0,0,159,122,37,272,177,95
107,私立,一般大學,1011,中華大學學校財團法人中華大學,164,124,40,11,1,13,1,22,8,78,30,0,0,56,46,10,164,124,40
107,私立,一般大學,1012,大葉大學,340,205,135,7,0,14,4,56,33,128,98,0,0,114,77,37,340,205,135
107,私立,一般大學,1013,華梵大學,78,54,24,2,0,9,1,9,11,34,12,0,0,32,20,12,78,54,24
107,私立,一般大學,1014,義守大學,383,251,132,11,0,13,1,53,21,174,110,0,0,99,77,22,383,251,132
107,私立,一般大學,1015,世新大學,388,258,130,30,5,33,13,60,41,135,71,0,0,182,123,59,388,258,130
107,私立,一般大學,1016,銘傳大學,613,390,223,35,7,44,10,112,52,199,154,0,0,260,191,69,613,390,223
107,私立,一般大學,1017,實踐大學,665,405,260,18,7,50,25,116,48,221,180,0,0,264,184,80,665,405,260
107,私立,技專校院,1018,朝陽科技大學,567,362,205,13,1,27,6,65,38,257,160,0,0,150,105,45,567,362,205
107,私立,一般大學,1019,高雄醫學大學,128,69,59,2,2,12,2,28,23,27,32,0,0,69,42,27,128,69,59
107,私立,一般大學,1020,南華大學,272,151,121,5,3,7,0,35,29,104,89,0,0,79,47,32,272,151,121
107,私立,一般大學,1021,真理大學,135,69,66,7,2,12,2,14,19,36,43,0,0,56,33,23,135,69,66
107,私立,一般大學,1022,大同大學,177,138,39,29,0,12,3,41,13,56,23,0,0,98,82,16,177,138,39
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,348,195,153,12,1,18,4,46,23,119,125,0,0,104,76,28,348,195,153
107,私立,技專校院,1024,崑山科技大學,276,207,69,17,1,14,1,42,5,134,62,0,0,80,73,7,276,207,69
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,315,180,135,8,2,7,3,39,17,126,113,0,0,76,54,22,315,180,135
107,私立,技專校院,1026,樹德科技大學,401,221,180,6,2,11,3,50,25,154,150,0,0,97,67,30,401,221,180
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,392,321,71,43,2,73,4,90,28,115,37,0,0,240,206,34,392,321,71
107,私立,一般大學,1028,臺北醫學大學,504,301,203,58,10,34,16,84,43,125,134,0,0,245,176,69,504,301,203
107,私立,一般大學,1029,中山醫學大學,259,170,89,35,9,17,5,48,9,70,66,0,0,123,100,23,259,170,89
107,私立,技專校院,1030,龍華科技大學,332,223,109,7,1,8,6,61,18,147,84,0,0,101,76,25,332,223,109
107,私立,技專校院,1031,輔英科技大學,197,81,116,3,0,14,1,25,21,39,94,0,0,64,42,22,197,81,116
107,私立,技專校院,1032,明新學校財團法人明新科技大學,283,166,117,1,0,4,3,44,25,117,89,0,0,77,49,28,283,166,117
107,私立,一般大學,1033,長榮大學,286,172,114,16,0,17,5,61,29,78,80,0,0,128,94,34,286,172,114
107,私立,技專校院,1034,弘光科技大學,493,284,209,15,0,9,9,98,45,162,155,0,0,176,122,54,493,284,209
107,私立,一般大學,1035,中國醫藥大學,279,194,85,38,5,35,15,70,32,51,33,0,0,195,143,52,279,194,85
107,私立,技專校院,1036,健行學校財團法人健行科技大學,198,114,84,3,1,7,2,28,11,76,70,0,0,52,38,14,198,114,84
107,私立,技專校院,1037,正修學校財團法人正修科技大學,607,380,227,16,1,32,3,112,37,220,186,0,0,201,160,41,607,380,227
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,354,217,137,4,0,9,1,44,7,160,129,0,0,65,57,8,354,217,137
107,私立,一般大學,1039,玄奘大學,147,90,57,4,0,3,2,24,18,59,37,0,0,51,31,20,147,90,57
107,私立,技專校院,1040,建國科技大學,185,125,60,4,0,6,0,20,8,95,52,0,0,38,30,8,185,125,60
107,私立,技專校院,1041,明志科技大學,177,115,62,3,0,12,2,36,17,64,43,0,0,70,51,19,177,115,62
107,私立,技專校院,1042,高苑科技大學,45,32,13,3,1,3,0,5,0,21,12,0,0,12,11,1,45,32,13
107,私立,技專校院,1043,大仁科技大學,173,102,71,5,1,8,2,27,6,62,62,0,0,49,40,9,173,102,71
107,私立,技專校院,1044,聖約翰科技大學,69,45,24,1,0,1,0,5,1,38,23,0,0,8,7,1,69,45,24
107,私立,技專校院,1045,嶺東科技大學,292,168,124,5,0,5,2,24,10,134,112,0,0,46,34,12,292,168,124
107,私立,技專校院,1046,中國科技大學,351,231,120,6,0,9,1,29,13,187,106,0,0,58,44,14,351,231,120
107,私立,技專校院,1047,中臺科技大學,229,146,83,9,0,10,1,51,11,76,71,0,0,82,70,12,229,146,83
107,私立,一般大學,1048,亞洲大學,556,357,199,102,9,38,19,86,62,131,109,0,0,316,226,90,556,357,199
107,私立,一般大學,1049,開南大學,140,81,59,12,3,21,6,27,10,21,40,0,0,79,60,19,140,81,59
107,私立,一般大學,1050,佛光大學,105,75,30,8,0,10,1,28,13,29,16,0,0,60,46,14,105,75,30
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,441,178,263,1,0,4,6,36,56,137,201,0,0,103,41,62,441,178,263
107,私立,技專校院,1052,遠東科技大學,168,107,61,3,0,4,0,24,7,76,54,0,0,38,31,7,168,107,61
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,199,114,85,3,1,8,1,45,14,58,69,0,0,72,56,16,199,114,85
107,私立,技專校院,1054,景文科技大學,84,46,38,3,2,1,1,13,7,29,28,0,0,27,17,10,84,46,38
107,私立,技專校院,1055,中華醫事科技大學,316,181,135,3,1,15,7,49,21,114,106,0,0,96,67,29,316,181,135
107,私立,技專校院,1056,東南科技大學,150,109,41,0,0,6,3,27,5,76,33,0,0,41,33,8,150,109,41
107,私立,技專校院,1057,德明財經科技大學,252,173,79,11,0,22,3,42,20,98,56,0,0,98,75,23,252,173,79
107,私立,一般大學,1058,明道學校財團法人明道大學,95,63,32,4,0,4,0,15,13,40,19,0,0,36,23,13,95,63,32
107,私立,技專校院,1060,南開科技大學,68,43,25,3,0,0,0,8,6,32,19,0,0,17,11,6,68,43,25
107,私立,技專校院,1061,中華學校財團法人中華科技大學,56,46,10,0,0,3,0,11,2,32,8,0,0,16,14,2,56,46,10
107,私立,技專校院,1062,僑光科技大學,225,147,78,3,1,5,4,24,9,115,64,0,0,46,32,14,225,147,78
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,126,84,42,6,0,5,2,19,10,54,30,0,0,42,30,12,126,84,42
107,私立,技專校院,1064,美和學校財團法人美和科技大學,234,101,133,3,0,2,2,16,12,80,119,0,0,35,21,14,234,101,133
107,私立,技專校院,1065,吳鳳科技大學,63,44,19,1,0,5,1,1,2,37,16,0,0,10,7,3,63,44,19
107,私立,技專校院,1066,環球學校財團法人環球科技大學,107,68,39,0,0,1,1,19,5,48,33,0,0,26,20,6,107,68,39
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,70,39,31,0,0,1,0,7,6,31,25,0,0,14,8,6,70,39,31
107,私立,技專校院,1068,中州學校財團法人中州科技大學,48,28,20,1,0,2,0,13,5,12,15,0,0,21,16,5,48,28,20
107,私立,技專校院,1069,修平學校財團法人修平科技大學,137,85,52,5,0,7,2,22,9,51,41,0,0,45,34,11,137,85,52
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,115,52,63,1,0,3,2,16,10,32,51,0,0,32,20,12,115,52,63
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,264,183,81,2,0,8,2,36,15,137,64,0,0,63,46,17,264,183,81
107,私立,技專校院,1072,大華學校財團法人敏實科技大學,82,65,17,1,0,2,3,10,2,52,12,0,0,18,13,5,82,65,17
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,226,138,88,6,0,10,3,32,11,90,74,0,0,62,48,14,226,138,88
107,私立,技專校院,1074,南榮學校財團法人南榮科技大學,17,12,5,0,1,1,0,3,1,8,3,0,0,6,4,2,17,12,5
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,244,112,132,2,1,2,2,30,23,78,106,0,0,60,34,26,244,112,132
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,113,75,38,3,0,1,1,13,2,58,35,0,0,20,17,3,113,75,38
107,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,102,45,57,1,0,6,0,16,7,22,50,0,0,30,23,7,102,45,57
107,私立,技專校院,1078,致理學校財團法人致理科技大學,352,223,129,12,1,14,5,50,22,147,101,0,0,104,76,28,352,223,129
107,私立,一般大學,1079,康寧學校財團法人康寧大學,159,87,72,2,0,3,2,12,12,70,58,0,0,31,17,14,159,87,72
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,165,107,58,3,0,7,1,24,13,73,44,0,0,48,34,14,165,107,58
107,私立,技專校院,1081,東方學校財團法人東方設計大學,100,53,47,4,0,4,0,11,5,34,42,0,0,24,19,5,100,53,47
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,48,31,17,1,0,3,0,8,4,19,13,0,0,16,12,4,48,31,17
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,153,110,43,0,0,13,0,41,10,56,33,0,0,64,54,10,153,110,43
107,私立,一般大學,1125,中信學校財團法人中信金融管理學院,18,15,3,1,0,0,0,2,0,12,3,0,0,3,3,0,18,15,3
107,私立,技專校院,1148,大漢技術學院,27,20,7,0,0,0,0,1,0,19,7,0,0,1,1,0,27,20,7
107,私立,技專校院,1159,和春技術學院,62,51,11,0,0,3,1,3,0,45,10,0,0,7,6,1,62,51,11
107,私立,技專校院,1166,亞東技術學院,135,84,51,4,2,11,3,38,20,31,26,0,0,78,53,25,135,84,51
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,103,60,43,1,0,9,3,6,7,44,33,0,0,26,16,10,103,60,43
107,私立,一般大學,1176,稻江科技暨管理學院,95,47,48,1,0,0,1,8,6,38,41,0,0,16,9,7,95,47,48
107,私立,技專校院,1182,蘭陽技術學院,22,14,8,0,0,0,0,2,1,12,7,0,0,3,2,1,22,14,8
107,私立,技專校院,1183,黎明技術學院,191,126,65,1,0,7,1,28,7,90,57,0,0,44,36,8,191,126,65
107,私立,技專校院,1185,經國管理暨健康學院,122,65,57,0,0,3,0,12,7,50,50,0,0,22,15,7,122,65,57
107,私立,技專校院,1188,大同技術學院,72,34,38,1,0,3,0,3,2,27,36,0,0,9,7,2,72,34,38
107,私立,技專校院,1192,臺灣觀光學院,31,17,14,1,1,0,0,2,3,14,10,0,0,7,3,4,31,17,14
107,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,163,104,59,16,1,10,0,32,20,46,38,0,0,79,58,21,163,104,59
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,27,13,14,2,1,4,2,4,9,3,2,0,0,22,10,12,27,13,14
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,187,98,89,0,0,9,1,11,11,78,77,0,0,32,20,12,187,98,89
107,私立,技專校院,1283,仁德醫護管理專科學校,250,161,89,1,0,4,2,37,9,119,78,0,0,53,42,11,250,161,89
107,私立,技專校院,1284,樹人醫護管理專科學校,371,211,160,2,0,10,1,32,10,167,149,0,0,55,44,11,371,211,160
107,私立,技專校院,1285,慈惠醫護管理專科學校,164,90,74,0,0,0,0,0,1,90,73,0,0,1,0,1,164,90,74
107,私立,技專校院,1286,耕莘健康管理專科學校,316,133,183,0,0,3,2,22,13,108,168,0,0,40,25,15,316,133,183
107,私立,技專校院,1287,敏惠醫護管理專科學校,153,81,72,0,0,0,0,16,7,65,65,0,0,23,16,7,153,81,72
107,私立,技專校院,1289,育英醫護管理專科學校,58,20,38,1,0,3,0,6,5,10,33,0,0,15,10,5,58,20,38
107,私立,技專校院,1291,聖母醫護管理專科學校,137,65,72,1,0,1,1,16,5,47,66,0,0,24,18,6,137,65,72
107,私立,技專校院,1292,新生醫護管理專科學校,246,109,137,0,0,2,0,24,14,83,123,0,0,40,26,14,246,109,137
107,私立,技專校院,1293,崇仁醫護管理專科學校,104,51,53,0,0,2,0,9,4,40,49,0,0,15,11,4,104,51,53
107,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,2,2,0,1,0,0,0,1,0,0,0,0,0,2,2,0,2,2,0
107,私立,宗教研修學院,1R03,臺北基督學院,49,22,27,0,0,2,1,5,7,15,19,0,0,15,7,8,49,22,27
107,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,18,10,8,0,0,1,1,3,0,6,7,0,0,5,4,1,18,10,8
107,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,9,3,6,0,1,0,1,3,4,0,0,0,0,9,3,6,9,3,6
107,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,7,4,3,1,0,0,0,3,2,0,1,0,0,6,4,2,7,4,3
107,公立,一般大學,3002,臺北市立大學,473,239,234,27,11,24,27,69,81,119,115,0,0,239,120,119,473,239,234
108,公立,一般大學,0001,國立政治大學,428,301,127,129,24,57,17,52,35,63,51,0,0,314,238,76,428,301,127
108,公立,一般大學,0002,國立清華大學,537,300,237,60,12,33,23,86,78,121,124,0,0,292,179,113,537,300,237
108,公立,一般大學,0003,國立臺灣大學,1334,980,354,346,67,167,59,268,106,199,122,0,0,1013,781,232,1334,980,354
108,公立,一般大學,0004,國立臺灣師範大學,627,395,232,118,37,84,46,109,80,84,69,0,0,474,311,163,627,395,232
108,公立,一般大學,0005,國立成功大學,715,536,179,215,30,109,25,147,56,65,68,0,0,582,471,111,715,536,179
108,公立,一般大學,0006,國立中興大學,283,194,89,71,6,48,9,41,25,34,49,0,0,200,160,40,283,194,89
108,公立,一般大學,0007,國立陽明交通大學,223,157,66,56,4,21,1,50,21,30,40,0,0,153,127,26,223,157,66
108,公立,一般大學,0008,國立中央大學,382,303,79,146,13,58,13,64,27,35,26,0,0,321,268,53,382,303,79
108,公立,一般大學,0009,國立中山大學,212,139,73,52,6,20,9,36,26,31,32,0,0,149,108,41,212,139,73
108,公立,一般大學,0012,國立臺灣海洋大學,239,186,53,51,1,40,13,54,19,41,20,0,0,178,145,33,239,186,53
108,公立,一般大學,0013,國立中正大學,184,138,46,26,3,16,5,53,19,43,19,0,0,122,95,27,184,138,46
108,公立,一般大學,0014,國立高雄師範大學,320,184,136,16,2,21,16,83,66,64,52,0,0,204,120,84,320,184,136
108,公立,一般大學,0015,國立彰化師範大學,202,141,61,32,7,23,3,52,25,34,26,0,0,142,107,35,202,141,61
108,公立,一般大學,0016,國立陽明大學,564,413,151,85,15,86,28,132,50,110,58,0,0,396,303,93,564,413,151
108,公立,一般大學,0017,國立臺北大學,270,190,80,59,8,47,16,54,26,30,30,0,0,210,160,50,270,190,80
108,公立,一般大學,0018,國立嘉義大學,174,97,77,16,1,8,3,36,41,37,32,0,0,105,60,45,174,97,77
108,公立,一般大學,0019,國立高雄大學,161,106,55,8,2,6,1,49,19,43,33,0,0,85,63,22,161,106,55
108,公立,一般大學,0020,國立東華大學,150,87,63,7,1,2,2,14,20,64,40,0,0,46,23,23,150,87,63
108,公立,一般大學,0021,國立暨南國際大學,238,158,80,23,2,12,2,57,25,66,51,0,0,121,92,29,238,158,80
108,公立,技專校院,0022,國立臺灣科技大學,370,260,110,66,8,55,12,85,33,54,57,0,0,259,206,53,370,260,110
108,公立,技專校院,0023,國立雲林科技大學,218,138,80,12,1,16,3,42,21,68,55,0,0,95,70,25,218,138,80
108,公立,技專校院,0024,國立屏東科技大學,198,143,55,15,2,11,2,35,11,82,40,0,0,76,61,15,198,143,55
108,公立,技專校院,0025,國立臺北科技大學,549,419,130,46,6,85,14,130,38,158,72,0,0,319,261,58,549,419,130
108,公立,一般大學,0028,國立臺北藝術大學,356,198,158,21,18,29,18,50,44,98,78,0,0,180,100,80,356,198,158
108,公立,一般大學,0029,國立臺灣藝術大學,617,323,294,19,10,29,31,94,98,181,155,0,0,281,142,139,617,323,294
108,公立,一般大學,0030,國立臺東大學,125,67,58,3,0,6,0,15,19,43,39,0,0,43,24,19,125,67,58
108,公立,一般大學,0031,國立宜蘭大學,133,88,45,13,1,14,6,42,15,19,23,0,0,91,69,22,133,88,45
108,公立,一般大學,0032,國立聯合大學,228,173,55,11,0,16,2,61,22,85,31,0,0,112,88,24,228,173,55
108,公立,技專校院,0033,國立虎尾科技大學,226,157,69,7,1,13,5,50,15,87,48,0,0,91,70,21,226,157,69
108,公立,一般大學,0035,國立臺南藝術大學,115,51,64,1,1,2,0,17,25,31,38,0,0,46,20,26,115,51,64
108,公立,一般大學,0036,國立臺南大學,230,122,108,6,1,23,10,55,56,38,41,0,0,151,84,67,230,122,108
108,公立,一般大學,0037,國立臺北教育大學,209,112,97,17,10,30,18,39,32,26,37,0,0,146,86,60,209,112,97
108,公立,一般大學,0039,國立臺中教育大學,245,117,128,9,5,10,13,43,40,55,70,0,0,120,62,58,245,117,128
108,公立,技專校院,0042,國立澎湖科技大學,53,34,19,0,0,2,0,7,4,25,15,0,0,13,9,4,53,34,19
108,公立,技專校院,0043,國立勤益科技大學,451,322,129,32,0,36,11,155,58,99,60,0,0,292,223,69,451,322,129
108,公立,一般大學,0044,國立體育大學,84,54,30,10,0,3,1,10,7,31,22,0,0,31,23,8,84,54,30
108,公立,技專校院,0046,國立臺北護理健康大學,288,120,168,9,3,19,9,44,47,48,109,0,0,131,72,59,288,120,168
108,公立,技專校院,0047,國立高雄餐旅大學,141,82,59,2,0,8,1,18,7,54,51,0,0,36,28,8,141,82,59
108,公立,一般大學,0048,國立金門大學,133,93,40,4,0,5,0,22,5,62,35,0,0,36,31,5,133,93,40
108,公立,一般大學,0049,國立臺灣體育運動大學,177,104,73,3,0,2,3,12,10,87,60,0,0,30,17,13,177,104,73
108,公立,技專校院,0050,國立臺中科技大學,627,363,264,17,4,46,16,89,50,211,193,0,1,222,152,70,626,363,263
108,公立,技專校院,0051,國立臺北商業大學,335,206,129,6,3,19,9,55,41,126,76,0,0,133,80,53,335,206,129
108,公立,一般大學,0052,國立屏東大學,181,101,80,12,2,5,5,38,23,46,50,0,0,85,55,30,181,101,80
108,公立,技專校院,0053,國立高雄科技大學,736,473,263,29,1,57,5,146,54,241,203,0,0,292,232,60,736,473,263
108,公立,技專校院,0144,國立臺灣戲曲學院,133,84,49,2,1,6,2,7,5,69,41,0,0,23,15,8,133,84,49
108,公立,技專校院,0221,國立臺南護理專科學校,86,32,54,1,0,2,0,8,12,21,42,0,0,23,11,12,86,32,54
108,公立,技專校院,0222,國立臺東專科學校,77,49,28,2,0,0,0,9,7,38,21,0,0,18,11,7,77,49,28
108,私立,一般大學,1001,東海大學,707,437,270,76,12,79,24,142,78,140,156,0,0,411,297,114,707,437,270
108,私立,一般大學,1002,輔仁大學,1273,775,498,112,30,133,68,238,126,292,274,0,0,707,483,224,1273,775,498
108,私立,一般大學,1003,東吳大學,883,509,374,104,21,78,39,154,100,173,214,0,0,496,336,160,883,509,374
108,私立,一般大學,1004,中原大學,671,444,227,45,2,54,9,145,63,200,153,0,0,318,244,74,671,444,227
108,私立,一般大學,1005,淡江大學學校財團法人淡江大學,572,354,218,50,8,41,18,107,53,156,139,0,0,277,198,79,572,354,218
108,私立,一般大學,1006,中國文化大學,886,542,344,91,18,104,50,175,119,172,157,0,0,557,370,187,886,542,344
108,私立,一般大學,1007,逢甲大學,577,421,156,62,5,70,17,204,74,85,60,0,0,432,336,96,577,421,156
108,私立,一般大學,1008,靜宜大學,454,259,195,25,5,25,12,91,37,118,141,0,0,195,141,54,454,259,195
108,私立,一般大學,1009,長庚大學,611,461,150,95,10,135,14,172,53,59,73,0,0,479,402,77,611,461,150
108,私立,一般大學,1010,元智大學,276,173,103,21,2,26,6,73,30,53,65,0,0,158,120,38,276,173,103
108,私立,一般大學,1011,中華大學學校財團法人中華大學,144,105,39,8,1,13,1,28,11,56,26,0,0,62,49,13,144,105,39
108,私立,一般大學,1012,大葉大學,359,217,142,13,2,21,3,69,37,114,100,0,0,145,103,42,359,217,142
108,私立,一般大學,1013,華梵大學,66,50,16,7,2,4,1,10,9,29,4,0,0,33,21,12,66,50,16
108,私立,一般大學,1014,義守大學,458,301,157,19,1,8,4,66,24,208,128,0,0,122,93,29,458,301,157
108,私立,一般大學,1015,世新大學,362,227,135,27,7,35,15,54,37,111,76,0,0,175,116,59,362,227,135
108,私立,一般大學,1016,銘傳大學,655,406,249,34,10,46,12,108,64,218,163,0,0,274,188,86,655,406,249
108,私立,一般大學,1017,實踐大學,665,401,264,30,9,51,20,97,50,223,185,0,0,257,178,79,665,401,264
108,私立,技專校院,1018,朝陽科技大學,566,351,215,10,1,24,7,74,43,243,164,0,0,159,108,51,566,351,215
108,私立,一般大學,1019,高雄醫學大學,138,77,61,6,2,11,5,33,21,27,33,0,0,78,50,28,138,77,61
108,私立,一般大學,1020,南華大學,266,147,119,3,3,6,1,35,28,103,87,0,0,76,44,32,266,147,119
108,私立,一般大學,1021,真理大學,116,62,54,0,0,6,2,18,16,38,36,0,0,42,24,18,116,62,54
108,私立,一般大學,1022,大同大學,173,130,43,26,0,13,2,36,14,55,27,0,0,91,75,16,173,130,43
108,私立,技專校院,1023,南臺學校財團法人南臺科技大學,332,194,138,9,2,16,5,46,20,123,111,0,0,98,71,27,332,194,138
108,私立,技專校院,1024,崑山科技大學,277,204,73,16,1,12,1,47,6,129,65,0,0,83,75,8,277,204,73
