,學年度,設立別 ,學校類別,學校代碼,學校名稱,縣市別,校舍總樓地板面積,校地面積總計,可使用校地,校舍基地,露天運動場地,其他校地,無法使用校地
,101,公立,一般大學,1,國立政治大學,臺北市,391252,1033971,1015470,80673,68704,866093,18501
,101,公立,一般大學,2,國立清華大學,臺北市,1475,1976,1976,1169,0,807,0
,101,公立,一般大學,2,國立清華大學,宜蘭縣,0,221565,221565,0,0,221565,0
,101,公立,一般大學,2,國立清華大學,新竹縣,0,101134,0,0,0,0,101134
,101,公立,一般大學,2,國立清華大學,新竹市,504953,950364,950364,196470,32300,721594,0
,101,公立,一般大學,3,國立臺灣大學,臺北市,1214079,1355368,1355368,435513,25429,894426,0
,101,公立,一般大學,4,國立臺灣師範大學,新北市,67402,252631,252631,25841,38552,188238,0
,101,公立,一般大學,4,國立臺灣師範大學,臺北市,343244,220719,220560,113106,55314,52140,159
,101,公立,一般大學,5,國立成功大學,臺南市,856169,1865573,1865573,238668,45345,1581560,0
,101,公立,一般大學,6,國立中興大學,臺中市,482429,549595,549595,100802,30909,417884,0
,101,公立,一般大學,7,國立交通大學,臺北市,3477,1793,1793,1172,0,621,0
,101,公立,一般大學,7,國立交通大學,臺南市,18813,82000,82000,2848,0,79152,0
,101,公立,一般大學,7,國立交通大學,新竹縣,10338,25001,25001,3477,0,21524,0
,101,公立,一般大學,7,國立交通大學,新竹市,489107,770114,770114,95439,118090,556585,0
,101,公立,一般大學,8,國立中央大學,桃園縣,409963,614853,614853,100624,22143,492086,0
,101,公立,一般大學,8,國立中央大學,南投縣,496,930,930,195,0,735,0
,101,公立,一般大學,8,國立中央大學,嘉義縣,165,991,991,134,0,857,0
,101,公立,一般大學,9,國立中山大學,高雄市,321068,734097,289469,64530,70000,154939,444628
,101,公立,一般大學,12,國立臺灣海洋大學,基隆市,206877,329858,243436,53900,15383,174153,86422
,101,公立,一般大學,13,國立中正大學,臺北市,373,33,33,33,0,0,0
,101,公立,一般大學,13,國立中正大學,嘉義縣,470343,1305956,1305956,116216,12738,1177002,0
,101,公立,一般大學,13,國立中正大學,嘉義市,2352,1300,1300,618,0,682,0
,101,公立,一般大學,14,國立高雄師範大學,高雄市,256607,641543,641543,46408,61620,533515,0
,101,公立,一般大學,15,國立彰化師範大學,臺中市,577,517,517,288,0,229,0
,101,公立,一般大學,15,國立彰化師範大學,彰化縣,221704,516186,516186,45863,21281,449042,0
,101,公立,一般大學,16,國立陽明大學,臺北市,178908,498235,498235,45301,23508,429426,0
,101,公立,一般大學,17,國立臺北大學,新北市,200090,545323,545323,58951,23158,463214,0
,101,公立,一般大學,17,國立臺北大學,臺北市,70287,46274,46274,38169,4074,4031,0
,101,公立,一般大學,18,國立嘉義大學,嘉義縣,102258,203319,203319,24913,32900,145506,0
,101,公立,一般大學,18,國立嘉義大學,嘉義市,282351,1342134,1237508,83169,46997,1107342,104626
,101,公立,一般大學,19,國立高雄大學,高雄市,195428,825197,825197,68726,30500,725971,0
,101,公立,一般大學,20,國立東華大學,臺北市,315,32,32,32,0,0,0
,101,公立,一般大學,20,國立東華大學,花蓮縣,410454,2588801,2584436,391694,98680,2094062,4365
,101,公立,一般大學,21,國立暨南國際大學,南投縣,212047,1486313,1486313,63226,53400,1369687,0
,101,公立,一般大學,28,國立臺北藝術大學,臺北市,106074,370501,370501,37746,15136,317619,0
,101,公立,一般大學,29,國立臺灣藝術大學,新北市,71073,97459,78959,19703,10350,48906,18500
,101,公立,一般大學,30,國立臺東大學,臺東縣,107798,692561,626947,30810,27300,568837,65614
,101,公立,一般大學,31,國立宜蘭大學,宜蘭縣,179657,306514,306514,77657,4977,223880,0
,101,公立,一般大學,32,國立聯合大學,苗栗縣,135124,764642,764642,22549,21766,720327,0
,101,公立,一般大學,35,國立臺南藝術大學,臺南市,95143,575457,571507,34460,10144,526903,3950
,101,公立,一般大學,36,國立臺南大學,臺南市,82299,96799,96799,23956,13788,59055,0
,101,公立,一般大學,37,國立臺北教育大學,臺北市,96116,81384,80194,21882,12666,45646,1190
,101,公立,一般大學,38,國立新竹教育大學,新竹市,95276,82297,82297,17167,15813,49317,0
,101,公立,一般大學,39,國立臺中教育大學,臺中市,101807,99991,99991,25080,16083,58828,0
,101,公立,一般大學,40,國立屏東教育大學,屏東縣,141723,365023,365023,31937,34126,298960,0
,101,公立,一般大學,44,國立體育大學,桃園縣,124150,617544,605544,43522,75497,486525,12000
,101,公立,一般大學,48,國立金門大學,金門縣,53878,145835,145835,22536,4517,118782,0
,101,公立,一般大學,49,國立臺灣體育運動大學,臺中市,62007,151184,151184,28077,86711,36396,0
,101,公立,一般大學,49,國立臺灣體育運動大學,嘉義縣,39912,186106,186106,17815,28794,139497,0
,101,公立,一般大學,3001,臺北市立教育大學,臺北市,80959,44329,44329,11456,6000,26873,0
,101,公立,一般大學,3102,臺北市立體育學院,臺北市,153046,58165,58165,22725,0,35440,0
,101,公立,技專校院,22,國立臺灣科技大學,新北市,227,56693,53858,101,0,53757,2835
,101,公立,技專校院,22,國立臺灣科技大學,臺北市,218226,115693,100632,30644,14261,55727,15061
,101,公立,技專校院,22,國立臺灣科技大學,新竹縣,0,19536,19536,0,0,19536,0
,101,公立,技專校院,22,國立臺灣科技大學,基隆市,0,98959,98959,0,0,98959,0
,101,公立,技專校院,23,國立雲林科技大學,雲林縣,266564,581447,581447,79396,58002,444049,0
,101,公立,技專校院,24,國立屏東科技大學,臺北市,135,51,51,51,0,0,0
,101,公立,技專校院,24,國立屏東科技大學,屏東縣,305162,5668206,2504736,130501,48219,2326016,3163470
,101,公立,技專校院,24,國立屏東科技大學,臺東縣,181,5760622,181,181,0,0,5760441
,101,公立,技專校院,25,國立臺北科技大學,新北市,0,1574018,51250,0,0,51250,1522768
,101,公立,技專校院,25,國立臺北科技大學,臺北市,188928,96518,96518,86917,2512,7089,0
,101,公立,技專校院,25,國立臺北科技大學,桃園縣,0,1767,1767,0,0,1767,0
,101,公立,技專校院,25,國立臺北科技大學,基隆市,0,309146,0,0,0,0,309146
,101,公立,技專校院,26,國立高雄第一科技大學,高雄市,209438,734409,734409,50967,36134,647308,0
,101,公立,技專校院,27,國立高雄應用科技大學,高雄市,182025,1202155,1202155,40478,23070,1138607,0
,101,公立,技專校院,33,國立虎尾科技大學,雲林縣,189076,372763,372763,57019,37290,278454,0
,101,公立,技專校院,34,國立高雄海洋科技大學,高雄市,166975,231980,231980,54306,37229,140445,0
,101,公立,技專校院,42,國立澎湖科技大學,澎湖縣,88615,414740,414740,17247,16552,380941,0
,101,公立,技專校院,43,國立勤益科技大學,臺中市,131554,327472,301705,26708,15276,259721,25767
,101,公立,技專校院,46,國立臺北護理健康大學,臺北市,74997,82828,82828,20582,15399,46847,0
,101,公立,技專校院,47,國立高雄餐旅大學,高雄市,93374,150044,150044,18402,8578,123064,0
,101,公立,技專校院,50,國立臺中科技大學,臺中市,162939,146601,146601,22552,11928,112121,0
,101,公立,技專校院,136,國立屏東商業技術學院,屏東縣,80931,148765,148765,15809,25617,107339,0
,101,公立,技專校院,142,國立臺北商業技術學院,臺北市,63758,19955,19955,7839,2369,9747,0
,101,公立,技專校院,142,國立臺北商業技術學院,桃園縣,0,77118,76839,10379,7874,58586,279
,101,公立,技專校院,144,國立臺灣戲曲學院,臺北市,62261,49959,47807,15556,2271,29980,2152
,101,公立,技專校院,221,國立臺南護理專科學校,臺南市,23933,16897,16897,4899,0,11998,0
,101,公立,技專校院,222,國立臺東專科學校,臺東縣,55556,256088,256088,25104,81612,149372,0
,101,私立,一般大學,1001,東海大學,臺中市,324906,1339531,1339531,110260,72377,1156894,0
,101,私立,一般大學,1002,輔仁大學,新北市,334894,343427,343427,71488,45120,226819,0
,101,私立,一般大學,1003,東吳大學,臺北市,156584,158154,114424,24883,16155,73386,43730
,101,私立,一般大學,1004,中原大學,桃園縣,278524,352401,352401,55940,49725,246736,0
,101,私立,一般大學,1005,淡江大學,新北市,215961,217126,217126,32723,28158,156245,0
,101,私立,一般大學,1005,淡江大學,臺北市,13633,3249,3249,3239,0,10,0
,101,私立,一般大學,1005,淡江大學,宜蘭縣,43531,404553,404553,7168,19392,377993,0
,101,私立,一般大學,1006,中國文化大學,新北市,0,918310,918310,0,0,918310,0
,101,私立,一般大學,1006,中國文化大學,臺北市,233038,234639,234639,113005,4376,117258,0
,101,私立,一般大學,1007,逢甲大學,臺中市,324981,213365,213365,45287,35496,132582,0
,101,私立,一般大學,1008,靜宜大學,臺中市,199003,302017,302017,41420,50000,210597,0
,101,私立,一般大學,1009,長庚大學,桃園縣,410500,371309,371309,61751,42229,267329,0
,101,私立,一般大學,1010,元智大學,桃園縣,221867,239100,239100,29283,18670,191147,0
,101,私立,一般大學,1011,中華大學,新竹市,125187,203768,203768,29917,40800,133051,0
,101,私立,一般大學,1012,大葉大學,彰化縣,198733,298795,298795,30322,27334,241139,0
,101,私立,一般大學,1013,華梵大學,新北市,60019,306760,300296,126506,10525,163265,6464
,101,私立,一般大學,1014,義守大學,高雄市,447717,289033,289033,54674,43708,190651,0
,101,私立,一般大學,1015,世新大學,新北市,23935,200734,200734,4235,0,196499,0
,101,私立,一般大學,1015,世新大學,臺北市,75970,77626,77626,14426,8948,54252,0
,101,私立,一般大學,1016,銘傳大學,臺北市,64007,42315,42315,14083,8262,19970,0
,101,私立,一般大學,1016,銘傳大學,桃園縣,136753,188464,188464,19036,15062,154366,0
,101,私立,一般大學,1016,銘傳大學,金門縣,7427,150000,150000,3843,0,146157,0
,101,私立,一般大學,1017,實踐大學,臺北市,109466,388336,42039,19338,4683,18018,346297
,101,私立,一般大學,1017,實踐大學,高雄市,58530,150000,150000,15249,2025,132726,0
,101,私立,一般大學,1019,高雄醫學大學,高雄市,168701,100856,100856,28757,18787,53312,0
,101,私立,一般大學,1019,高雄醫學大學,屏東縣,0,17711,0,0,0,0,17711
,101,私立,一般大學,1020,南華大學,嘉義縣,83196,629214,629214,19248,21540,588426,0
,101,私立,一般大學,1021,真理大學,新北市,81390,89928,89928,19253,36913,33762,0
,101,私立,一般大學,1021,真理大學,臺南市,87163,227831,227831,19262,17643,190926,0
,101,私立,一般大學,1021,真理大學,高雄市,390,37,37,37,0,0,0
,101,私立,一般大學,1022,大同大學,臺北市,102346,62975,62975,9244,10000,43731,0
,101,私立,一般大學,1027,慈濟大學,花蓮縣,281059,577600,577600,82384,60258,434958,0
,101,私立,一般大學,1028,臺北醫學大學,臺北市,88676,73754,70930,26265,12559,32106,2824
,101,私立,一般大學,1029,中山醫學大學,臺中市,142219,110816,110779,24711,21678,64390,37
,101,私立,一般大學,1029,中山醫學大學,苗栗縣,0,418028,0,0,0,0,418028
,101,私立,一般大學,1033,長榮大學,臺南市,164854,269035,269035,31578,37046,200411,0
,101,私立,一般大學,1035,中國醫藥大學,臺中市,113243,38186,38186,9763,9858,18565,0
,101,私立,一般大學,1035,中國醫藥大學,雲林縣,17359,18723,18723,3043,2160,13520,0
,101,私立,一般大學,1039,玄奘大學,新竹市,88754,165321,165321,19104,17970,128247,0
,101,私立,一般大學,1048,亞洲大學,臺中市,130424,237530,237530,25586,23301,188643,0
,101,私立,一般大學,1049,開南大學,宜蘭縣,0,0,0,0,0,0,0
,101,私立,一般大學,1049,開南大學,桃園縣,107606,153490,136061,21109,29898,85054,17429
,101,私立,一般大學,1050,佛光大學,宜蘭縣,101162,577388,577388,23570,10400,543418,0
,101,私立,一般大學,1058,明道大學,彰化縣,94218,430714,391898,305078,59316,27504,38816
,101,私立,一般大學,1059,康寧大學,臺南市,74309,191669,191669,13562,52162,125945,0
,101,私立,一般大學,1067,台灣首府大學,臺南市,99126,165287,109262,15360,10200,83702,56025
,101,私立,一般大學,1125,興國管理學院,臺南市,53314,223471,223471,13624,75000,134847,0
,101,私立,一般大學,1176,稻江科技暨管理學院,嘉義縣,55882,351053,351053,18012,47800,285241,0
,101,私立,一般大學,1195,馬偕醫學院,新北市,35760,191344,188847,6953,11726,170168,2497
,101,私立,一般大學,1R01,法鼓佛教學院,新北市,32321,50000,50000,24851,0,25149,0
,101,私立,一般大學,1R02,基督教台灣浸會神學院,臺北市,8313,24100,24100,13442,0,10658,0
,101,私立,一般大學,1R03,臺北基督學院,新北市,21616,38526,38526,7027,3925,27574,0
,101,私立,技專校院,1018,朝陽科技大學,臺中市,157428,664807,664807,23966,23854,616987,0
,101,私立,技專校院,1023,南臺科技大學,臺南市,217565,164594,164594,37308,21830,105456,0
,101,私立,技專校院,1024,崑山科技大學,臺南市,190684,163640,163640,30723,48579,84338,0
,101,私立,技專校院,1025,嘉南藥理大學,臺南市,239875,261684,261684,46670,33347,181667,0
,101,私立,技專校院,1026,樹德科技大學,高雄市,154695,376356,373184,27545,36020,309619,3172
,101,私立,技專校院,1030,龍華科技大學,桃園縣,91200,70855,70855,17027,4145,49683,0
,101,私立,技專校院,1031,輔英科技大學,高雄市,132183,172745,171441,28140,42759,100542,1304
,101,私立,技專校院,1032,明新科技大學,新竹縣,131458,231678,231678,43116,45270,143292,0
,101,私立,技專校院,1034,弘光科技大學,臺中市,130400,99114,99114,22573,18942,57599,0
,101,私立,技專校院,1036,健行科技大學,桃園縣,118856,48437,48437,17121,7180,24136,0
,101,私立,技專校院,1037,正修科技大學,高雄市,188014,89027,89027,24303,9026,55698,0
,101,私立,技專校院,1038,萬能科技大學,桃園縣,98446,90760,90760,16330,21300,53130,0
,101,私立,技專校院,1040,建國科技大學,彰化縣,98638,100455,100455,20530,14608,65317,0
,101,私立,技專校院,1041,明志科技大學,新北市,195460,619085,619085,40597,24057,554431,0
,101,私立,技專校院,1042,高苑科技大學,高雄市,145214,251186,109916,27610,28338,53968,141270
,101,私立,技專校院,1043,大仁科技大學,屏東縣,117653,294750,294750,25225,31181,238344,0
,101,私立,技專校院,1044,聖約翰科技大學,新北市,102219,112393,112393,20990,23341,68062,0
,101,私立,技專校院,1045,嶺東科技大學,臺中市,111128,200154,200154,0,18657,181497,0
,101,私立,技專校院,1046,中國科技大學,臺北市,63104,49394,49394,9357,3929,36108,0
,101,私立,技專校院,1046,中國科技大學,新竹縣,87062,141629,141629,11590,17162,112877,0
,101,私立,技專校院,1047,中臺科技大學,臺中市,132191,97888,97888,18695,10072,69121,0
,101,私立,技專校院,1051,台南應用科技大學,臺南市,154295,144365,144365,28813,30821,84731,0
,101,私立,技專校院,1052,遠東科技大學,臺南市,129458,120636,120636,22963,16620,81053,0
,101,私立,技專校院,1053,元培醫事科技大學,新竹市,75265,126024,81328,42609,14219,24500,44696
,101,私立,技專校院,1054,景文科技大學,新北市,83387,112711,112711,14494,25222,72995,0
,101,私立,技專校院,1055,中華醫事科技大學,臺南市,140806,92001,92001,20967,11325,59709,0
,101,私立,技專校院,1056,東南科技大學,新北市,92025,109569,109569,14535,10446,84588,0
,101,私立,技專校院,1057,德明財經科技大學,臺北市,62736,60419,60419,14708,11855,33856,0
,101,私立,技專校院,1060,南開科技大學,南投縣,85825,92030,92030,15832,15135,61063,0
,101,私立,技專校院,1061,中華科技大學,臺北市,69052,54147,54147,21529,5600,27018,0
,101,私立,技專校院,1061,中華科技大學,新竹縣,16066,87770,21489,16066,4423,1000,66281
,101,私立,技專校院,1061,中華科技大學,雲林縣,5440,291174,285721,13255,3124,269342,5453
,101,私立,技專校院,1062,僑光科技大學,臺中市,110437,55759,55759,14966,6600,34193,0
,101,私立,技專校院,1063,育達科技大學,新北市,0,79034,0,0,0,0,79034
,101,私立,技專校院,1063,育達科技大學,臺北市,4002,0,0,0,0,0,0
,101,私立,技專校院,1063,育達科技大學,苗栗縣,99312,119651,119651,47627,21428,50596,0
,101,私立,技專校院,1064,美和科技大學,屏東縣,96996,50574,50574,15248,4951,30375,0
,101,私立,技專校院,1065,吳鳳科技大學,嘉義縣,139621,132856,132856,25889,28320,78647,0
,101,私立,技專校院,1066,環球科技大學,雲林縣,116236,451806,451806,29422,50165,372219,0
,101,私立,技專校院,1068,中州科技大學,彰化縣,73025,59627,59627,13917,4348,41362,0
,101,私立,技專校院,1069,修平科技大學,臺中市,81172,96463,96463,17433,12372,66658,0
,101,私立,技專校院,1070,長庚科技大學,桃園縣,199199,139039,139039,30826,20886,87327,0
,101,私立,技專校院,1070,長庚科技大學,嘉義縣,109095,156216,156216,14756,12415,129045,0
,101,私立,技專校院,1071,臺北城市科技大學,臺北市,119007,86984,86984,22227,9833,54924,0
,101,私立,技專校院,1072,大華科技大學,新竹縣,73503,148856,104028,18451,8501,77076,44828
,101,私立,技專校院,1073,醒吾科技大學,新北市,55288,55688,55688,14749,16500,24439,0
,101,私立,技專校院,1147,文藻外語學院,高雄市,91925,56838,56838,20687,28240,7911,0
,101,私立,技專校院,1148,大漢技術學院,花蓮縣,62319,185047,185047,20644,73443,90960,0
,101,私立,技專校院,1150,慈濟技術學院,花蓮縣,109778,186053,186053,16773,16992,152288,0
,101,私立,技專校院,1154,永達技術學院,高雄市,3453,84409,84409,1306,14595,68508,0
,101,私立,技專校院,1154,永達技術學院,屏東縣,92258,780654,780654,18546,13597,748511,0
,101,私立,技專校院,1159,和春技術學院,高雄市,147076,112497,112497,33297,19674,59526,0
,101,私立,技專校院,1164,致理技術學院,新北市,73856,53021,53021,9785,23030,20206,0
,101,私立,技專校院,1166,亞東技術學院,新北市,102519,50215,40599,9956,5169,25474,9616
,101,私立,技專校院,1168,桃園創新技術學院,桃園縣,95321,50274,50274,13577,14120,22577,0
,101,私立,技專校院,1179,德霖技術學院,新北市,84492,132807,129591,19089,13206,97296,3216
,101,私立,技專校院,1181,南榮技術學院,臺南市,90249,72144,72144,19133,10254,42757,0
,101,私立,技專校院,1182,蘭陽技術學院,宜蘭縣,85802,82796,76922,18780,14420,43722,5874
,101,私立,技專校院,1183,黎明技術學院,新北市,58230,74341,74341,50525,11192,12624,0
,101,私立,技專校院,1184,東方設計學院,高雄市,85569,91144,91144,15343,22582,53219,0
,101,私立,技專校院,1185,經國管理暨健康學院,基隆市,35838,121675,121675,7304,12000,102371,0
,101,私立,技專校院,1187,崇右技術學院,基隆市,39450,411254,50129,37095,12100,934,361125
,101,私立,技專校院,1188,大同技術學院,嘉義縣,23998,98179,98179,4787,47401,45991,0
,101,私立,技專校院,1188,大同技術學院,嘉義市,36371,24002,24002,7125,1980,14897,0
,101,私立,技專校院,1189,亞太創意技術學院,苗栗縣,58263,129637,45049,13895,24542,6612,84588
,101,私立,技專校院,1190,高鳳數位內容學院,屏東縣,35548,152200,152200,8829,20466,122905,0
,101,私立,技專校院,1191,華夏技術學院,新北市,56165,59646,59646,10634,1457,47555,0
,101,私立,技專校院,1192,臺灣觀光學院,花蓮縣,37149,138902,138902,8439,22548,107915,0
,101,私立,技專校院,1197,台北海洋技術學院,新北市,33255,41071,41071,5294,1296,34481,0
,101,私立,技專校院,1197,台北海洋技術學院,臺北市,25389,34264,34264,8775,6608,18881,0
,101,私立,技專校院,1281,康寧醫護暨管理專科學校,臺北市,40351,73581,21176,6395,770,14011,52405
,101,私立,技專校院,1282,馬偕醫護管理專科學校,新北市,44190,122732,85648,7768,4349,73531,37084
,101,私立,技專校院,1282,馬偕醫護管理專科學校,臺北市,27141,14552,14544,5537,814,8193,8
,101,私立,技專校院,1283,仁德醫護管理專科學校,苗栗縣,72598,60786,60786,15409,7671,37706,0
,101,私立,技專校院,1284,樹人醫護管理專科學校,高雄市,84062,129188,129188,14532,24034,90622,0
,101,私立,技專校院,1285,慈惠醫護管理專科學校,屏東縣,60062,196132,196132,11670,35881,148581,0
,101,私立,技專校院,1286,耕莘健康管理專科學校,新北市,74534,19875,19875,4908,3211,11756,0
,101,私立,技專校院,1286,耕莘健康管理專科學校,宜蘭縣,39280,94618,94618,12778,17645,64195,0
,101,私立,技專校院,1286,耕莘健康管理專科學校,基隆市,0,53630,0,0,0,0,53630
,101,私立,技專校院,1287,敏惠醫護管理專科學校,臺南市,34396,122972,110347,29661,3327,77359,12625
,101,私立,技專校院,1288,高美醫護管理專科學校,高雄市,13589,59222,59222,28034,9141,22047,0
,101,私立,技專校院,1289,育英醫護管理專科學校,高雄市,15994,74415,74415,3490,6359,64566,0
,101,私立,技專校院,1290,崇仁醫護管理專科學校,嘉義縣,34297,98000,98000,5868,5720,86412,0
,101,私立,技專校院,1290,崇仁醫護管理專科學校,嘉義市,15435,23215,23215,3022,4712,15481,0
,101,私立,技專校院,1291,聖母醫護管理專科學校,宜蘭縣,37344,41772,41772,9229,3241,29302,0
,101,私立,技專校院,1292,新生醫護管理專科學校,桃園縣,86644,113550,113550,24215,7780,81555,0
,102,公立,一般大學,1,國立政治大學,臺北市,392202,1033662,1015470,80673,68704,866093,18192
,102,公立,一般大學,2,國立清華大學,臺北市,1475,1976,1976,1169,0,807,0
,102,公立,一般大學,2,國立清華大學,宜蘭縣,0,221565,221565,0,0,221565,0
,102,公立,一般大學,2,國立清華大學,新竹縣,0,101134,0,0,0,0,101134
,102,公立,一般大學,2,國立清華大學,新竹市,508419,950364,950364,119040,32300,799024,0
,102,公立,一般大學,3,國立臺灣大學,臺北市,1193715,1368270,1368270,438240,25429,904601,0
,102,公立,一般大學,4,國立臺灣師範大學,新北市,66612,265881,265881,25841,38552,201488,0
,102,公立,一般大學,4,國立臺灣師範大學,臺北市,340843,223645,223486,113106,55314,55066,159
,102,公立,一般大學,5,國立成功大學,臺南市,855718,1865582,1865582,238668,45345,1581569,0
,102,公立,一般大學,6,國立中興大學,臺中市,500231,523434,523434,102872,30909,389653,0
,102,公立,一般大學,7,國立交通大學,臺北市,3477,1793,1793,1172,0,621,0
,102,公立,一般大學,7,國立交通大學,臺南市,18813,81991,81991,2848,0,79143,0
,102,公立,一般大學,7,國立交通大學,新竹縣,10338,25001,25001,3477,0,21524,0
,102,公立,一般大學,7,國立交通大學,新竹市,489107,770114,770114,95439,118090,556585,0
,102,公立,一般大學,8,國立中央大學,桃園縣,410012,614853,614853,100486,22143,492224,0
,102,公立,一般大學,8,國立中央大學,南投縣,496,930,930,195,0,735,0
,102,公立,一般大學,8,國立中央大學,嘉義縣,165,991,991,134,0,857,0
,102,公立,一般大學,9,國立中山大學,高雄市,321068,734097,289469,64530,70000,154939,444628
,102,公立,一般大學,12,國立臺灣海洋大學,基隆市,206468,329858,243436,53866,18768,170802,86422
,102,公立,一般大學,13,國立中正大學,臺北市,373,33,33,33,0,0,0
,102,公立,一般大學,13,國立中正大學,嘉義縣,470436,1305956,1305956,116126,12738,1177092,0
,102,公立,一般大學,13,國立中正大學,嘉義市,2352,1300,1300,618,0,682,0
,102,公立,一般大學,14,國立高雄師範大學,高雄市,256607,641543,641543,46408,61620,533515,0
,102,公立,一般大學,15,國立彰化師範大學,臺中市,577,517,517,288,0,229,0
,102,公立,一般大學,15,國立彰化師範大學,彰化縣,221704,516254,516254,45863,21281,449110,0
,102,公立,一般大學,16,國立陽明大學,臺北市,178908,498235,498235,45301,23508,429426,0
,102,公立,一般大學,17,國立臺北大學,新北市,200090,545284,545284,58951,23158,463175,0
,102,公立,一般大學,17,國立臺北大學,臺北市,70287,46274,46274,38169,4074,4031,0
,102,公立,一般大學,18,國立嘉義大學,嘉義縣,102258,203319,203319,24913,32900,145506,0
,102,公立,一般大學,18,國立嘉義大學,嘉義市,282351,1342134,1237508,83169,46997,1107342,104626
,102,公立,一般大學,19,國立高雄大學,高雄市,195428,825197,825197,68726,30500,725971,0
,102,公立,一般大學,20,國立東華大學,臺北市,315,32,32,32,0,0,0
,102,公立,一般大學,20,國立東華大學,花蓮縣,385913,2469616,2469616,367274,77725,2024617,0
,102,公立,一般大學,21,國立暨南國際大學,南投縣,212047,1486313,1486313,63226,53400,1369687,0
,102,公立,一般大學,28,國立臺北藝術大學,臺北市,116145,370501,370501,41273,15136,314092,0
,102,公立,一般大學,29,國立臺灣藝術大學,新北市,71073,97459,78959,19703,10350,48906,18500
,102,公立,一般大學,30,國立臺東大學,臺東縣,108103,692561,626947,30810,27300,568837,65614
,102,公立,一般大學,31,國立宜蘭大學,宜蘭縣,178458,306487,306487,43978,4977,257532,0
,102,公立,一般大學,32,國立聯合大學,苗栗縣,140460,764642,764642,23784,21766,719092,0
,102,公立,一般大學,35,國立臺南藝術大學,臺南市,95143,575797,571507,34460,10144,526903,4290
,102,公立,一般大學,36,國立臺南大學,臺南市,81988,96799,96799,23956,13788,59055,0
,102,公立,一般大學,37,國立臺北教育大學,臺北市,96819,80787,79661,22997,12666,43998,1126
,102,公立,一般大學,38,國立新竹教育大學,新竹市,95276,82297,82297,17167,15813,49317,0
,102,公立,一般大學,39,國立臺中教育大學,臺中市,101807,99991,99991,25080,16083,58828,0
,102,公立,一般大學,40,國立屏東教育大學,屏東縣,137472,365023,365023,31937,34126,298960,0
,102,公立,一般大學,44,國立體育大學,桃園縣,133825,617397,605397,45143,75497,484757,12000
,102,公立,一般大學,48,國立金門大學,金門縣,67299,167372,167372,25384,4517,137471,0
,102,公立,一般大學,49,國立臺灣體育運動大學,臺中市,62248,158405,158405,28077,86711,43617,0
,102,公立,一般大學,49,國立臺灣體育運動大學,嘉義縣,39912,187822,187822,17815,28794,141213,0
,102,公立,一般大學,3002,臺北市立大學,臺北市,234005,102494,102494,34181,6635,61678,0
,102,公立,技專校院,22,國立臺灣科技大學,新北市,227,56693,53858,101,0,53757,2835
,102,公立,技專校院,22,國立臺灣科技大學,臺北市,218226,115693,100632,30644,14261,55727,15061
