學年度,設立別,學校類別,學校統計處代碼,學校名稱,縣市別,申請學校宿舍人數(A),學生實際住宿情形-自有宿舍住宿人數-小計(B),學生實際住宿情形-自有宿舍住宿人數-男,學生實際住宿情形-自有宿舍住宿人數-女,學生實際住宿情形-學校租賃宿舍住宿人數-小計(C),學生實際住宿情形-學校租賃宿舍住宿人數-男,學生實際住宿情形-學校租賃宿舍住宿人數-女,學生校外租屋人數(107學年度新增)-小計(D),學生校外租屋人數(107學年度新增)-男,學生校外租屋人數(107學年度新增)-女,學校提供學生實際住宿之比率(%)E=(B+C)/（B+C+D）
106,公立,一般大學,0001,國立政治大學,臺北市,8031,6529,2389,4140,0,0,0,...,...,...,81.30
106,公立,一般大學,0002,國立清華大學,新竹市,8927,8021,4353,3668,0,0,0,...,...,...,89.85
106,公立,一般大學,0003,國立臺灣大學,臺北市,14469,11959,6663,5296,0,0,0,...,...,...,82.65
106,公立,一般大學,0004,國立臺灣師範大學,臺北市,6200,4145,1571,2574,0,0,0,...,...,...,66.85
106,公立,一般大學,0005,國立成功大學,臺南市,10294,6341,3951,2390,0,0,0,...,...,...,61.60
106,公立,一般大學,0006,國立中興大學,臺中市,4621,3057,1916,1141,0,0,0,...,...,...,66.15
106,公立,一般大學,0007,國立陽明交通大學,新竹市,8033,7134,4837,2297,0,0,0,...,...,...,88.81
106,公立,一般大學,0007,國立陽明交通大學,臺南市,67,17,14,3,50,45,5,...,...,...,100
106,公立,一般大學,0008,國立中央大學,桃園市,6368,5748,3495,2253,0,0,0,...,...,...,90.26
106,公立,一般大學,0009,國立中山大學,高雄市,4020,4020,2376,1644,0,0,0,...,...,...,100
106,公立,一般大學,0012,國立臺灣海洋大學,基隆市,4084,2755,1857,898,0,0,0,...,...,...,67.46
106,公立,一般大學,0013,國立中正大學,嘉義縣,5054,3588,1915,1673,0,0,0,...,...,...,70.99
106,公立,一般大學,0014,國立高雄師範大學,高雄市,2923,2923,1466,1457,0,0,0,...,...,...,100
106,公立,一般大學,0015,國立彰化師範大學,彰化縣,3489,2578,1176,1402,0,0,0,...,...,...,73.89
106,公立,一般大學,0016,國立陽明大學,臺北市,2202,2202,1094,1108,0,0,0,...,...,...,100
106,公立,一般大學,0017,國立臺北大學,臺北市,575,575,198,377,0,0,0,...,...,...,100
106,公立,一般大學,0017,國立臺北大學,新北市,1290,1060,430,630,0,0,0,...,...,...,82.17
106,公立,一般大學,0018,國立嘉義大學,嘉義縣,1305,1224,391,833,0,0,0,...,...,...,93.79
106,公立,一般大學,0018,國立嘉義大學,嘉義市,2688,2315,1225,1090,0,0,0,...,...,...,86.12
106,公立,一般大學,0019,國立高雄大學,高雄市,1435,1529,774,755,0,0,0,...,...,...,100
106,公立,一般大學,0020,國立東華大學,花蓮縣,6982,5838,2745,3093,0,0,0,...,...,...,83.62
106,公立,一般大學,0021,國立暨南國際大學,南投縣,4068,2773,1342,1431,0,0,0,...,...,...,68.17
106,公立,技專校院,0022,國立臺灣科技大學,臺北市,3460,1986,1306,680,0,0,0,...,...,...,57.40
106,公立,技專校院,0023,國立雲林科技大學,雲林縣,2599,2528,1259,1269,0,0,0,...,...,...,97.27
106,公立,技專校院,0024,國立屏東科技大學,屏東縣,2944,2944,1483,1461,0,0,0,...,...,...,100
106,公立,技專校院,0025,國立臺北科技大學,臺北市,2710,1572,936,636,200,200,0,...,...,...,65.39
106,公立,技專校院,0026,國立高雄第一科技大學,高雄市,1892,1378,770,608,0,0,0,...,...,...,72.83
106,公立,技專校院,0027,國立高雄應用科技大學,高雄市,2012,1268,542,726,0,0,0,...,...,...,63.02
106,公立,一般大學,0028,國立臺北藝術大學,臺北市,1667,1325,417,908,0,0,0,...,...,...,79.48
106,公立,一般大學,0029,國立臺灣藝術大學,新北市,1166,800,195,605,0,0,0,...,...,...,68.61
106,公立,一般大學,0030,國立臺東大學,臺東縣,2463,1974,902,1072,0,0,0,...,...,...,80.15
106,公立,一般大學,0031,國立宜蘭大學,宜蘭縣,1558,1478,807,671,0,0,0,...,...,...,94.87
106,公立,一般大學,0032,國立聯合大學,苗栗縣,2749,2749,1157,1592,0,0,0,...,...,...,100
106,公立,技專校院,0033,國立虎尾科技大學,雲林縣,1887,1783,1264,519,0,0,0,...,...,...,94.49
106,公立,技專校院,0034,國立高雄海洋科技大學,高雄市,2294,1687,975,712,0,0,0,...,...,...,73.54
106,公立,一般大學,0035,國立臺南藝術大學,臺南市,1169,1157,357,800,0,0,0,...,...,...,98.97
106,公立,一般大學,0036,國立臺南大學,臺南市,1957,1433,482,951,0,0,0,...,...,...,73.22
106,公立,一般大學,0037,國立臺北教育大學,臺北市,1709,1354,423,931,0,0,0,...,...,...,79.23
106,公立,一般大學,0039,國立臺中教育大學,臺中市,1947,1882,563,1319,0,0,0,...,...,...,96.66
106,公立,技專校院,0042,國立澎湖科技大學,澎湖縣,708,673,394,279,0,0,0,...,...,...,95.06
106,公立,技專校院,0043,國立勤益科技大學,臺中市,1267,871,448,423,7,5,2,...,...,...,69.30
106,公立,一般大學,0044,國立體育大學,桃園市,1461,1195,714,481,0,0,0,...,...,...,81.79
106,公立,技專校院,0046,國立臺北護理健康大學,臺北市,1806,1341,164,1177,0,0,0,...,...,...,74.25
106,公立,技專校院,0047,國立高雄餐旅大學,高雄市,1336,1336,413,923,0,0,0,...,...,...,100
106,公立,一般大學,0048,國立金門大學,金門縣,1107,1041,516,525,66,26,40,...,...,...,100
106,公立,一般大學,0049,國立臺灣體育運動大學,臺中市,779,779,488,291,0,0,0,...,...,...,100
106,公立,技專校院,0050,國立臺中科技大學,臺中市,1513,1371,211,1160,0,0,0,...,...,...,90.61
106,公立,技專校院,0051,國立臺北商業大學,桃園市,541,541,106,435,0,0,0,...,...,...,100
106,公立,一般大學,0052,國立屏東大學,屏東縣,4065,3650,1185,2465,0,0,0,...,...,...,89.79
106,公立,技專校院,0144,國立臺灣戲曲學院,臺北市,367,313,114,199,0,0,0,...,...,...,85.29
106,公立,技專校院,0221,國立臺南護理專科學校,臺南市,675,504,24,480,0,0,0,...,...,...,74.67
106,公立,技專校院,0222,國立臺東專科學校,臺東縣,601,491,314,177,0,0,0,...,...,...,81.70
106,私立,一般大學,1001,東海大學,臺中市,6513,5081,1998,3083,0,0,0,...,...,...,78.01
106,私立,一般大學,1002,輔仁大學,新北市,4184,3543,1294,2249,641,202,439,...,...,...,100
106,私立,一般大學,1003,東吳大學,臺北市,1821,1074,388,686,727,197,530,...,...,...,98.90
106,私立,一般大學,1004,中原大學,桃園市,5221,4505,2292,2213,356,210,146,...,...,...,93.10
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,宜蘭縣,840,825,330,495,0,0,0,...,...,...,98.21
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,新北市,4746,2016,19,1997,923,630,293,...,...,...,61.93
106,私立,一般大學,1006,中國文化大學,臺北市,6604,4242,1662,2580,420,168,252,...,...,...,70.59
106,私立,一般大學,1007,逢甲大學,臺中市,5370,2679,962,1717,2237,1928,309,...,...,...,91.55
106,私立,一般大學,1008,靜宜大學,臺中市,4073,3028,985,2043,386,160,226,...,...,...,83.82
106,私立,一般大學,1009,長庚大學,桃園市,5190,5190,2711,2479,0,0,0,...,...,...,100
106,私立,一般大學,1010,元智大學,桃園市,4503,2903,1436,1467,86,86,0,...,...,...,66.38
106,私立,一般大學,1011,中華大學學校財團法人中華大學,新竹市,2471,2316,1289,1027,0,0,0,...,...,...,93.73
106,私立,一般大學,1012,大葉大學,彰化縣,2220,2220,810,1410,0,0,0,...,...,...,100
106,私立,一般大學,1013,華梵大學,新北市,1154,968,510,458,0,0,0,...,...,...,83.88
106,私立,一般大學,1014,義守大學,高雄市,8756,3679,1591,2088,2708,1292,1416,...,...,...,72.94
106,私立,一般大學,1015,世新大學,臺北市,959,497,134,363,0,0,0,...,...,...,51.82
106,私立,一般大學,1015,世新大學,新北市,637,518,85,433,214,54,160,...,...,...,100
106,私立,一般大學,1016,銘傳大學,臺北市,1544,828,298,530,303,138,165,...,...,...,73.25
106,私立,一般大學,1016,銘傳大學,桃園市,2899,1446,420,1026,963,450,513,...,...,...,83.10
106,私立,一般大學,1016,銘傳大學,金門縣,106,106,45,61,0,0,0,...,...,...,100
106,私立,一般大學,1017,實踐大學,臺北市,1500,959,8,951,279,131,148,...,...,...,82.53
106,私立,一般大學,1017,實踐大學,高雄市,2100,1116,4,1112,672,526,146,...,...,...,85.14
106,私立,技專校院,1018,朝陽科技大學,臺中市,2819,925,414,511,1894,687,1207,...,...,...,100
106,私立,一般大學,1019,高雄醫學大學,高雄市,2037,1574,652,922,0,0,0,...,...,...,77.27
106,私立,一般大學,1020,南華大學,嘉義縣,2699,2413,761,1652,241,208,33,...,...,...,98.33
106,私立,一般大學,1021,真理大學,新北市,1354,942,350,592,0,0,0,...,...,...,69.57
106,私立,一般大學,1021,真理大學,臺南市,34,31,15,16,0,0,0,...,...,...,91.18
106,私立,一般大學,1022,大同大學,臺北市,1120,1097,673,424,0,0,0,...,...,...,97.95
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,臺南市,4507,3600,1678,1922,0,0,0,...,...,...,79.88
106,私立,技專校院,1024,崑山科技大學,臺南市,1737,1704,1094,610,0,0,0,...,...,...,98.10
106,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,臺南市,5415,4246,1467,2779,88,44,44,...,...,...,80.04
106,私立,技專校院,1026,樹德科技大學,高雄市,2806,2806,1021,1785,0,0,0,...,...,...,100
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,花蓮縣,2308,2308,821,1487,0,0,0,...,...,...,100
106,私立,一般大學,1028,臺北醫學大學,臺北市,1330,803,355,448,39,14,25,...,...,...,63.31
106,私立,一般大學,1029,中山醫學大學,臺中市,1753,1513,671,842,0,0,0,...,...,...,86.31
106,私立,技專校院,1030,龍華科技大學,桃園市,1143,741,451,290,227,165,62,...,...,...,84.69
106,私立,技專校院,1031,輔英科技大學,高雄市,2485,2485,353,2132,0,0,0,...,...,...,100
106,私立,技專校院,1032,明新學校財團法人明新科技大學,新竹縣,2190,1827,1024,803,0,0,0,...,...,...,83.42
106,私立,一般大學,1033,長榮大學,臺南市,3509,2550,1059,1491,0,0,0,...,...,...,72.67
106,私立,技專校院,1034,弘光科技大學,臺中市,2276,315,15,300,1961,750,1211,...,...,...,100
106,私立,一般大學,1035,中國醫藥大學,臺中市,487,415,210,205,0,0,0,...,...,...,85.22
106,私立,一般大學,1035,中國醫藥大學,雲林縣,648,633,197,436,0,0,0,...,...,...,97.69
106,私立,技專校院,1036,健行學校財團法人健行科技大學,桃園市,1093,1066,684,382,0,0,0,...,...,...,97.53
106,私立,技專校院,1037,正修學校財團法人正修科技大學,高雄市,1540,896,419,477,500,250,250,...,...,...,90.65
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,桃園市,1111,709,356,353,319,152,167,...,...,...,92.53
106,私立,一般大學,1039,玄奘大學,新竹市,1081,1086,415,671,0,0,0,...,...,...,100
106,私立,技專校院,1040,建國科技大學,彰化縣,1520,455,300,155,361,227,134,...,...,...,53.68
106,私立,技專校院,1041,明志科技大學,新北市,2681,2582,1790,792,0,0,0,...,...,...,96.31
106,私立,技專校院,1042,高苑科技大學,高雄市,1021,1021,758,263,0,0,0,...,...,...,100
106,私立,技專校院,1043,大仁科技大學,屏東縣,1075,1075,387,688,0,0,0,...,...,...,100
106,私立,技專校院,1044,聖約翰科技大學,新北市,889,880,618,262,0,0,0,...,...,...,98.99
106,私立,技專校院,1045,嶺東科技大學,臺中市,725,576,0,576,0,0,0,...,...,...,79.45
106,私立,技專校院,1046,中國科技大學,新竹縣,1118,1015,391,624,0,0,0,...,...,...,90.79
106,私立,技專校院,1047,中臺科技大學,臺中市,1113,1043,343,700,0,0,0,...,...,...,93.71
106,私立,一般大學,1048,亞洲大學,臺中市,4737,4164,1332,2832,0,0,0,...,...,...,87.90
106,私立,一般大學,1049,開南大學,桃園市,1456,1383,651,732,0,0,0,...,...,...,94.99
106,私立,一般大學,1050,佛光大學,宜蘭縣,1988,903,330,573,849,356,493,...,...,...,88.13
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,臺南市,2331,1282,234,1048,287,108,179,...,...,...,67.31
106,私立,技專校院,1052,遠東科技大學,臺南市,1515,1515,933,582,0,0,0,...,...,...,100
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,新竹市,1284,516,0,516,624,414,210,...,...,...,88.79
106,私立,技專校院,1054,景文科技大學,新北市,1231,1040,357,683,0,0,0,...,...,...,84.48
106,私立,技專校院,1055,中華醫事科技大學,臺南市,2115,2115,546,1569,0,0,0,...,...,...,100
106,私立,技專校院,1056,東南科技大學,新北市,660,660,372,288,0,0,0,...,...,...,100
106,私立,技專校院,1057,德明財經科技大學,臺北市,703,574,110,464,129,77,52,...,...,...,100
106,私立,一般大學,1058,明道學校財團法人明道大學,彰化縣,1316,718,440,278,604,277,327,...,...,...,100
106,私立,技專校院,1060,南開科技大學,南投縣,820,764,517,247,0,0,0,...,...,...,93.17
106,私立,技專校院,1061,中華學校財團法人中華科技大學,臺北市,405,405,265,140,0,0,0,...,...,...,100
106,私立,技專校院,1061,中華學校財團法人中華科技大學,新竹縣,282,282,161,121,0,0,0,...,...,...,100
106,私立,技專校院,1062,僑光科技大學,臺中市,1115,809,216,593,0,0,0,...,...,...,72.56
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,苗栗縣,729,729,292,437,0,0,0,...,...,...,100
106,私立,技專校院,1064,美和學校財團法人美和科技大學,屏東縣,827,827,227,600,0,0,0,...,...,...,100
106,私立,技專校院,1065,吳鳳科技大學,嘉義縣,633,587,439,148,0,0,0,...,...,...,92.73
106,私立,技專校院,1066,環球學校財團法人環球科技大學,雲林縣,1003,957,438,519,0,0,0,...,...,...,95.41
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,臺南市,665,665,296,369,0,0,0,...,...,...,100
106,私立,技專校院,1068,中州學校財團法人中州科技大學,彰化縣,733,610,356,254,0,0,0,...,...,...,83.22
106,私立,技專校院,1069,修平學校財團法人修平科技大學,臺中市,775,721,462,259,0,0,0,...,...,...,93.03
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,桃園市,4259,4259,387,3872,0,0,0,...,...,...,100
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,嘉義縣,1266,1266,113,1153,0,0,0,...,...,...,100
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,臺北市,1198,1198,751,447,0,0,0,...,...,...,100
106,私立,技專校院,1072,大華學校財團法人敏實科技大學,新竹縣,363,363,254,109,0,0,0,...,...,...,100
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,新北市,888,800,264,536,0,0,0,...,...,...,90.09
106,私立,技專校院,1074,南榮學校財團法人南榮科技大學,臺南市,205,205,133,72,0,0,0,...,...,...,100
106,私立,技專校院,1075,文藻學校財團法人文藻外語大學,高雄市,1248,710,123,587,0,0,0,...,...,...,56.89
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,新北市,47,15,15,0,24,0,24,...,...,...,82.98
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,花蓮縣,2036,2016,444,1572,0,0,0,...,...,...,99.02
106,私立,技專校院,1078,致理學校財團法人致理科技大學,新北市,800,594,120,474,0,0,0,...,...,...,74.25
106,私立,一般大學,1079,康寧學校財團法人康寧大學,臺北市,894,894,69,825,0,0,0,...,...,...,100
106,私立,一般大學,1079,康寧學校財團法人康寧大學,臺南市,336,336,188,148,0,0,0,...,...,...,100
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,新北市,273,273,161,112,0,0,0,...,...,...,100
106,私立,技專校院,1081,東方學校財團法人東方設計大學,高雄市,595,595,288,307,0,0,0,...,...,...,100
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,基隆市,257,257,83,174,0,0,0,...,...,...,100
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,臺北市,678,261,181,80,0,0,0,...,...,...,38.50
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,新北市,323,449,237,212,0,0,0,...,...,...,100
106,私立,一般大學,1125,中信學校財團法人中信金融管理學院,臺南市,421,421,200,221,0,0,0,...,...,...,100
106,私立,技專校院,1148,大漢技術學院,花蓮縣,68,68,50,18,0,0,0,...,...,...,100
106,私立,技專校院,1159,和春技術學院,高雄市,191,191,103,88,0,0,0,...,...,...,100
106,私立,技專校院,1166,亞東技術學院,新北市,128,82,47,35,0,0,0,...,...,...,64.06
106,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,桃園市,326,326,174,152,0,0,0,...,...,...,100
106,私立,一般大學,1176,稻江科技暨管理學院,嘉義縣,118,118,72,46,0,0,0,...,...,...,100
106,私立,技專校院,1182,蘭陽技術學院,宜蘭縣,155,155,77,78,0,0,0,...,...,...,100
106,私立,技專校院,1183,黎明技術學院,新北市,369,340,146,194,0,0,0,...,...,...,92.14
106,私立,技專校院,1185,經國管理暨健康學院,基隆市,511,511,96,415,0,0,0,...,...,...,100
106,私立,技專校院,1188,大同技術學院,嘉義縣,86,86,86,0,0,0,0,...,...,...,100
106,私立,技專校院,1188,大同技術學院,嘉義市,219,219,73,146,0,0,0,...,...,...,100
106,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,苗栗縣,120,120,82,38,0,0,0,...,...,...,100
106,私立,技專校院,1192,臺灣觀光學院,花蓮縣,169,169,72,97,0,0,0,...,...,...,100
106,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,新北市,566,566,195,371,0,0,0,...,...,...,100
106,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,新北市,181,181,45,136,0,0,0,...,...,...,100
106,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,臺北市,696,696,56,640,0,0,0,...,...,...,100
106,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,新北市,1086,1086,87,999,0,0,0,...,...,...,100
106,私立,技專校院,1283,仁德醫護管理專科學校,苗栗縣,2202,2179,410,1769,0,0,0,...,...,...,98.96
106,私立,技專校院,1284,樹人醫護管理專科學校,高雄市,1396,1339,322,1017,0,0,0,...,...,...,95.92
106,私立,技專校院,1285,慈惠醫護管理專科學校,屏東縣,832,551,0,551,281,133,148,...,...,...,100
106,私立,技專校院,1286,耕莘健康管理專科學校,宜蘭縣,1461,1461,207,1254,0,0,0,...,...,...,100
106,私立,技專校院,1286,耕莘健康管理專科學校,新北市,896,896,17,879,0,0,0,...,...,...,100
106,私立,技專校院,1287,敏惠醫護管理專科學校,臺南市,1173,1084,104,980,0,0,0,...,...,...,92.41
106,私立,技專校院,1288,高美醫護管理專科學校,高雄市,106,104,15,89,0,0,0,...,...,...,98.11
106,私立,技專校院,1289,育英醫護管理專科學校,高雄市,156,156,16,140,0,0,0,...,...,...,100
106,私立,技專校院,1290,崇仁醫護管理專科學校,嘉義縣,709,709,58,651,0,0,0,...,...,...,100
106,私立,技專校院,1290,崇仁醫護管理專科學校,嘉義市,270,270,46,224,0,0,0,...,...,...,100
106,私立,技專校院,1291,聖母醫護管理專科學校,宜蘭縣,899,899,107,792,0,0,0,...,...,...,100
106,私立,技專校院,1292,新生醫護管理專科學校,桃園市,1165,1158,117,1041,0,0,0,...,...,...,99.40
106,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,臺北市,23,23,12,11,0,0,0,...,...,...,100
106,私立,宗教研修學院,1R03,臺北基督學院,新北市,238,238,105,133,0,0,0,...,...,...,100
106,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,臺北市,42,42,20,22,0,0,0,...,...,...,100
106,公立,一般大學,3002,臺北市立大學,臺北市,2645,1595,645,950,0,0,0,...,...,...,60.30
107,公立,一般大學,0001,國立政治大學,臺北市,7949,6545,2384,4161,0,0,0,"1,632",794,838,80.04
107,公立,一般大學,0002,國立清華大學,新竹市,8732,8363,4449,3914,0,0,0,"8,405","5,117","3,288",49.87
107,公立,一般大學,0003,國立臺灣大學,臺北市,14607,11914,6592,5322,0,0,0,"1,807","1,165",642,86.83
107,公立,一般大學,0004,國立臺灣師範大學,臺北市,5974,4145,1571,2574,0,0,0,712,330,382,85.34
107,公立,一般大學,0005,國立成功大學,臺南市,10176,6698,4038,2660,0,0,0,"14,957","9,457","5,500",30.93
107,公立,一般大學,0006,國立中興大學,臺中市,4775,3146,1968,1178,0,0,0,"5,497","3,154","2,343",36.40
107,公立,一般大學,0007,國立陽明交通大學,新竹市,7489,7489,5034,2455,0,0,0,"5,185","3,790","1,395",59.09
107,公立,一般大學,0007,國立陽明交通大學,臺南市,92,92,81,11,0,0,0,236,217,19,28.05
107,公立,一般大學,0008,國立中央大學,桃園市,6650,5841,3519,2322,0,0,0,0,0,0,100
107,公立,一般大學,0009,國立中山大學,高雄市,3774,3774,2196,1578,0,0,0,"1,726","1,173",553,68.62
107,公立,一般大學,0012,國立臺灣海洋大學,基隆市,4442,2801,1821,980,0,0,0,"2,022","1,235",787,58.08
107,公立,一般大學,0013,國立中正大學,嘉義縣,4635,3453,1800,1653,0,0,0,"6,944","4,166","2,778",33.21
107,公立,一般大學,0014,國立高雄師範大學,高雄市,3015,3015,1471,1544,0,0,0,402,164,238,88.24
107,公立,一般大學,0015,國立彰化師範大學,彰化縣,3276,2573,1182,1391,0,0,0,"2,480","1,401","1,079",50.92
107,公立,一般大學,0016,國立陽明大學,臺北市,2289,2289,1179,1110,0,0,0,133,70,63,94.51
107,公立,一般大學,0017,國立臺北大學,臺北市,366,366,115,251,0,0,0,0,0,0,100
107,公立,一般大學,0017,國立臺北大學,新北市,1389,1053,426,627,0,0,0,"2,953","1,339","1,614",26.29
107,公立,一般大學,0018,國立嘉義大學,嘉義縣,1299,1196,382,814,0,0,0,783,405,378,60.43
107,公立,一般大學,0018,國立嘉義大學,嘉義市,2529,2352,1302,1050,0,0,0,"2,103","1,083","1,020",52.79
107,公立,一般大學,0019,國立高雄大學,高雄市,1714,1613,842,771,0,0,0,"1,266",655,611,56.03
107,公立,一般大學,0020,國立東華大學,花蓮縣,6928,5798,2668,3130,0,0,0,"2,340","1,216","1,124",71.25
107,公立,一般大學,0021,國立暨南國際大學,南投縣,3883,2782,1329,1453,0,0,0,"1,527",712,815,64.56
107,公立,技專校院,0022,國立臺灣科技大學,臺北市,3270,2043,1375,668,0,0,0,"3,459","2,491",968,37.13
107,公立,技專校院,0023,國立雲林科技大學,雲林縣,2711,2498,1273,1225,0,0,0,"4,791","3,041","1,750",34.27
107,公立,技專校院,0024,國立屏東科技大學,屏東縣,3091,2912,1473,1439,0,0,0,"4,588","2,480","2,108",38.83
107,公立,技專校院,0025,國立臺北科技大學,臺北市,2671,1581,915,666,200,200,0,"1,107",723,384,61.67
107,公立,一般大學,0028,國立臺北藝術大學,臺北市,1772,1417,475,942,0,0,0,186,76,110,88.40
107,公立,一般大學,0029,國立臺灣藝術大學,新北市,1245,836,205,631,0,0,0,265,82,183,75.93
107,公立,一般大學,0030,國立臺東大學,臺東縣,2415,2075,936,1139,0,0,0,"1,787",922,865,53.73
107,公立,一般大學,0031,國立宜蘭大學,宜蘭縣,1439,1439,762,677,0,0,0,"3,062","2,187",875,31.97
107,公立,一般大學,0032,國立聯合大學,苗栗縣,2744,2744,1175,1569,0,0,0,"3,070","2,809",261,47.20
107,公立,技專校院,0033,國立虎尾科技大學,雲林縣,2007,1806,1268,538,0,0,0,"6,592","5,196","1,396",21.51
107,公立,一般大學,0035,國立臺南藝術大學,臺南市,1211,1062,301,761,0,0,0,335,144,191,76.02
107,公立,一般大學,0036,國立臺南大學,臺南市,1996,1483,533,950,0,0,0,916,391,525,61.82
107,公立,一般大學,0037,國立臺北教育大學,臺北市,1430,1364,431,933,0,0,0,174,39,135,88.69
107,公立,一般大學,0039,國立臺中教育大學,臺中市,1907,1823,562,1261,0,0,0,861,349,512,67.92
107,公立,技專校院,0042,國立澎湖科技大學,澎湖縣,685,594,310,284,0,0,0,"2,431","1,439",992,19.64
107,公立,技專校院,0043,國立勤益科技大學,臺中市,1220,866,449,417,59,41,18,"4,735","3,397","1,338",16.34
107,公立,一般大學,0044,國立體育大學,桃園市,1404,1183,721,462,0,0,0,104,53,51,91.92
107,公立,技專校院,0046,國立臺北護理健康大學,臺北市,1647,1338,173,1165,0,0,0,661,71,590,66.93
107,公立,技專校院,0047,國立高雄餐旅大學,高雄市,1307,1307,405,902,0,0,0,"2,200",691,"1,509",37.27
107,公立,一般大學,0048,國立金門大學,金門縣,1172,1031,500,531,80,37,43,"2,086","1,080","1,006",34.75
