年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,學校承接「學術研究」計畫經費-小計,學校承接「學術研究」計畫經費-政府部門資助,學校承接「學術研究」計畫經費-企業部門資助,學校承接「學術研究」計畫經費-其他單位資助,學校承接「學術研究」計畫經費-學校自籌經費,專任教師每師平均-承接政府、企業及其他部門資助學術研究計畫經費,專任教師每師平均-承接學校自籌補助學術研究計畫經費
106,私立,技專校院,1034,弘光科技大學,322,29061500,27049000,0,0,2012500,84003.11,6250
106,私立,一般大學,1035,中國醫藥大學,484,372092352,346698179,0,0,25394173,716318.55,52467.30
106,私立,技專校院,1036,健行學校財團法人健行科技大學,299,15408081,15408081,0,0,0,51532.04,0
106,私立,技專校院,1037,正修學校財團法人正修科技大學,437,24093763,24093763,0,0,0,55134.47,0
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,248,5113000,5113000,0,0,0,20616.94,0
106,私立,一般大學,1039,玄奘大學,143,22419372,22278000,141372,0,0,156778.83,0
106,私立,技專校院,1040,建國科技大學,263,4868930,4868930,0,0,0,18513.04,0
106,私立,技專校院,1041,明志科技大學,196,63998950,61039700,0,0,2959250,311427.04,15098.21
106,私立,技專校院,1042,高苑科技大學,264,42544692,42544692,0,0,0,161154.14,0
106,私立,技專校院,1043,大仁科技大學,250,14968750,14413750,0,0,555000,57655,2220
106,私立,技專校院,1044,聖約翰科技大學,187,17780657,15780657,0,0,2000000,84388.54,10695.19
106,私立,技專校院,1045,嶺東科技大學,264,10993896,10993896,0,0,0,41643.55,0
106,私立,技專校院,1046,中國科技大學,305,6390000,6390000,0,0,0,20950.82,0
106,私立,技專校院,1047,中臺科技大學,275,16736000,16191000,0,0,545000,58876.36,1981.82
106,私立,一般大學,1048,亞洲大學,400,107119000,97751800,0,8167200,1200000,264797.50,3000
106,私立,一般大學,1049,開南大學,258,15431000,15431000,0,0,0,59810.08,0
106,私立,一般大學,1050,佛光大學,176,39191215,27023000,0,12168215,0,222677.36,0
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,333,6770000,6770000,0,0,0,20330.33,0
106,私立,技專校院,1052,遠東科技大學,232,37259375,34465875,0,0,2793500,148559.81,12040.95
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,220,12855000,12240000,0,0,615000,55636.36,2795.45
106,私立,技專校院,1054,景文科技大學,201,8492225,8492225,0,0,0,42249.88,0
106,私立,技專校院,1055,中華醫事科技大學,299,8999000,8999000,0,0,0,30096.99,0
106,私立,技專校院,1056,東南科技大學,210,5601000,5601000,0,0,0,26671.43,0
106,私立,技專校院,1057,德明財經科技大學,236,6785000,6785000,0,0,0,28750,0
106,私立,一般大學,1058,明道學校財團法人明道大學,130,9196800,9196800,0,0,0,70744.62,0
106,私立,技專校院,1060,南開科技大學,195,9802000,9802000,0,0,0,50266.67,0
106,私立,技專校院,1061,中華學校財團法人中華科技大學,231,6968334,6882000,0,0,86334,29792.21,373.74
106,私立,技專校院,1062,僑光科技大學,227,3052699,3052699,0,0,0,13448.01,0
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,129,2860485,2860485,0,0,0,22174.30,0
106,私立,技專校院,1064,美和學校財團法人美和科技大學,231,7804700,7305500,480000,0,19200,33703.46,83.12
106,私立,技專校院,1065,吳鳳科技大學,163,2857000,2857000,0,0,0,17527.61,0
106,私立,技專校院,1066,環球學校財團法人環球科技大學,181,2006000,2006000,0,0,0,11082.87,0
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,105,1258000,1258000,0,0,0,11980.95,0
106,私立,技專校院,1068,中州學校財團法人中州科技大學,123,4776000,4776000,0,0,0,38829.27,0
106,私立,技專校院,1069,修平學校財團法人修平科技大學,203,9675808,9555508,0,0,120300,47071.47,592.61
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,348,53296624,53296624,0,0,0,153151.22,0
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,248,1001000,1001000,0,0,0,4036.29,0
106,私立,技專校院,1072,大華學校財團法人敏實科技大學,110,3114000,3114000,0,0,0,28309.09,0
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,243,2015122,2015122,0,0,0,8292.68,0
106,私立,技專校院,1074,南榮學校財團法人南榮科技大學,103,1181000,1181000,0,0,0,11466.02,0
106,私立,技專校院,1075,文藻學校財團法人文藻外語大學,270,14885000,14885000,0,0,0,55129.63,0
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,161,5848000,5848000,0,0,0,36322.98,0
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,155,6906000,6906000,0,0,0,44554.84,0
106,私立,技專校院,1078,致理學校財團法人致理科技大學,275,5223702,5223702,0,0,0,18995.28,0
106,私立,一般大學,1079,康寧學校財團法人康寧大學,162,4084000,4046000,0,0,38000,24975.31,234.57
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,201,1723000,1723000,0,0,0,8572.14,0
106,私立,技專校院,1081,東方學校財團法人東方設計大學,156,3814000,3814000,0,0,0,24448.72,0
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,99,1034000,1034000,0,0,0,10444.44,0
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,162,1977000,1977000,0,0,0,12203.70,0
106,私立,一般大學,1125,中信學校財團法人中信金融管理學院,38,1276000,1276000,0,0,0,33578.95,0
106,私立,技專校院,1159,和春技術學院,108,110430,110430,0,0,0,1022.50,0
106,私立,技專校院,1166,亞東技術學院,162,8818174,8797054,0,0,21120,54302.80,130.37
106,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,142,1354000,1354000,0,0,0,9535.21,0
106,私立,一般大學,1176,稻江科技暨管理學院,60,1066000,1066000,0,0,0,17766.67,0
106,私立,技專校院,1183,黎明技術學院,154,3642999,3642999,0,0,0,23655.84,0
106,私立,技專校院,1192,臺灣觀光學院,44,668470,668470,0,0,0,15192.50,0
106,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,103,40834250,39251750,0,0,1582500,381084.95,15364.08
106,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,20,5802000,5802000,0,0,0,290100,0
106,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,141,2036000,2036000,0,0,0,14439.72,0
106,私立,技專校院,1286,耕莘健康管理專科學校,181,2437000,2437000,0,0,0,13464.09,0
106,私立,技專校院,1291,聖母醫護管理專科學校,111,3813648,3813648,0,0,0,34357.19,0
106,私立,技專校院,1292,新生醫護管理專科學校,213,1279000,1279000,0,0,0,6004.69,0
106,公立,一般大學,3002,臺北市立大學,331,47058419,47058419,0,0,0,142170.45,0
107,公立,一般大學,0001,國立政治大學,714,437869784,406176060,13522105,17391619,780000,612170.57,1092.44
107,公立,一般大學,0002,國立清華大學,823,1853252206,1842853984,0,0,10398222,2239190.75,12634.53
107,公立,一般大學,0003,國立臺灣大學,2043,4221517239,4221517239,0,0,0,2066332.47,0
107,公立,一般大學,0004,國立臺灣師範大學,839,662306588,654814880,0,0,7491708,780470.66,8929.33
107,公立,一般大學,0005,國立成功大學,1325,2163207200,2163207200,0,0,0,1632609.21,0
107,公立,一般大學,0006,國立中興大學,775,1113875499,1110613481,0,3262018,0,1437258.71,0
107,公立,一般大學,0007,國立陽明交通大學,735,1616162174,1616162174,0,0,0,2198860.10,0
107,公立,一般大學,0008,國立中央大學,645,1025005290,1019022290,0,0,5983000,1579879.52,9275.97
107,公立,一般大學,0009,國立中山大學,522,716068877,716068877,0,0,0,1371779.46,0
107,公立,一般大學,0012,國立臺灣海洋大學,416,441834775,441834775,0,0,0,1062102.82,0
107,公立,一般大學,0013,國立中正大學,548,680509723,572144349,51762018,56603356,0,1241806.06,0
107,公立,一般大學,0014,國立高雄師範大學,289,214251606,212702238,0,1549368,0,741355.04,0
107,公立,一般大學,0015,國立彰化師範大學,369,125730131,120200919,0,0,5529212,325747.75,14984.31
107,公立,一般大學,0016,國立陽明大學,408,773407262,693667279,0,79739983,0,1895606.03,0
107,公立,一般大學,0017,國立臺北大學,380,240112814,229343814,0,0,10769000,603536.35,28339.47
107,公立,一般大學,0018,國立嘉義大學,517,339125063,333451347,312000,0,5361716,645577.07,10370.82
107,公立,一般大學,0019,國立高雄大學,237,89554816,88617316,217500,720000,0,377868.42,0
107,公立,一般大學,0020,國立東華大學,477,245079727,245079727,0,0,0,513793.98,0
107,公立,一般大學,0021,國立暨南國際大學,269,117906608,117756608,0,0,150000,437756.91,557.62
107,公立,技專校院,0022,國立臺灣科技大學,499,497164554,497164554,0,0,0,996321.75,0
107,公立,技專校院,0023,國立雲林科技大學,411,140922212,140922212,0,0,0,342876.43,0
107,公立,技專校院,0024,國立屏東科技大學,411,414607806,380031605,19720000,6712201,8144000,988963.03,19815.09
107,公立,技專校院,0025,國立臺北科技大學,469,304882112,304882112,0,0,0,650068.47,0
107,公立,一般大學,0028,國立臺北藝術大學,163,19654200,19254200,400000,0,0,120577.91,0
107,公立,一般大學,0029,國立臺灣藝術大學,167,5357000,5357000,0,0,0,32077.84,0
107,公立,一般大學,0030,國立臺東大學,194,72432532,72432532,0,0,0,373363.57,0
107,公立,一般大學,0031,國立宜蘭大學,232,150021435,143541435,5000000,910000,570000,644187.22,2456.90
107,公立,一般大學,0032,國立聯合大學,284,93445713,85625109,4359724,3014000,446880,327460.68,1573.52
107,公立,技專校院,0033,國立虎尾科技大學,335,105121196,105044896,76300,0,0,313794.61,0
107,公立,一般大學,0035,國立臺南藝術大學,108,14737500,14737500,0,0,0,136458.33,0
107,公立,一般大學,0036,國立臺南大學,235,68129750,67480000,0,0,649750,287148.94,2764.89
107,公立,一般大學,0037,國立臺北教育大學,235,55059595,55059595,0,0,0,234296.15,0
107,公立,一般大學,0039,國立臺中教育大學,203,199903864,199634364,0,0,269500,983420.51,1327.59
107,公立,技專校院,0042,國立澎湖科技大學,120,20866141,20866141,0,0,0,173884.51,0
107,公立,技專校院,0043,國立勤益科技大學,288,88433709,74925000,5145366,0,8363343,278022.10,29039.39
107,公立,一般大學,0044,國立體育大學,99,20010992,19101000,0,0,909992,192939.39,9191.84
107,公立,技專校院,0046,國立臺北護理健康大學,188,32472543,32472543,0,0,0,172726.29,0
107,公立,技專校院,0047,國立高雄餐旅大學,161,12009000,12009000,0,0,0,74590.06,0
107,公立,一般大學,0048,國立金門大學,145,17229000,17169000,0,0,60000,118406.90,413.79
107,公立,一般大學,0049,國立臺灣體育運動大學,114,24314000,23616000,0,0,698000,207157.89,6122.81
107,公立,技專校院,0050,國立臺中科技大學,419,39147060,39050000,0,0,97060,93198.09,231.65
107,公立,技專校院,0051,國立臺北商業大學,213,18371500,18371500,0,0,0,86251.17,0
107,公立,一般大學,0052,國立屏東大學,342,50648156,46500476,0,0,4147680,135966.30,12127.72
107,公立,技專校院,0053,國立高雄科技大學,871,239032328,239032328,0,0,0,274434.36,0
107,公立,技專校院,0144,國立臺灣戲曲學院,35,299000,299000,0,0,0,8542.86,0
107,公立,技專校院,0221,國立臺南護理專科學校,88,1832000,1832000,0,0,0,20818.18,0
107,公立,技專校院,0222,國立臺東專科學校,66,6047290,6047290,0,0,0,91625.61,0
107,私立,一般大學,1001,東海大學,544,232866226,198689341,0,970000,33206885,367020.85,61042.07
107,私立,一般大學,1002,輔仁大學,734,160390429,160390429,0,0,0,218515.57,0
107,私立,一般大學,1003,東吳大學,443,104315276,99116019,0,0,5199257,223738.19,11736.47
107,私立,一般大學,1004,中原大學,497,374734007,373354007,0,0,1380000,751215.31,2776.66
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,738,206160123,195013345,0,0,11146778,264245.72,15104.04
107,私立,一般大學,1006,中國文化大學,727,79176325,79176325,0,0,0,108908.29,0
107,私立,一般大學,1007,逢甲大學,653,278113925,272674925,225000,1445000,3769000,420130.05,5771.82
107,私立,一般大學,1008,靜宜大學,374,69277870,68082120,0,0,1195750,182037.75,3197.19
107,私立,一般大學,1009,長庚大學,586,804819835,406535151,0,260511684,137773000,1138305.18,235107.51
107,私立,一般大學,1010,元智大學,312,173250169,173250169,0,0,0,555289,0
107,私立,一般大學,1011,中華大學學校財團法人中華大學,234,32577575,32427575,0,150000,0,139220.41,0
107,私立,一般大學,1012,大葉大學,315,43091872,34007741,0,5439131,3645000,125228.17,11571.43
107,私立,一般大學,1013,華梵大學,95,9797750,9141000,0,0,656750,96221.05,6913.16
107,私立,一般大學,1014,義守大學,502,101222577,99656717,0,0,1565860,198519.36,3119.24
107,私立,一般大學,1015,世新大學,336,37277710,37277710,0,0,0,110945.57,0
107,私立,一般大學,1016,銘傳大學,576,71069038,70849038,220000,0,0,123383.75,0
107,私立,一般大學,1017,實踐大學,372,22153548,18044153,0,0,4109395,48505.79,11046.76
107,私立,技專校院,1018,朝陽科技大學,402,45825000,44040000,420000,0,1365000,110597.01,3395.52
107,私立,一般大學,1019,高雄醫學大學,558,434974062,383177292,0,27909270,23887500,736714.27,42809.14
107,私立,一般大學,1020,南華大學,203,11302850,10652850,0,0,650000,52477.09,3201.97
107,私立,一般大學,1021,真理大學,267,11368000,11368000,0,0,0,42576.78,0
107,私立,一般大學,1022,大同大學,158,47455286,45468386,802500,0,1184400,292853.71,7496.20
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,572,81962999,80887999,0,0,1075000,141412.59,1879.37
107,私立,技專校院,1024,崑山科技大學,343,36075900,35275900,0,0,800000,102845.19,2332.36
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,465,40020000,40020000,0,0,0,86064.52,0
107,私立,技專校院,1026,樹德科技大學,281,10456500,10456500,0,0,0,37211.74,0
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,240,78444138,54270000,0,19983975,4190163,309391.56,17459.01
107,私立,一般大學,1028,臺北醫學大學,616,647721478,551237037,0,29548000,66936441,942832.85,108663.05
107,私立,一般大學,1029,中山醫學大學,412,185165373,171395283,1200000,9500000,3070090,441978.84,7451.67
107,私立,技專校院,1030,龍華科技大學,251,13534000,13534000,0,0,0,53920.32,0
107,私立,技專校院,1031,輔英科技大學,331,15245000,15245000,0,0,0,46057.40,0
107,私立,技專校院,1032,明新學校財團法人明新科技大學,369,13594000,13594000,0,0,0,36840.11,0
107,私立,一般大學,1033,長榮大學,334,22863417,19393700,880764,1879829,709124,66330.22,2123.13
107,私立,技專校院,1034,弘光科技大學,354,42848456,41820956,0,0,1027500,118138.29,2902.54
107,私立,一般大學,1035,中國醫藥大學,495,352662980,330711991,0,0,21950989,668105.03,44345.43
107,私立,技專校院,1036,健行學校財團法人健行科技大學,293,10047197,10047197,0,0,0,34290.77,0
107,私立,技專校院,1037,正修學校財團法人正修科技大學,431,29358160,29358160,0,0,0,68116.38,0
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,234,4416000,4416000,0,0,0,18871.79,0
107,私立,一般大學,1039,玄奘大學,111,5843372,5702000,141372,0,0,52642.99,0
107,私立,技專校院,1040,建國科技大學,250,6578000,6578000,0,0,0,26312,0
107,私立,技專校院,1041,明志科技大學,193,102228451,100101701,0,0,2126750,518661.66,11019.43
107,私立,技專校院,1042,高苑科技大學,242,14350000,14350000,0,0,0,59297.52,0
107,私立,技專校院,1043,大仁科技大學,219,11870000,11870000,0,0,0,54200.91,0
107,私立,技專校院,1044,聖約翰科技大學,175,10476000,9726000,0,0,750000,55577.14,4285.71
107,私立,技專校院,1045,嶺東科技大學,264,10424000,10424000,0,0,0,39484.85,0
107,私立,技專校院,1046,中國科技大學,290,6236975,6236975,0,0,0,21506.81,0
107,私立,技專校院,1047,中臺科技大學,266,14605080,14398830,206250,0,0,54906.32,0
107,私立,一般大學,1048,亞洲大學,388,86515352,78011517,0,5978835,2525000,216469.98,6507.73
107,私立,一般大學,1049,開南大學,226,12239110,12239110,0,0,0,54155.35,0
107,私立,一般大學,1050,佛光大學,173,27661000,15661000,0,12000000,0,159890.17,0
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,331,7696089,7696089,0,0,0,23251.02,0
107,私立,技專校院,1052,遠東科技大學,211,23946900,23125000,0,0,821900,109597.16,3895.26
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,201,8480334,8394620,0,85714,0,42190.72,0
107,私立,技專校院,1054,景文科技大學,191,7281832,7053000,228832,0,0,38124.77,0
107,私立,技專校院,1055,中華醫事科技大學,288,12235500,11923000,312500,0,0,42484.38,0
107,私立,技專校院,1056,東南科技大學,192,5062459,5062459,0,0,0,26366.97,0
107,私立,技專校院,1057,德明財經科技大學,227,5115080,5115080,0,0,0,22533.39,0
107,私立,一般大學,1058,明道學校財團法人明道大學,127,6087200,6087200,0,0,0,47930.71,0
107,私立,技專校院,1060,南開科技大學,181,6703000,6166000,537000,0,0,37033.15,0
107,私立,技專校院,1061,中華學校財團法人中華科技大學,211,6783000,6783000,0,0,0,32146.92,0
107,私立,技專校院,1062,僑光科技大學,228,4575000,4575000,0,0,0,20065.79,0
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,113,2592000,2592000,0,0,0,22938.05,0
107,私立,技專校院,1064,美和學校財團法人美和科技大學,229,3994000,3994000,0,0,0,17441.05,0
107,私立,技專校院,1065,吳鳳科技大學,154,1199000,1199000,0,0,0,7785.71,0
107,私立,技專校院,1066,環球學校財團法人環球科技大學,167,1989000,1989000,0,0,0,11910.18,0
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,90,743000,743000,0,0,0,8255.56,0
107,私立,技專校院,1068,中州學校財團法人中州科技大學,112,3980000,3980000,0,0,0,35535.71,0
107,私立,技專校院,1069,修平學校財團法人修平科技大學,188,5530000,5530000,0,0,0,29414.89,0
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,338,38759403,38759403,0,0,0,114672.79,0
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,245,478000,478000,0,0,0,1951.02,0
107,私立,技專校院,1072,大華學校財團法人敏實科技大學,79,454250,454250,0,0,0,5750,0
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,223,2508000,2508000,0,0,0,11246.64,0
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,266,10007000,10007000,0,0,0,37620.30,0
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,149,2959000,2959000,0,0,0,19859.06,0
107,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,159,7144000,7144000,0,0,0,44930.82,0
107,私立,技專校院,1078,致理學校財團法人致理科技大學,277,7113000,7113000,0,0,0,25678.70,0
107,私立,一般大學,1079,康寧學校財團法人康寧大學,122,3874000,3874000,0,0,0,31754.10,0
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,190,2598000,2598000,0,0,0,13673.68,0
107,私立,技專校院,1081,東方學校財團法人東方設計大學,123,3220000,3220000,0,0,0,26178.86,0
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,98,754000,754000,0,0,0,7693.88,0
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,144,2313000,2313000,0,0,0,16062.50,0
107,私立,一般大學,1125,中信學校財團法人中信金融管理學院,48,436000,436000,0,0,0,9083.33,0
107,私立,技專校院,1159,和春技術學院,82,803885,803885,0,0,0,9803.48,0
107,私立,技專校院,1166,亞東技術學院,157,5510000,5510000,0,0,0,35095.54,0
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,114,1606000,1606000,0,0,0,14087.72,0
107,私立,一般大學,1176,稻江科技暨管理學院,57,607000,602000,0,0,5000,10561.40,87.72
107,私立,技專校院,1183,黎明技術學院,159,4204408,3890628,313780,0,0,26442.82,0
107,私立,技專校院,1185,經國管理暨健康學院,141,800000,800000,0,0,0,5673.76,0
107,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,125,48605388,45480388,0,0,3125000,363843.10,25000
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,23,1731500,1731500,0,0,0,75282.61,0
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,139,2260000,2260000,0,0,0,16258.99,0
107,私立,技專校院,1283,仁德醫護管理專科學校,204,420000,420000,0,0,0,2058.82,0
107,私立,技專校院,1284,樹人醫護管理專科學校,224,2156000,2156000,0,0,0,9625,0
107,私立,技專校院,1286,耕莘健康管理專科學校,172,1217000,1217000,0,0,0,7075.58,0
107,私立,技專校院,1291,聖母醫護管理專科學校,94,2035952,2035952,0,0,0,21659.06,0
107,私立,技專校院,1292,新生醫護管理專科學校,209,761000,761000,0,0,0,3641.15,0
107,私立,宗教研修學院,1R03,臺北基督學院,11,310000,310000,0,0,0,28181.82,0
107,公立,一般大學,3002,臺北市立大學,334,47900833,47900833,0,0,0,143415.67,0
108,公立,一般大學,0001,國立政治大學,743,502194245,461088320,30134570,10143855,827500,674787.01,1113.73
108,公立,一般大學,0002,國立清華大學,830,1892607151,1883168281,0,0,9438870,2268877.45,11372.13
108,公立,一般大學,0003,國立臺灣大學,2021,4012015427,4012015427,0,0,0,1985163.50,0
108,公立,一般大學,0004,國立臺灣師範大學,813,736923507,733912932,0,0,3010575,902721.93,3703.04
108,公立,一般大學,0005,國立成功大學,1340,2253033200,2253033200,0,0,0,1681368.06,0
108,公立,一般大學,0006,國立中興大學,781,1118497588,1116415034,0,0,2082554,1429468.67,2666.52
108,公立,一般大學,0007,國立陽明交通大學,746,1685742449,1685742449,0,0,0,2259708.38,0
108,公立,一般大學,0008,國立中央大學,662,1114159985,1108889985,0,0,5270000,1675060.40,7960.73
108,公立,一般大學,0009,國立中山大學,537,713042175,711842115,160000,0,1040060,1325888.48,1936.80
108,公立,一般大學,0012,國立臺灣海洋大學,430,439369762,439369762,0,0,0,1021790.14,0
108,公立,一般大學,0013,國立中正大學,532,615934190,547446304,39895128,28592758,0,1157771.03,0
108,公立,一般大學,0014,國立高雄師範大學,290,208468996,205506566,0,2962430,0,718858.61,0
108,公立,一般大學,0015,國立彰化師範大學,363,142115650,137371250,0,0,4744400,378433.20,13069.97
108,公立,一般大學,0016,國立陽明大學,406,816694421,745044049,0,71650372,0,2011562.61,0
108,公立,一般大學,0017,國立臺北大學,381,184720471,174180430,0,0,10540041,457166.48,27664.15
108,公立,一般大學,0018,國立嘉義大學,520,382390810,332494533,49546277,350000,0,735366.94,0
108,公立,一般大學,0019,國立高雄大學,238,100089821,99843477,0,246344,0,420545.47,0
108,公立,一般大學,0020,國立東華大學,460,238460828,238410828,0,50000,0,518393.10,0
108,公立,一般大學,0021,國立暨南國際大學,275,135506200,135466200,0,40000,0,492749.82,0
108,公立,技專校院,0022,國立臺灣科技大學,532,569870324,567149828,2720496,0,0,1071184.82,0
108,公立,技專校院,0023,國立雲林科技大學,420,167007793,167007793,0,0,0,397637.60,0
108,公立,技專校院,0024,國立屏東科技大學,404,384534881,358206562,4355661,13396606,8576052,930591.16,21227.85
108,公立,技專校院,0025,國立臺北科技大學,471,330849000,330849000,0,0,0,702439.49,0
108,公立,一般大學,0028,國立臺北藝術大學,162,18957670,18787670,0,0,170000,115973.27,1049.38
108,公立,一般大學,0029,國立臺灣藝術大學,156,4311000,4009000,0,0,302000,25698.72,1935.90
108,公立,一般大學,0030,國立臺東大學,197,55344787,55118927,0,0,225860,279791.51,1146.50
108,公立,一般大學,0031,國立宜蘭大學,231,132965045,126519945,4815000,860000,770100,572272.49,3333.77
108,公立,一般大學,0032,國立聯合大學,285,120851782,99275522,17559500,1820000,2196760,416333.41,7707.93
108,公立,技專校院,0033,國立虎尾科技大學,342,86689918,86689918,0,0,0,253479.29,0
108,公立,一般大學,0035,國立臺南藝術大學,109,9912500,9912500,0,0,0,90940.37,0
108,公立,一般大學,0036,國立臺南大學,232,63410505,63010505,0,0,400000,271597,1724.14
108,公立,一般大學,0037,國立臺北教育大學,237,56395236,56395236,0,0,0,237954.58,0
108,公立,一般大學,0039,國立臺中教育大學,202,155531041,155282641,0,0,248400,768725.95,1229.70
108,公立,技專校院,0042,國立澎湖科技大學,121,15637000,15637000,0,0,0,129231.40,0
