,學年度,學校代碼,學校名稱,項目,累積餘絀比率(%),資產效益率(%),學雜費收入變動率(%),現金流量比率(%),速動比率(%),負債變動率(%),舉債指數
,101,1001,東海大學,燈號,●,●,●,●,●,●,
,,,,比值,87,3.24,-0.76,99.54,373.52,12.83,0
,101,1002,輔仁大學,燈號,●,●,●,●,●,●,
,,,,比值,93.44,1.28,0.09,100.69,1076.7,25.35,0
,101,1003,東吳大學,燈號,●,●,●,●,●,●,
,,,,比值,88.43,0.25,-0.81,83.46,420.89,-5.03,0
,101,1004,中原大學,燈號,●,●,●,●,●,●,
,,,,比值,94.29,-0.02,0.59,85.45,430.51,-5.48,0
,101,1005,淡江大學,燈號,●,●,●,●,●,●,
,,,,比值,63.35,1.24,-0.8,42.4,126.01,4.5,0
,101,1006,中國文化大學,燈號,●,●,●,●,●,●,
,,,,比值,82.43,0.56,-0.26,199.4,1230.6,-4.01,0
,101,1007,逢甲大學,燈號,●,●,●,●,●,●,
,,,,比值,79.77,1.32,0.68,60.86,464.43,-12.05,0
,101,1008,靜宜大學,燈號,●,●,●,●,●,●,
,,,,比值,95.34,0.8,0.67,142.21,1469.43,-10.79,0
,101,1009,長庚大學,燈號,●,●,●,●,●,●,
,,,,比值,41.31,-0.41,0.26,252.89,832.96,-8.94,0
,101,1010,元智大學,燈號,●,●,●,●,●,●,
,,,,比值,83.47,1.99,0.24,142.46,241.45,-13.01,0
,101,1011,中華大學,燈號,●,●,●,●,●,●,
,,,,比值,85.75,0.68,0.03,68.69,287.14,0.38,0
,101,1012,大葉大學,燈號,●,●,●,●,●,●,
,,,,比值,91.87,0.78,3.47,84.33,372.38,18.89,0
,101,1013,華梵大學,燈號,●,●,●,●,●,●,
,,,,比值,75.72,-1.05,-3.12,10.51,799.17,-9.09,0
,101,1014,義守大學,燈號,●,●,●,●,●,●,
,,,,比值,72.5,1.66,1.72,41.29,56.42,-1.56,4.74
,101,1015,世新大學,燈號,●,●,●,●,●,●,
,,,,比值,82.65,-0.13,0.33,80.24,157.19,16.28,0
,101,1016,銘傳大學,燈號,●,●,●,●,●,●,
,,,,比值,89.76,2.92,0.82,166.93,308.29,-20.96,0
,101,1017,實踐大學,燈號,●,●,●,●,●,●,
,,,,比值,88.72,1.57,0.34,77.69,163.97,0.57,0
,101,1018,朝陽科技大學,燈號,●,●,●,●,●,●,
,,,,比值,83.97,5.24,1.94,112.28,301.13,-27.42,0
,101,1019,高雄醫學大學,燈號,●,●,●,●,●,●,
,,,,比值,90.75,3.51,-1.31,-0.25,85.39,-14.42,0
,101,1020,南華大學,燈號,●,●,●,●,●,●,
,,,,比值,91.53,-2.68,-3.36,49,156.89,28.09,0
,101,1021,真理大學,燈號,●,●,●,●,●,●,
,,,,比值,69.37,0.08,-1.98,62.19,15.59,-9.75,5.94
,101,1022,大同大學,燈號,●,●,●,●,●,●,
,,,,比值,90.17,0.27,0.3,44.73,33.37,-18.85,0
,101,1023,南臺科技大學,燈號,●,●,●,●,●,●,
,,,,比值,87.16,5.35,-1.54,146.7,416.91,2.72,0
,101,1024,崑山科技大學,燈號,●,●,●,●,●,●,
,,,,比值,64.11,0.91,-2.55,86.1,126.12,-4.83,0
,101,1025,嘉南藥理大學,燈號,●,●,●,●,●,●,
,,,,比值,90.87,4.15,0.99,457.24,625.39,-14.86,0
,101,1026,樹德科技大學,燈號,●,●,●,●,●,●,
,,,,比值,87.43,2.68,0.26,124.38,568.89,0.77,0
,101,1027,慈濟大學,燈號,●,●,●,●,●,●,
,,,,比值,93.5,1.02,0.74,200.1,1449.06,-5.3,0
,101,1028,臺北醫學大學,燈號,●,●,●,●,●,●,
,,,,比值,39.27,3.33,-0.39,-18.05,74.43,9.51,-11.08
,101,1029,中山醫學大學,燈號,●,●,●,●,●,●,
,,,,比值,41.46,3.71,-0.59,25.26,26.13,-6.88,47.02
,101,1030,龍華科技大學,燈號,●,●,●,●,●,●,
,,,,比值,92.57,2.87,3.07,174.14,1347.04,3.2,0
,101,1031,輔英科技大學,燈號,●,●,●,●,●,●,
,,,,比值,93.61,0.28,-1.9,87.2,445.75,7.56,0
,101,1032,明新科技大學,燈號,●,●,●,●,●,●,
,,,,比值,77.98,3.38,0.4,111.42,162.1,-21.67,0.24
,101,1033,長榮大學,燈號,●,●,●,●,●,●,
,,,,比值,84.84,2.12,1.85,189.38,372.24,-2.12,0
,101,1034,弘光科技大學,燈號,●,●,●,●,●,●,
,,,,比值,79.06,9,-0.49,139,215.51,-21.14,0
,101,1035,中國醫藥大學,燈號,●,●,●,●,●,●,
,,,,比值,87.74,4.68,-1.5,-5.79,78.29,-12.74,0
,101,1036,健行科技大學,燈號,●,●,●,●,●,●,
,,,,比值,90.16,5.39,0,198.75,927.9,-13.36,0
,101,1037,正修科技大學,燈號,●,●,●,●,●,●,
,,,,比值,81.08,5.97,3.23,147.14,202.7,-4.66,0
,101,1038,萬能科技大學,燈號,●,●,●,●,●,●,
,,,,比值,92.93,2.6,1.54,169,501.37,-5.86,0
,101,1039,玄奘大學,燈號,●,●,●,●,●,●,
,,,,比值,90.24,2.41,-0.73,129.2,644.89,1.74,0
,101,1040,建國科技大學,燈號,●,●,●,●,●,●,
,,,,比值,82.79,3.97,3.97,108.6,135.61,-11.83,0
,101,1041,明志科技大學,燈號,●,●,●,●,●,●,
,,,,比值,48.16,2.19,5.2,319.31,1527.09,1.77,0
,101,1042,高苑科技大學,燈號,●,●,●,●,●,●,
,,,,比值,91.6,-0.33,-5.61,55.04,238.17,-8.22,0
,101,1043,大仁科技大學,燈號,●,●,●,●,●,●,
,,,,比值,88.35,3.67,-4.05,116.01,225.49,-23.79,0
,101,1044,聖約翰科技大學,燈號,●,●,●,●,●,●,
,,,,比值,93.76,0.78,-4.61,162.65,1049.34,8.69,0
,101,1045,嶺東科技大學,燈號,●,●,●,●,●,●,
,,,,比值,86.94,5.41,6.41,320.81,1524.47,-12.9,0
,101,1046,中國科技大學,燈號,●,●,●,●,●,●,
,,,,比值,89.41,4.2,3.95,202.13,336.77,-39.09,0
,101,1047,中臺科技大學,燈號,●,●,●,●,●,●,
,,,,比值,87.82,3.25,0.6,138.02,330.98,-4.59,0
,101,1048,亞洲大學,燈號,●,●,●,●,●,●,
,,,,比值,85.21,5.94,0.29,124.19,229.84,-3.36,0
,101,1049,開南大學,燈號,●,●,●,●,●,●,
,,,,比值,65.93,3.18,2.45,21.21,22.62,-10.36,10.05
,101,1050,佛光大學,燈號,●,●,●,●,●,●,
,,,,比值,89.12,3.39,-1.79,203.2,110.97,-0.9,0
,101,1051,台南應用科技大學,燈號,●,●,●,●,●,●,
,,,,比值,89.61,5.86,0.09,196,678.42,-17.14,0
,101,1052,遠東科技大學,燈號,●,●,●,●,●,●,
,,,,比值,83.72,1.88,3.98,111.81,76.34,-31.9,0
,101,1053,元培醫事科技大學,燈號,●,●,●,●,●,●,
,,,,比值,90.91,4.67,-2.35,201.25,826.73,-11.36,0
,101,1054,景文科技大學,燈號,●,●,●,●,●,●,
,,,,比值,91.11,-0.72,0.34,48.45,371.57,-4.75,0
,101,1055,中華醫事科技大學,燈號,●,●,●,●,●,●,
,,,,比值,82.2,1.66,-1.85,67.71,61.78,-18.74,1.71
,101,1056,東南科技大學,燈號,●,●,●,●,●,●,
,,,,比值,88.43,-1.61,0.32,55.83,439.68,8.05,0
,101,1057,德明財經科技大學,燈號,●,●,●,●,●,●,
,,,,比值,91.95,5.21,8.76,229.61,1374.25,23.43,0
,101,1058,明道大學,燈號,●,●,●,●,●,●,
,,,,比值,66.69,0.78,0.33,45.55,32.05,-3.72,4.12
,101,1059,康寧大學,燈號,●,●,●,●,●,●,
,,,,比值,83.53,0.81,-7.41,47.33,14.97,-22.59,1.08
,101,1060,南開科技大學,燈號,●,●,●,●,●,●,
,,,,比值,85.54,3.58,0.53,110,415.78,-19.4,0
,101,1061,中華科技大學,燈號,●,●,●,●,●,●,
,,,,比值,76.67,3.11,3.59,55.37,31.79,-7.15,2.1
,101,1062,僑光科技大學,燈號,●,●,●,●,●,●,
,,,,比值,92.53,4.05,3.85,223.43,624.31,3.54,0
,101,1063,育達科技大學,燈號,●,●,●,●,●,●,
,,,,比值,93.5,-0.23,-5.69,70.36,610.97,-22.59,0
,101,1064,美和科技大學,燈號,●,●,●,●,●,●,
,,,,比值,72.05,2.18,1.85,88.42,132.78,-5.42,0
,101,1065,吳鳳科技大學,燈號,●,●,●,●,●,●,
,,,,比值,87.95,1.17,0.55,92.78,163.9,-16.22,0.63
,101,1066,環球科技大學,燈號,●,●,●,●,●,●,
,,,,比值,76.53,0.18,1.2,54.54,72.54,-7.53,2.04
,101,1067,台灣首府大學,燈號,●,●,●,●,●,●,
,,,,比值,91.01,2.72,11.02,64.88,134.13,-40.36,0
,101,1068,中州科技大學,燈號,●,●,●,●,●,●,
,,,,比值,75.05,4.89,-2.27,117.07,134.37,-17.67,0.08
,101,1069,修平科技大學,燈號,●,●,●,●,●,●,
,,,,比值,81.13,4.59,2.74,118.29,126.84,-6.02,0.03
,101,1070,長庚科技大學,燈號,●,●,●,●,●,●,
,,,,比值,45.51,1.51,-1.6,338.81,649.43,-22.36,0
,101,1071,臺北城市科技大學,燈號,●,●,●,●,●,●,
,,,,比值,58.39,3.97,4.65,283.14,929.76,-0.69,0
,101,1072,大華科技大學,燈號,●,●,●,●,●,●,
,,,,比值,97.32,-2.13,-4.3,52.8,454.64,-4.04,0
,101,1073,醒吾科技大學,燈號,●,●,●,●,●,●,
,,,,比值,83.82,4.59,3.26,139.22,222.41,-11.86,0
,101,1074,南榮科技大學,燈號,●,●,●,●,●,●,
,,,,比值,98.78,-6.12,-13.45,-43.87,355.96,-12.71,0
,101,1075,文藻外語大學,燈號,●,●,●,●,●,●,
,,,,比值,89.12,4.74,-2.66,169.4,535.73,-12.62,0
,101,1076,華夏科技大學,燈號,●,●,●,●,●,●,
,,,,比值,88.7,2.3,-1.86,67.77,201.5,-34.1,0
,101,1077,慈濟科技大學,燈號,●,●,●,●,●,●,
,,,,比值,91.09,0.35,-0.98,133.6,281.29,-4.68,0
,101,1078,致理科技大學,燈號,●,●,●,●,●,●,
,,,,比值,89.82,4.94,4.08,176.02,679.63,-31.97,0
,101,1125,中信金融管理學院,燈號,●,●,●,●,●,●,
,,,,比值,94.69,-5.84,39.44,-219.38,605.39,-7.5,0
,101,1148,大漢技術學院,燈號,●,●,●,●,●,●,
,,,,比值,96.17,1.78,-13.14,328.73,1200.15,-54.44,0
,101,1159,和春技術學院,燈號,●,●,●,●,●,●,
,,,,比值,95.97,-1.19,-6.53,102.4,205.38,-13.59,0
,101,1166,亞東技術學院,燈號,●,●,●,●,●,●,
,,,,比值,40.16,2.86,3.96,568.69,2916.69,15.99,0
,101,1168,桃園創新技術學院,燈號,●,●,●,●,●,●,
,,,,比值,83.25,0.77,-2.93,92.51,56.61,-21.95,2.74
,101,1176,稻江科技暨管理學院,燈號,●,●,●,●,●,●,
,,,,比值,94.03,-6.59,20.47,-85.1,521.71,36.53,0
,101,1179,德霖技術學院,燈號,●,●,●,●,●,●,
,,,,比值,92.5,4.4,-0.91,263.1,1724.29,-18.61,0
,101,1182,蘭陽技術學院,燈號,●,●,●,●,●,●,
,,,,比值,99.99,-4.63,-11.74,60.27,97.75,-10.17,0
,101,1183,黎明技術學院,燈號,●,●,●,●,●,●,
,,,,比值,85.65,-2.45,-3.42,59.86,60.88,-10.83,3.93
,101,1184,東方設計學院,燈號,●,●,●,●,●,●,
,,,,比值,92.87,1.19,3.07,112.29,369.06,-13.72,0
,101,1185,經國管理暨健康學院,燈號,●,●,●,●,●,●,
,,,,比值,94.28,1.14,-2.4,121.68,924.56,3.93,0
,101,1187,崇右技術學院,燈號,●,●,●,●,●,●,
,,,,比值,80.8,4.01,-4.77,115.78,257.19,-11.09,0
,101,1188,大同技術學院,燈號,●,●,●,●,●,●,
,,,,比值,91.75,2.14,-7.18,137.58,295.19,-49.23,0
,101,1189,亞太創意技術學院,燈號,●,●,●,●,●,●,
,,,,比值,81.18,0.11,-11.44,25.83,17.18,-17.29,3.35
,101,1192,臺灣觀光學院,燈號,●,●,●,●,●,●,
,,,,比值,81.02,-0.88,-11.52,122.06,223.15,-18.68,0
,101,1195,馬偕醫學院,燈號,●,●,●,●,●,●,
,,,,比值,85.42,1.03,50.74,108.94,347,13.46,0
,101,1196,法鼓文理學院,燈號,●,●,●,●,●,●,
,,,,比值,75.4,-0.63,6.35,74.6,773.06,-47.93,0
,101,1197,台北海洋技術學院,燈號,●,●,●,●,●,●,
,,,,比值,63.37,7.38,6.52,114.72,157.11,88.85,1.79
,101,1281,康寧醫護暨管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,89.65,0.03,-3.15,83.32,361.51,-3.48,0
,101,1282,馬偕醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,75.44,0.89,6.89,147.85,256.01,-4.51,0.42
,101,1283,仁德醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,85.17,7.56,4.9,225.95,520.8,-7.06,0
,101,1284,樹人醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,88.37,6.92,8.18,262.88,642.02,18.56,0
,101,1285,慈惠醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,68.09,8.04,10.02,130.12,163.06,-9.57,0.67
,101,1286,耕莘健康管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,56.83,3.13,14.11,39.72,62.49,-5.62,4.69
,101,1287,敏惠醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,68.51,8.46,7.15,94.61,92.87,-18.94,0.55
,101,1288,高美醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,82.11,-0.21,24.43,31.04,33,-0.08,8.56
,101,1289,育英醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,84.81,3.66,1.44,158.87,480.79,5.55,0
,101,1290,崇仁醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,86.85,1.68,5.81,153.39,139.57,-33.92,0
,101,1291,聖母醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,63.98,8.44,7.9,151.18,304.6,20.37,0
,101,1292,新生醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,74.14,4.35,7.85,80.85,48.44,2.79,1.97
,101,1R02,基督教台灣浸會神學院,燈號,●,●,●,●,●,●,
,,,,比值,97.07,0.18,-21.53,272.56,329.31,24.58,0
,101,1R03,臺北基督學院,燈號,●,●,●,●,●,●,
,,,,比值,0,54.02,0,357.62,381.32,0,0
,102,1001,東海大學,燈號,●,●,●,●,●,●,
,,,,比值,87.9,2.55,0.62,99.63,413.98,-3.74,0
,102,1002,輔仁大學,燈號,●,●,●,●,●,●,
,,,,比值,93.14,0.83,1.1,79.55,854.63,16.16,0
,102,1003,東吳大學,燈號,●,●,●,●,●,●,
,,,,比值,88.71,0.09,-1.14,83.24,383.49,11.16,0
,102,1004,中原大學,燈號,●,●,●,●,●,●,
,,,,比值,94.26,-0.42,0.18,49.19,368.13,7.29,0
,102,1005,淡江大學,燈號,●,●,●,●,●,●,
,,,,比值,63.83,0.71,-0.43,39.27,115.66,1.25,0
,102,1006,中國文化大學,燈號,●,●,●,●,●,●,
,,,,比值,82.84,-0.58,0.33,120.79,885.8,30.01,0
,102,1007,逢甲大學,燈號,●,●,●,●,●,●,
,,,,比值,78.42,1.67,0.48,66.78,452.81,0.45,0
,102,1008,靜宜大學,燈號,●,●,●,●,●,●,
,,,,比值,98.42,-2.04,-0.4,136.89,1562.04,-8.71,0
,102,1009,長庚大學,燈號,●,●,●,●,●,●,
,,,,比值,38.75,-0.74,-0.92,-7.18,819.9,-0.89,0
,102,1010,元智大學,燈號,●,●,●,●,●,●,
,,,,比值,44.09,1.5,-2.24,96.97,236.25,-7.29,0
,102,1011,中華大學,燈號,●,●,●,●,●,●,
,,,,比值,85.4,0.55,0.79,58.96,275.83,5.67,0
,102,1012,大葉大學,燈號,●,●,●,●,●,●,
,,,,比值,90.57,1.72,7.51,90.79,370.43,9.59,0
,102,1013,華梵大學,燈號,●,●,●,●,●,●,
,,,,比值,76,-2.15,-2.75,-0.42,740.31,-1.37,0
,102,1014,義守大學,燈號,●,●,●,●,●,●,
,,,,比值,76.1,1.92,2.55,43.24,52.09,-18.15,3.32
,102,1015,世新大學,燈號,●,●,●,●,●,●,
,,,,比值,83.67,0.92,0.14,140.88,217.34,-22.89,0
,102,1016,銘傳大學,燈號,●,●,●,●,●,●,
,,,,比值,90.92,2.68,1.08,157.38,359.09,-11.34,0
,102,1017,實踐大學,燈號,●,●,●,●,●,●,
,,,,比值,87.37,2.31,-0.47,71.94,177,-11.3,0
,102,1018,朝陽科技大學,燈號,●,●,●,●,●,●,
,,,,比值,81.27,6.36,2.53,114.16,302.84,11.22,0
,102,1019,高雄醫學大學,燈號,●,●,●,●,●,●,
,,,,比值,91.85,2.77,0.95,-4.42,82.95,-7.16,0
,102,1020,南華大學,燈號,●,●,●,●,●,●,
,,,,比值,91.13,-1.29,1.67,35.71,162.12,-25.84,0
,102,1021,真理大學,燈號,●,●,●,●,●,●,
,,,,比值,70.69,1.33,-1.13,52.49,11.96,-10.32,7.41
,102,1022,大同大學,燈號,●,●,●,●,●,●,
,,,,比值,85.87,0.22,-2.77,57.59,28.16,-21.65,0
,102,1023,南臺科技大學,燈號,●,●,●,●,●,●,
,,,,比值,86.71,6.97,-2.2,179.25,547.63,-10.51,0
,102,1024,崑山科技大學,燈號,●,●,●,●,●,●,
,,,,比值,65.08,0.8,-2.11,82.06,76.25,-5.03,0.45
,102,1025,嘉南藥理大學,燈號,●,●,●,●,●,●,
,,,,比值,90.5,4.34,0.08,343.88,414.71,9.45,0
,102,1026,樹德科技大學,燈號,●,●,●,●,●,●,
,,,,比值,87.89,1.65,-1.24,102.96,557.91,9.79,0
,102,1027,慈濟大學,燈號,●,●,●,●,●,●,
,,,,比值,93.81,0.72,1.52,63.81,1715.65,-11.51,0
,102,1028,臺北醫學大學,燈號,●,●,●,●,●,●,
,,,,比值,40.08,4.34,-0.88,-44.2,84.19,0.29,-6.96
,102,1029,中山醫學大學,燈號,●,●,●,●,●,●,
,,,,比值,45.05,4.09,-0.78,12.2,30.65,-7.21,516.59
,102,1030,龍華科技大學,燈號,●,●,●,●,●,●,
,,,,比值,92.22,3.76,2.04,217.87,1575.43,-9.44,0
,102,1031,輔英科技大學,燈號,●,●,●,●,●,●,
,,,,比值,90.89,2.87,-1.67,66.04,431.12,6.3,0
,102,1032,明新科技大學,燈號,●,●,●,●,●,●,
,,,,比值,79.49,2.22,-0.23,96.05,174.74,0.78,0
,102,1033,長榮大學,燈號,●,●,●,●,●,●,
,,,,比值,86.52,2.12,1.41,163.06,546.15,-8.21,0
,102,1034,弘光科技大學,燈號,●,●,●,●,●,●,
,,,,比值,80.24,8.87,0.86,135.39,310.33,1.18,0
,102,1035,中國醫藥大學,燈號,●,●,●,●,●,●,
,,,,比值,85.87,7.63,-1.98,-15.05,99.89,0.22,0
,102,1036,健行科技大學,燈號,●,●,●,●,●,●,
,,,,比值,91.23,4.22,-3.52,174.39,955.31,5.63,0
,102,1037,正修科技大學,燈號,●,●,●,●,●,●,
,,,,比值,83.57,5.92,2.6,173.03,215.92,-15.81,0
