,學年度,學校代碼,學校名稱,項目,累積餘絀比率(%),資產效益率(%),學雜費收入變動率(%),現金流量比率(%),速動比率(%),負債變動率(%),舉債指數
,,,,比值,90.86,2.66,1.62,144.83,636.65,15.13,0
,103,1076,華夏科技大學,燈號,●,●,●,●,●,●,
,,,,比值,93.18,1.83,-0.91,88.77,304.85,-42.99,0
,103,1077,慈濟科技大學,燈號,●,●,●,●,●,●,
,,,,比值,90.64,0.06,7.01,132.92,241.9,35.07,0
,103,1078,致理科技大學,燈號,●,●,●,●,●,●,
,,,,比值,88.78,6.22,2.9,212.25,773.68,-5.8,0
,103,1125,中信金融管理學院,燈號,●,●,●,●,●,●,
,,,,比值,89.86,-4.5,-69.9,25.11,210.03,20.43,0
,103,1148,大漢技術學院,燈號,●,●,●,●,●,●,
,,,,比值,95.42,2.82,-8.72,365.38,1946.46,-37.96,0
,103,1159,和春技術學院,燈號,●,●,●,●,●,●,
,,,,比值,95.15,0,-6.06,146.02,405.14,-29.18,0
,103,1166,亞東技術學院,燈號,●,●,●,●,●,●,
,,,,比值,39.45,14.03,-3.6,490.3,4767.28,11.47,0
,103,1168,桃園創新技術學院,燈號,●,●,●,●,●,●,
,,,,比值,89.16,-0.47,-10.51,68.23,73.38,-22.31,3.02
,103,1176,稻江科技暨管理學院,燈號,●,●,●,●,●,●,
,,,,比值,89.69,-4.27,4.58,-2.18,273.65,-5.56,0
,103,1179,德霖技術學院,燈號,●,●,●,●,●,●,
,,,,比值,92.94,4.25,-2.89,181.64,1974.36,-18.87,0
,103,1182,蘭陽技術學院,燈號,●,●,●,●,●,●,
,,,,比值,92.76,1.74,-24.33,56.25,103.29,-46.97,0
,103,1183,黎明技術學院,燈號,●,●,●,●,●,●,
,,,,比值,77.72,1,1.23,36.56,58.09,-2.3,-11.74
,103,1184,東方設計學院,燈號,●,●,●,●,●,●,
,,,,比值,95.52,-0.07,-0.6,78.77,470.93,-31.42,0
,103,1185,經國管理暨健康學院,燈號,●,●,●,●,●,●,
,,,,比值,85.88,-0.59,0.12,47.59,244.56,38.13,0
,103,1187,崇右技術學院,燈號,●,●,●,●,●,●,
,,,,比值,85.8,2.34,-1.58,96.56,329.95,-10.5,0
,103,1188,大同技術學院,燈號,●,●,●,●,●,●,
,,,,比值,97.85,-3.1,-11.72,1.08,392.45,-13.36,0
,103,1189,亞太創意技術學院,燈號,●,●,●,●,●,●,
,,,,比值,83.92,-2.21,-21.57,4.44,10.86,3.09,-8.12
,103,1192,臺灣觀光學院,燈號,●,●,●,●,●,●,
,,,,比值,85.76,-1.36,-12.44,37.52,180.21,-31.46,0
,103,1195,馬偕醫學院,燈號,●,●,●,●,●,●,
,,,,比值,83.53,5.31,22.91,465.11,1248.62,7.25,0
,103,1196,法鼓文理學院,燈號,●,●,●,●,●,●,
,,,,比值,68.77,4.66,-0.1,63.88,280.59,187.31,0
,103,1197,台北海洋技術學院,燈號,●,●,●,●,●,●,
,,,,比值,68.3,5.68,1.29,126.46,158.48,-10.59,1.93
,103,1281,康寧醫護暨管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,91.58,0.41,0.71,106.31,269.87,14.76,0
,103,1282,馬偕醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,76.08,2.22,13.67,113.47,344.46,-2.34,0
,103,1283,仁德醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,87.28,6.48,-1.07,156.2,402.18,75.15,0
,103,1284,樹人醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,86.24,7.71,2.04,204.88,669.31,37.27,0
,103,1285,慈惠醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,81.98,9.21,1.38,193.09,241.48,-21.86,0
,103,1286,耕莘健康管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,62.46,4.42,3.83,131.8,283.54,-10.47,2.15
,103,1287,敏惠醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,76.5,6.55,1.77,117.6,175.45,-8.92,0
,103,1288,高美醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,74.65,10.63,-8.21,25.17,46.59,-52.15,18.24
,103,1289,育英醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,85.24,2.71,-1.45,130.15,362.31,13.57,0
,103,1290,崇仁醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,90.89,2.49,1.96,247.78,432.5,-33.85,0
,103,1291,聖母醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,74.43,6.76,-2.29,160.82,484.34,-13.59,0
,103,1292,新生醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,75.14,3.82,2.2,75,90.16,-9.94,1.06
,103,1R02,基督教台灣浸會神學院,燈號,●,●,●,●,●,●,
,,,,比值,97.17,0.13,-8.82,261.77,623.35,-19.53,0
,103,1R03,臺北基督學院,燈號,●,●,●,●,●,●,
,,,,比值,26.37,6.02,57.35,41.58,232.61,34.28,0
,104,1001,東海大學,燈號,●,●,●,●,●,●,
,,,,比值,86.59,2.75,0.5,120.64,496.55,7.89,0
,104,1002,輔仁大學,燈號,●,●,●,●,●,●,
,,,,比值,79.96,2.21,1.28,124.53,771.61,100.08,0
,104,1003,東吳大學,燈號,●,●,●,●,●,●,
,,,,比值,86.45,1.61,1.72,91.55,383.01,25.19,0
,104,1004,中原大學,燈號,●,●,●,●,●,●,
,,,,比值,90.99,1.89,1.59,112.94,297.51,0.88,0
,104,1005,淡江大學,燈號,●,●,●,●,●,●,
,,,,比值,63.72,0.2,0.15,40.4,86.67,7.69,0.01
,104,1006,中國文化大學,燈號,●,●,●,●,●,●,
,,,,比值,81.91,0.61,1.21,140.22,926.07,9.67,0
,104,1007,逢甲大學,燈號,●,●,●,●,●,●,
,,,,比值,77,1.96,2.22,62.64,400.79,7.19,0
,104,1008,靜宜大學,燈號,●,●,●,●,●,●,
,,,,比值,95.5,0.84,1.18,136.55,1372.98,8.29,0
,104,1009,長庚大學,燈號,●,●,●,●,●,●,
,,,,比值,40.43,0.62,-0.07,88.73,890.14,16.73,0
,104,1010,元智大學,燈號,●,●,●,●,●,●,
,,,,比值,51.23,0.67,-1.95,122.92,225.21,23.83,0
,104,1011,中華大學,燈號,●,●,●,●,●,●,
,,,,比值,83.04,0.98,0.65,83.73,203.72,21.93,0
,104,1012,大葉大學,燈號,●,●,●,●,●,●,
,,,,比值,87.76,3.13,5.9,147.22,457.03,2,0
,104,1013,華梵大學,燈號,●,●,●,●,●,●,
,,,,比值,74.66,-2.18,-6.2,43.99,726.27,-30.99,0
,104,1014,義守大學,燈號,●,●,●,●,●,●,
,,,,比值,81.22,3.68,1.18,73.12,81.93,-17.9,0
,104,1015,世新大學,燈號,●,●,●,●,●,●,
,,,,比值,83.84,2.47,-0.66,140.33,327.28,9.26,0
,104,1016,銘傳大學,燈號,●,●,●,●,●,●,
,,,,比值,91.3,3.55,0.24,170.18,500.08,-11.27,0
,104,1017,實踐大學,燈號,●,●,●,●,●,●,
,,,,比值,83.71,3.18,0.97,96.18,182.65,-0.09,0
,104,1019,高雄醫學大學,燈號,●,●,●,●,●,●,
,,,,比值,92.4,2.56,-1.27,-63.51,151.57,8.84,0
,104,1020,南華大學,燈號,●,●,●,●,●,●,
,,,,比值,69.97,23.52,4.47,59.99,171.39,-21.6,0
,104,1021,真理大學,燈號,●,●,●,●,●,●,
,,,,比值,76.78,2.43,-3.74,105.54,42.75,-15.21,2.97
,104,1022,大同大學,燈號,●,●,●,●,●,●,
,,,,比值,96.44,0.55,-1.15,94.47,85.73,4.59,0
,104,1027,慈濟大學,燈號,●,●,●,●,●,●,
,,,,比值,92.42,1.15,4.25,112.56,1336.09,42.21,0
,104,1028,臺北醫學大學,燈號,●,●,●,●,●,●,
,,,,比值,45.16,1.48,-0.44,-21.83,83.67,-3.69,-5.58
,104,1029,中山醫學大學,燈號,●,●,●,●,●,●,
,,,,比值,52.24,5.07,-0.17,14.12,29.2,-8.13,123.51
,104,1033,長榮大學,燈號,●,●,●,●,●,●,
,,,,比值,88.46,3.12,0.98,175.39,608.81,8.25,0
,104,1035,中國醫藥大學,燈號,●,●,●,●,●,●,
,,,,比值,86.71,7.87,-0.23,-46.07,105.73,7.86,0
,104,1039,玄奘大學,燈號,●,●,●,●,●,●,
,,,,比值,88.75,1.75,-2.05,85.48,340.04,31.11,0
,104,1048,亞洲大學,燈號,●,●,●,●,●,●,
,,,,比值,66.43,5.24,1.44,64.79,19.41,265.26,2.08
,104,1049,開南大學,燈號,●,●,●,●,●,●,
,,,,比值,77.73,5.21,-3.62,61.55,83.13,-26.76,0
,104,1050,佛光大學,燈號,●,●,●,●,●,●,
,,,,比值,93.16,-1.47,14.82,70.6,104.03,57.67,0
,104,1058,明道大學,燈號,●,●,●,●,●,●,
,,,,比值,68.96,5.92,-0.93,69.37,76.11,-7.65,0.39
,104,1067,台灣首府大學,燈號,●,●,●,●,●,●,
,,,,比值,95.47,0.2,-11.03,114.58,393.67,-18,0
,104,1079,康寧大學,燈號,●,●,●,●,●,●,
,,,,比值,90,0.07,1.44,52.88,110.67,-11.26,0
,104,1125,中信金融管理學院,燈號,●,●,●,●,●,●,
,,,,比值,80.96,4.46,-24.25,133.42,169.3,18.62,0
,104,1176,稻江科技暨管理學院,燈號,●,●,●,●,●,●,
,,,,比值,89.93,-4.59,-16.32,-5.34,224.37,-13.38,0
,104,1195,馬偕醫學院,燈號,●,●,●,●,●,●,
,,,,比值,92.26,-4.04,20.71,-125.66,969.27,5.9,0
,104,1196,法鼓文理學院,燈號,●,●,●,●,●,●,
,,,,比值,68.7,5.9,51.96,122.6,251.73,15.3,0
,104,1R02,基督教台灣浸會神學院,燈號,●,●,●,●,●,●,
,,,,比值,96.99,0.31,-6.82,597.85,720.4,8.18,0
,104,1R03,臺北基督學院,燈號,●,●,●,●,●,●,
,,,,比值,30.28,5.95,26.63,58.01,247.2,-1.07,0
,104,1R04,一貫道天皇學院,燈號,●,●,●,●,●,●,
,,,,比值,0,10.65,0,259.65,192.28,0,0
,104,1R05,台神學校財團法人台灣神學研究學院,燈號,●,●,●,●,●,●,
,,,,比值,0.45,115.06,0,410.29,427.38,5496.75,0
,104,1R06,一貫道崇德學院,燈號,●,●,●,●,●,●,
,,,,比值,0,1.55,0,101.41,101.41,0,0
,104,1018,朝陽科技大學,燈號,●,●,●,●,●,●,
,,,,比值,76.63,3.85,-0.2,96.61,296.27,4.54,0
,104,1023,南臺科技大學,燈號,●,●,●,●,●,●,
,,,,比值,89.82,5.85,0.72,251.43,614.52,8.08,0
,104,1024,崑山科技大學,燈號,●,●,●,●,●,●,
,,,,比值,66.3,1.7,-1.31,149.47,161.28,-6.28,0
,104,1025,嘉南藥理大學,燈號,●,●,●,●,●,●,
,,,,比值,90.39,3.39,0.44,223.33,183.16,9.92,0
,104,1026,樹德科技大學,燈號,●,●,●,●,●,●,
,,,,比值,87.83,0.9,0.41,74.79,401.82,-2.92,0
,104,1030,龍華科技大學,燈號,●,●,●,●,●,●,
,,,,比值,92.68,4.04,-0.17,306.19,1703.18,39.67,0
,104,1031,輔英科技大學,燈號,●,●,●,●,●,●,
,,,,比值,91.14,3.63,-1.39,91.1,570.24,-2.61,0
,104,1032,明新科技大學,燈號,●,●,●,●,●,●,
,,,,比值,81.55,2.06,-1.02,101.79,217.55,5.15,0
,104,1034,弘光科技大學,燈號,●,●,●,●,●,●,
,,,,比值,82.53,6.93,1.7,123.88,415.21,4,0
,104,1036,健行科技大學,燈號,●,●,●,●,●,●,
,,,,比值,92.38,1.69,-4.55,109.99,454.31,36.7,0
,104,1037,正修科技大學,燈號,●,●,●,●,●,●,
,,,,比值,89.06,2.3,0.93,137.14,249.04,-17.62,0
,104,1038,萬能科技大學,燈號,●,●,●,●,●,●,
,,,,比值,90.9,5.12,-1.62,269.66,910.53,19.1,0
,104,1040,建國科技大學,燈號,●,●,●,●,●,●,
,,,,比值,88.47,1.61,-4.72,73.14,122.88,-9.98,0
,104,1041,明志科技大學,燈號,●,●,●,●,●,●,
,,,,比值,47.95,2.33,2.28,178.16,1715.15,17.28,0
,104,1042,高苑科技大學,燈號,●,●,●,●,●,●,
,,,,比值,90.44,2.23,-5.19,97.59,394.11,2.98,0
,104,1043,大仁科技大學,燈號,●,●,●,●,●,●,
,,,,比值,95.3,0.02,-4.67,84.73,463.4,-24.88,0
,104,1044,聖約翰科技大學,燈號,●,●,●,●,●,●,
,,,,比值,97.66,-3.46,-12.4,50.23,734.57,38.92,0
,104,1045,嶺東科技大學,燈號,●,●,●,●,●,●,
,,,,比值,87.84,5.1,-1.26,199.33,1339.7,8.31,0
,104,1046,中國科技大學,燈號,●,●,●,●,●,●,
,,,,比值,86.92,4.49,2.26,197.93,449.51,13.75,0
,104,1047,中臺科技大學,燈號,●,●,●,●,●,●,
,,,,比值,89.12,3.78,-1.14,129,458.67,6.23,0
,104,1051,台南應用科技大學,燈號,●,●,●,●,●,●,
,,,,比值,91.15,5.14,1.2,221.23,999.68,-2.66,0
,104,1052,遠東科技大學,燈號,●,●,●,●,●,●,
,,,,比值,88.28,3.26,-9.46,145.02,181.63,-7.72,0
,104,1053,元培醫事科技大學,燈號,●,●,●,●,●,●,
,,,,比值,90.8,3.85,-3.24,142.19,793.87,-11.86,0
,104,1054,景文科技大學,燈號,●,●,●,●,●,●,
,,,,比值,96.57,-6.36,-1.67,0.8,397.91,26.7,0
,104,1055,中華醫事科技大學,燈號,●,●,●,●,●,●,
,,,,比值,91.08,2.25,2.16,110.77,109.36,-35.64,0
,104,1056,東南科技大學,燈號,●,●,●,●,●,●,
,,,,比值,85.86,1.39,-1.34,111.57,542.1,24.16,0
,104,1057,德明財經科技大學,燈號,●,●,●,●,●,●,
,,,,比值,93.17,5.37,1,271.16,1717.53,23.55,0
,104,1060,南開科技大學,燈號,●,●,●,●,●,●,
,,,,比值,90.22,2.04,0.59,124.45,542.56,15.69,0
,104,1061,中華科技大學,燈號,●,●,●,●,●,●,
,,,,比值,83.47,2.28,-5.42,66.57,58.42,-5.61,0.66
,104,1062,僑光科技大學,燈號,●,●,●,●,●,●,
,,,,比值,92.84,2.33,-0.6,129.61,701.32,53.59,0
,104,1063,育達科技大學,燈號,●,●,●,●,●,●,
,,,,比值,92.57,-0.07,-9.42,76.46,533.73,5.81,0
,104,1064,美和科技大學,燈號,●,●,●,●,●,●,
,,,,比值,74.29,3.63,-1.4,103.87,156.74,-16.63,0
,104,1065,吳鳳科技大學,燈號,●,●,●,●,●,●,
,,,,比值,92.7,1.84,-3.61,189.69,386.03,1.67,0
,104,1066,環球科技大學,燈號,●,●,●,●,●,●,
,,,,比值,75.25,10.08,-1.02,81.11,398.07,-45.33,0
,104,1068,中州科技大學,燈號,●,●,●,●,●,●,
,,,,比值,84.34,2.27,-16.13,100.91,207.41,-4.66,0
,104,1069,修平科技大學,燈號,●,●,●,●,●,●,
,,,,比值,84.23,4.22,-2.71,110.83,261.14,-3.35,0
,104,1070,長庚科技大學,燈號,●,●,●,●,●,●,
,,,,比值,44.94,1.59,0.4,163.32,846.65,-3.6,0
,104,1071,臺北城市科技大學,燈號,●,●,●,●,●,●,
,,,,比值,61.61,4.82,0.54,234.06,706.16,4.86,0
,104,1072,大華科技大學,燈號,●,●,●,●,●,●,
,,,,比值,83.13,-0.11,-4.68,51.38,59.48,-10.46,16.35
,104,1073,醒吾科技大學,燈號,●,●,●,●,●,●,
,,,,比值,89.61,6.64,1.31,291.07,794.73,-0.88,0
,104,1074,南榮科技大學,燈號,●,●,●,●,●,●,
,,,,比值,97.01,-3.73,1.83,73.53,246.33,20.09,0
,104,1075,文藻外語大學,燈號,●,●,●,●,●,●,
,,,,比值,90.55,3.06,1,125.1,687.01,1.47,0
,104,1076,華夏科技大學,燈號,●,●,●,●,●,●,
,,,,比值,92.64,1.54,-2.43,130.88,301.74,20.52,0
,104,1077,慈濟科技大學,燈號,●,●,●,●,●,●,
,,,,比值,88.83,0.77,1.35,110.19,198.99,38.02,0
,104,1078,致理科技大學,燈號,●,●,●,●,●,●,
,,,,比值,88.47,5.8,-0.24,184.57,762.87,22.9,0
,104,1148,大漢技術學院,燈號,●,●,●,●,●,●,
,,,,比值,83.47,0.18,-16.92,212.96,1077.59,8.01,0
,104,1159,和春技術學院,燈號,●,●,●,●,●,●,
,,,,比值,95.39,-0.36,1.27,119.07,493.41,2.33,0
,104,1166,亞東技術學院,燈號,●,●,●,●,●,●,
,,,,比值,56.36,1.17,-3.98,481.01,6167.12,-15.84,0
,104,1168,桃園創新技術學院,燈號,●,●,●,●,●,●,
,,,,比值,88.57,0.82,-13.85,74.68,184.94,-5.98,0
,104,1179,德霖技術學院,燈號,●,●,●,●,●,●,
,,,,比值,92.8,4.4,-3.84,204.76,1672.28,5.18,0
,104,1182,蘭陽技術學院,燈號,●,●,●,●,●,●,
,,,,比值,94.61,0.45,-18.44,175.51,202.82,-10.68,0
,104,1183,黎明技術學院,燈號,●,●,●,●,●,●,
,,,,比值,74.27,12.03,1.47,208.56,147.83,-30.16,0
,104,1184,東方設計學院,燈號,●,●,●,●,●,●,
,,,,比值,95.07,-0.66,-1.57,105.96,379.49,23.6,0
,104,1185,經國管理暨健康學院,燈號,●,●,●,●,●,●,
,,,,比值,88.03,0.92,4.03,98.93,324.73,-26.67,0
,104,1187,崇右技術學院,燈號,●,●,●,●,●,●,
,,,,比值,87.56,1.64,-3.57,97.73,340.69,-8.55,0
,104,1188,大同技術學院,燈號,●,●,●,●,●,●,
,,,,比值,98.1,-3.38,-6.41,20.05,378.04,-3.75,0
,104,1189,亞太創意技術學院,燈號,●,●,●,●,●,●,
,,,,比值,83.65,-0.76,-23.19,16.55,10.97,-9.99,11.03
,104,1192,臺灣觀光學院,燈號,●,●,●,●,●,●,
,,,,比值,87.1,-1.32,-17.88,59.62,194.19,-17.15,0
,104,1197,台北海洋技術學院,燈號,●,●,●,●,●,●,
,,,,比值,72.96,5.59,1.37,110.42,143.25,-16.63,1.51
,104,1282,馬偕醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,78.69,2.38,3.31,186.04,422.27,-19.1,0
,104,1283,仁德醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,84.34,6.51,0.94,172.47,315.24,61.82,0
,104,1284,樹人醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,84.49,9.63,3.11,184.08,595.46,9.84,0
,104,1285,慈惠醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,84.46,8.25,0.52,196.86,392.15,-10.35,0
,104,1286,耕莘健康管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,65.85,4.7,2.11,143.39,340.37,-10.23,0.97
,104,1287,敏惠醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,77.26,8.49,-0.19,122.88,223.07,-8.83,0
,104,1288,高美醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,84.93,-5.84,-2.79,94.58,76.2,45.57,18.14
,104,1289,育英醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,83.84,5.48,0.73,178.8,476.32,-13.18,0
,104,1290,崇仁醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,89.85,3.52,2.74,302.05,561.12,14.28,0
,104,1291,聖母醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,77.12,6.53,-3.77,177.49,581.43,-10.79,0
,104,1292,新生醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,77.82,4.62,2.44,96.55,125.84,-16.8,0
